Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.010134,6.611111,[21 21] ; [ 47 115],[14. 28.] ; [ 54. 108.],0
s2,1,0.011677,6.359216,[39  7] ; [108  57],[32.04739336 13.95260664] ; [114.95260664  50.04739336],0
b3,1,0.01411,6.024282,[ 2 21] ; [34 64],[ 6.84297521 16.15702479] ; [29.15702479 68.84297521],0
b2,1,0.01411,6.024282,[ 2 21] ; [34 64],[ 6.84297521 16.15702479] ; [29.15702479 68.84297521],0
n4,1,0.030527,4.679348,[27 19] ; [123  41],[32.85714286 13.14285714] ; [117.14285714  46.85714286],0
n1,1,0.043445,4.078006,[ 2 11] ; [17 19],[5.04081633 7.95918367] ; [13.95918367 22.04081633],0
p5,1,0.06207,3.481183,[ 1 45] ; [ 18 143],[ 4.22222222 41.77777778] ; [ 14.77777778 146.22222222],0
a8,1,0.06404,3.429542,[ 3 39] ; [ 30 127],[ 6.96482412 35.03517588] ; [ 26.03517588 130.96482412],0
s7,1,0.067765,3.336356,[30 15] ; [80 76],[24.62686567 20.37313433] ; [85.37313433 70.62686567],0
v2,1,0.080588,3.052998,[16 29] ; [78 77],[21.15 23.85] ; [72.85 82.15],0
s6,1,0.103102,2.65689,[37  6] ; [121  42],[32.98058252 10.01941748] ; [125.01941748  37.98058252],0
a3,1,0.110188,2.551517,[22 24] ; [100  64],[26.72380952 19.27619048] ; [95.27619048 68.72380952],0
v4,1,0.170295,1.880348,[44  1] ; [149  13],[41.95652174  3.04347826] ; [151.04347826  10.95652174],0
a5,1,0.17285,1.858052,[21 25] ; [94 71],[25.07109005 20.92890995] ; [89.92890995 75.07109005],0
u3,1,0.183326,1.770452,[16  8] ; [32 31],[13.24137931 10.75862069] ; [34.75862069 28.24137931],0
p4,1,0.193974,1.687172,[19 27] ; [85 78],[22.88995215 23.11004785] ; [81.11004785 81.88995215],0
a4,1,0.197533,1.660519,[14 32] ; [ 35 129],[10.73333333 35.26666667] ; [ 38.26666667 125.73333333],0
v3,1,0.19913,1.648742,[11 34] ; [ 56 106],[14.56521739 30.43478261] ; [ 52.43478261 109.56521739],0
s8,1,0.241302,1.372973,[17 29] ; [77 88],[20.492891 25.507109] ; [73.507109 91.492891],0
