Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.007398,7.173718,[ 2 28] ; [11 21],[ 6.29032258 23.70967742] ; [ 6.70967742 25.29032258],0
d2,1,0.018435,5.554286,[ 8 22] ; [17 13],[12.5 17.5] ; [12.5 17.5],0
n5,1,0.043682,4.068818,[13 17] ; [22 10],[16.93548387 13.06451613] ; [18.06451613 13.93548387],0
a4,1,0.072841,3.217805,[ 7 23] ; [14 17],[10.32786885 19.67213115] ; [10.67213115 20.32786885],0
b4,1,0.073767,3.197144,[19 11] ; [13 19],[15.48387097 14.51612903] ; [16.51612903 15.48387097],0
d1,1,0.099736,2.709764,[ 8 22] ; [15 17],[11.12903226 18.87096774] ; [11.87096774 20.12903226],0
a1,1,0.203918,1.614087,[ 3 27] ; [ 7 25],[ 4.83870968 25.16129032] ; [ 5.16129032 26.83870968],0
p9,1,0.204495,1.609976,[ 5 24] ; [10 22],[ 7.13114754 21.86885246] ; [ 7.86885246 24.13114754],0
u2,1,0.297365,1.085973,[ 7 10] ; [ 3 10],[ 5.66666667 11.33333333] ; [4.33333333 8.66666667],0
a5,1,0.300631,1.071395,[12 18] ; [17 15],[14.03225806 15.96774194] ; [14.96774194 17.03225806],0
s5,1,0.303029,1.060815,[ 3 27] ; [ 6 25],[ 4.42622951 25.57377049] ; [ 4.57377049 26.42622951],0
a3,1,0.305208,1.051298,[13 16] ; [18 13],[14.98333333 14.01666667] ; [16.01666667 14.98333333],0
p7,1,0.31216,1.021514,[10 20] ; [ 7 25],[ 8.22580645 21.77419355] ; [ 8.77419355 23.22580645],0
v4,1,0.316236,1.00445,[14 16] ; [19 13],[15.96774194 14.03225806] ; [17.03225806 14.96774194],0
n4,1,0.321182,0.984127,[15 15] ; [20 12],[16.93548387 13.06451613] ; [18.06451613 13.93548387],0
v2,1,0.331789,0.941902,[ 9 21] ; [13 18],[10.81967213 19.18032787] ; [11.18032787 19.81967213],0
p6,1,0.384488,0.756303,[ 3 25] ; [ 6 26],[ 4.2 23.8] ; [ 4.8 27.2],0
v1,1,0.390073,0.738714,[ 7 23] ; [10 20],[ 8.5 21.5] ; [ 8.5 21.5],0
b1,1,0.400058,0.708151,[20 10] ; [18 14],[18.38709677 11.61290323] ; [19.61290323 12.38709677],0
r1,1,0.455334,0.55734,[ 6 24] ; [ 9 23],[ 7.25806452 22.74193548] ; [ 7.74193548 24.25806452],0
n1,1,0.458318,0.55,[ 4 11] ; [ 7 11],[ 5. 10.] ; [ 6. 12.],0
p2,1,0.464792,0.53433,[14 16] ; [12 20],[12.58064516 17.41935484] ; [13.41935484 18.58064516],0
d5,1,0.464792,0.53433,[16 14] ; [20 12],[17.41935484 12.58064516] ; [18.58064516 13.41935484],0
u3,1,0.469094,0.52411,[ 3 14] ; [ 4 10],[ 3.83870968 13.16129032] ; [ 3.16129032 10.83870968],0
d3,1,0.599058,0.276419,[13 17] ; [16 16],[14.03225806 15.96774194] ; [14.96774194 17.03225806],0
p8,1,0.607381,0.264007,[ 6 23] ; [ 5 27],[ 5.2295082 23.7704918] ; [ 5.7704918 26.2295082],0
n3,1,0.61093,0.258824,[8 7] ; [ 8 10],[7.27272727 7.72727273] ; [8.72727273 9.27272727],0
s2,1,0.637954,0.221429,[ 6 24] ; [ 8 24],[ 6.77419355 23.22580645] ; [ 7.22580645 24.77419355],0
s4,1,0.641618,0.216632,[ 5 25] ; [ 4 28],[ 4.35483871 25.64516129] ; [ 4.64516129 27.35483871],0
s7,1,0.652891,0.202274,[ 4 22] ; [ 6 24],[ 4.64285714 21.35714286] ; [ 5.35714286 24.64285714],0
p11,1,0.656646,0.197623,[10 20] ; [ 9 23],[ 9.19354839 20.80645161] ; [ 9.80645161 22.19354839],0
p4,1,0.659189,0.19451,[ 9 21] ; [ 8 24],[ 8.22580645 21.77419355] ; [ 8.77419355 23.22580645],0
p3,1,0.689307,0.159836,[ 6 23] ; [ 8 24],[ 6.6557377 22.3442623] ; [ 7.3442623 24.6557377],0
s6,1,0.71267,0.135625,[ 9 21] ; [11 21],[ 9.67741935 20.32258065] ; [10.32258065 21.67741935],0
d4,1,0.715973,0.132384,[18 12] ; [20 11],[18.68852459 11.31147541] ; [19.31147541 11.68852459],0
s1,1,0.75592,0.096623,[ 3 27] ; [ 4 28],[ 3.38709677 26.61290323] ; [ 3.61290323 28.38709677],0
a2,1,0.75592,0.096623,[ 3 27] ; [ 4 28],[ 3.38709677 26.61290323] ; [ 3.61290323 28.38709677],0
s3,1,0.781356,0.077036,[ 9 20] ; [11 21],[ 9.50819672 19.49180328] ; [10.49180328 21.50819672],0
n2,1,0.797004,0.066165,[6 9] ; [ 8 10],[6.36363636 8.63636364] ; [ 7.63636364 10.36363636],0
a6,1,0.805634,0.060547,[15 15] ; [17 15],[15.48387097 14.51612903] ; [16.51612903 15.48387097],0
b2,1,0.859823,0.031188,[ 6 15] ; [ 5 11],[ 6.24324324 14.75675676] ; [ 4.75675676 11.24324324],0
b3,1,0.859823,0.031188,[ 6 15] ; [ 5 11],[ 6.24324324 14.75675676] ; [ 4.75675676 11.24324324],0
r3,1,0.885739,0.020649,[13 17] ; [14 17],[13.27868852 16.72131148] ; [13.72131148 17.27868852],0
n6,1,0.892996,0.018094,[14 16] ; [15 16],[14.26229508 15.73770492] ; [14.73770492 16.26229508],0
a7,1,0.912117,0.012181,[13 17] ; [13 18],[12.78688525 17.21311475] ; [13.21311475 17.78688525],0
p1,1,0.933705,0.00692,[ 3 27] ; [ 3 29],[ 2.90322581 27.09677419] ; [ 3.09677419 28.90322581],0
b5,1,0.960015,0.002514,[18 12] ; [19 13],[17.90322581 12.09677419] ; [19.09677419 12.90322581],0
