Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,110.200463,[ 17 117] ; [125  46],[62.38688525 71.61311475] ; [79.61311475 91.38688525],1
s6,1,0.0,51.383999,[55 76] ; [137  30],[84.40268456 46.59731544] ; [107.59731544  59.40268456],1
s7,1,0.0,44.334266,[33 96] ; [105  57],[61.17525773 67.82474227] ; [76.82474227 85.17525773],1
s8,1,0.0,25.337411,[ 31 103] ; [88 83],[52.28196721 81.71803279] ; [ 66.71803279 104.28196721],1
s5,1,0.000209,13.745121,[ 25 106] ; [ 64 100],[39.5220339 91.4779661] ; [ 49.4779661 114.5220339],1
s4,1,0.000761,11.33412,[ 13 119] ; [ 42 126],[ 24.2 107.8] ; [ 30.8 137.2],1
v4,1,0.00239,9.222641,[115  20] ; [162   8],[122.60655738  12.39344262] ; [154.39344262  15.60655738],0
d3,1,0.002806,8.929802,[72 63] ; [119  51],[84.54098361 50.45901639] ; [106.45901639  63.54098361],0
p2,1,0.002909,8.863564,[95 38] ; [146  25],[105.4375  27.5625] ; [135.5625  35.4375],0
r4,1,0.003093,8.751854,[105  30] ; [154  17],[114.26470588  20.73529412] ; [144.73529412  26.26470588],0
p4,1,0.005558,7.688357,[65 69] ; [110  61],[76.8852459 57.1147541] ; [98.1147541 72.8852459],0
r1,1,0.007095,7.248878,[91 43] ; [139  32],[101.04918033  32.95081967] ; [128.95081967  42.04918033],0
p10,1,0.009437,6.738153,[88 45] ; [135  35],[97.88448845 35.11551155] ; [125.11551155  44.88448845],0
p7,1,0.012532,6.233994,[64 69] ; [105  63],[74.6744186 58.3255814] ; [94.3255814 73.6744186],0
d1,1,0.022183,5.231337,[62 73] ; [101  70],[71.91176471 63.08823529] ; [91.08823529 79.91176471],0
p3,1,0.024414,5.065014,[52 82] ; [88 82],[61.71052632 72.28947368] ; [78.28947368 91.71052632],0
p6,1,0.032897,4.551151,[38 95] ; [ 69 102],[46.8125 86.1875] ; [ 60.1875 110.8125],0
u1,1,0.059202,3.559599,[ 16 119] ; [ 34 137],[ 22.05882353 112.94117647] ; [ 27.94117647 143.05882353],0
p5,1,0.059235,3.558683,[ 13 121] ; [ 29 139],[ 18.63576159 115.36423841] ; [ 23.36423841 144.63576159],0
n1,1,0.062902,3.459172,[13 22] ; [24 17],[17.03947368 17.96052632] ; [19.96052632 21.03947368],0
r3,1,0.066138,3.376347,[114  20] ; [156  14],[119.01315789  14.98684211] ; [150.98684211  19.01315789],0
n2,1,0.077777,3.110745,[21 16] ; [31 10],[24.66666667 12.33333333] ; [27.33333333 13.66666667],0
p11,1,0.078916,3.08708,[93 42] ; [133  38],[99.70588235 35.29411765] ; [126.29411765  44.70588235],0
r2,1,0.090029,2.873851,[120  13] ; [160   8],[123.72093023   9.27906977] ; [156.27906977  11.72093023],0
