Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,39.428571,[36  6] ; [10 40],[21. 21.] ; [25. 25.],1
s7,1,0.002692,9.005014,[19 21] ; [ 8 38],[12.55813953 27.44186047] ; [14.44186047 31.55813953],0
a7,1,0.007484,7.153,[34  7] ; [29 22],[28.07608696 12.92391304] ; [34.92391304 16.07608696],0
s8,1,0.013472,6.106074,[14 28] ; [ 6 44],[ 9.13043478 32.86956522] ; [10.86956522 39.13043478],0
s2,1,0.021364,5.296837,[24 18] ; [17 34],[18.51612903 23.48387097] ; [22.48387097 28.51612903],0
s4,1,0.027356,4.868227,[17 25] ; [10 41],[12.19354839 29.80645161] ; [14.80645161 36.19354839],0
s5,1,0.028913,4.772796,[15 23] ; [ 9 40],[10.48275862 27.51724138] ; [13.51724138 35.48275862],0
u2,1,0.029132,4.759767,[10  3] ; [ 9 14],[6.86111111 6.13888889] ; [12.13888889 10.86111111],0
s6,1,0.052076,3.773316,[27 15] ; [22 28],[22.36956522 19.63043478] ; [26.63043478 23.36956522],0
v4,1,0.074923,3.171723,[38  4] ; [39 12],[34.77419355  7.22580645] ; [42.22580645  8.77419355],0
p3,1,0.07605,3.147355,[11 31] ; [22 28],[15.06521739 26.93478261] ; [17.93478261 32.06521739],0
d3,1,0.076468,3.13841,[32  9] ; [31 20],[28.07608696 12.92391304] ; [34.92391304 16.07608696],0
r1,1,0.089163,2.889426,[31 11] ; [29 22],[27.09677419 14.90322581] ; [32.90322581 18.09677419],0
d5,1,0.093238,2.81756,[35  6] ; [36 15],[31.64130435  9.35869565] ; [39.35869565 11.64130435],0
p6,1,0.094626,2.79386,[12 30] ; [ 7 42],[ 8.76923077 33.23076923] ; [10.23076923 38.76923077],0
r4,1,0.113726,2.501667,[32 10] ; [31 20],[28.4516129 13.5483871] ; [34.5483871 16.4516129],0
d1,1,0.152997,2.042111,[26 16] ; [24 27],[22.58064516 19.41935484] ; [27.41935484 23.58064516],0
