Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.4e-05,17.842317,[234   6] ; [53 10],[227.32673267  12.67326733] ; [59.67326733  3.32673267],1
p11,1,3.6e-05,17.054269,[206  36] ; [39 24],[194.39344262  47.60655738] ; [50.60655738 12.39344262],1
p2,1,0.000105,15.047232,[208  31] ; [41 21],[197.71096346  41.28903654] ; [51.28903654 10.71096346],1
p10,1,0.000658,11.60351,[207  30] ; [43 19],[198.16053512  38.83946488] ; [51.83946488 10.16053512],1
d1,1,0.001031,10.771613,[162  80] ; [28 35],[150.75409836  91.24590164] ; [39.24590164 23.75409836],0
p9,1,0.001094,10.662118,[208  28] ; [45 18],[199.69230769  36.30769231] ; [53.30769231  9.69230769],0
b1,1,0.001627,9.928423,[ 82 160] ; [35 28],[ 92.83278689 149.16721311] ; [24.16721311 38.83278689],0
p8,1,0.003175,8.703978,[145  89] ; [26 37],[134.72727273  99.27272727] ; [36.27272727 26.72727273],0
d4,1,0.003188,8.696811,[207  32] ; [44 18],[199.29900332  39.70099668] ; [51.70099668 10.29900332],0
p7,1,0.006638,7.368376,[165  68] ; [32 29],[156.12585034  76.87414966] ; [40.87414966 20.12585034],0
s1,1,0.019805,5.429001,[  5 233] ; [ 5 57],[  7.93333333 230.06666667] ; [ 2.06666667 59.93333333],0
r4,1,0.022531,5.204335,[223  19] ; [52 11],[218.19672131  23.80327869] ; [56.80327869  6.19672131],0
d5,1,0.026815,4.902665,[204  37] ; [45 17],[198.04950495  42.95049505] ; [50.95049505 11.04950495],0
r1,1,0.03972,4.229796,[206  35] ; [47 16],[200.56907895  40.43092105] ; [52.43092105 10.56907895],0
a7,1,0.04065,4.190544,[179  60] ; [39 24],[172.52317881  66.47682119] ; [45.47682119 17.52317881],0
v1,1,0.041208,4.167443,[171  68] ; [36 26],[164.36212625  74.63787375] ; [42.63787375 19.36212625],0
s8,1,0.051671,3.786404,[131 107] ; [26 37],[124.13953488 113.86046512] ; [32.86046512 30.13953488],0
b4,1,0.054315,3.702993,[155  87] ; [32 31],[148.37377049  93.62622951] ; [38.62622951 24.37377049],0
v4,1,0.060073,3.535376,[231   9] ; [57  6],[228.11881188  11.88118812] ; [59.88118812  3.11881188],0
r2,1,0.06129,3.50214,[230   9] ; [57  6],[227.12913907  11.87086093] ; [59.87086093  3.12913907],0
a3,1,0.064691,3.412853,[186  54] ; [41 21],[180.39735099  59.60264901] ; [46.60264901 15.39735099],0
p3,1,0.070482,3.271764,[138 100] ; [28 34],[131.69333333 106.30666667] ; [34.30666667 27.69333333],0
d3,1,0.082167,3.021504,[172  68] ; [38 25],[166.33663366  73.66336634] ; [43.66336634 19.33663366],0
s5,1,0.088005,2.910494,[ 86 147] ; [16 47],[ 80.29054054 152.70945946] ; [21.70945946 41.29054054],0
p12,1,0.091688,2.844484,[ 34 204] ; [ 4 59],[ 30.04651163 207.95348837] ; [ 7.95348837 55.04651163],0
p4,1,0.093169,2.818753,[153  83] ; [33 29],[147.30201342  88.69798658] ; [38.69798658 23.30201342],0
s3,1,0.130785,2.283161,[134  99] ; [29 33],[128.74237288 104.25762712] ; [34.25762712 27.74237288],0
a2,1,0.145714,2.116555,[ 68 174] ; [12 51],[ 63.47540984 178.52459016] ; [16.52459016 46.47540984],0
a5,1,0.151717,2.054899,[189  52] ; [44 19],[184.71381579  56.28618421] ; [48.28618421 14.71381579],0
s7,1,0.201662,1.630299,[132  94] ; [29 30],[127.67017544  98.32982456] ; [33.32982456 25.67017544],0
a8,1,0.266225,1.236096,[ 34 179] ; [ 6 53],[ 31.32352941 181.67647059] ; [ 8.67647059 50.32352941],0
u3,1,0.300107,1.073718,[31 25] ; [15  7],[33.02564103 22.97435897] ; [12.97435897  9.02564103],0
p5,1,0.336051,0.925437,[ 38 202] ; [13 49],[ 40.52980132 199.47019868] ; [10.47019868 51.52980132],0
s2,1,0.368741,0.807903,[129 110] ; [30 33],[125.83112583 113.16887417] ; [33.16887417 29.83112583],0
p1,1,0.369614,0.804962,[ 28 212] ; [10 53],[ 30.0990099 209.9009901] ; [ 7.9009901 55.0990099],0
p6,1,0.378165,0.776659,[ 94 141] ; [21 41],[ 90.99326599 144.00673401] ; [24.00673401 37.99326599],0
n5,1,0.403375,0.698241,[202  39] ; [50 13],[199.77631579  41.22368421] ; [52.22368421 10.77631579],0
n3,1,0.426252,0.633014,[32 12] ; [6 4],[30.96296296 13.03703704] ; [7.03703704 2.96296296],0
d2,1,0.435384,0.608419,[127 112] ; [30 33],[124.24834437 114.75165563] ; [32.75165563 30.24834437],0
a6,1,0.439371,0.597925,[164  75] ; [40 23],[161.44370861  77.55629139] ; [42.55629139 20.44370861],0
n4,1,0.444337,0.585057,[206  36] ; [56  7],[207.88196721  34.11803279] ; [54.11803279  8.88196721],0
n1,1,0.526742,0.400673,[14 28] ; [4 5],[14.82352941 27.17647059] ; [3.17647059 5.82352941],0
n6,1,0.579918,0.306368,[211  28] ; [54  9],[209.71854305  29.28145695] ; [55.28145695  7.71854305],0
s6,1,0.700924,0.147513,[155  81] ; [43 20],[156.28093645  79.71906355] ; [41.71906355 21.28093645],0
a4,1,0.708609,0.13967,[113 127] ; [28 35],[111.68316832 128.31683168] ; [29.31683168 33.68316832],0
b2,1,0.766606,0.0881,[65 88] ; [18 27],[64.13636364 88.86363636] ; [18.86363636 26.13636364],0
b3,1,0.766606,0.0881,[65 88] ; [18 27],[64.13636364 88.86363636] ; [18.86363636 26.13636364],0
b5,1,0.768159,0.086898,[141 101] ; [38 25],[142.02622951  99.97377049] ; [36.97377049 26.02622951],0
n2,1,0.909059,0.013047,[32 11] ; [8 3],[31.85185185 11.14814815] ; [8.14814815 2.85185185],0
u1,1,0.93458,0.006738,[ 45 197] ; [12 51],[ 45.22622951 196.77377049] ; [11.77377049 51.22622951],0
u2,1,0.941422,0.0054,[33 22] ; [13  9],[32.85714286 22.14285714] ; [13.14285714  8.85714286],0
a1,1,0.982137,0.000501,[ 19 223] ; [ 5 58],[ 19.04262295 222.95737705] ; [ 4.95737705 58.04262295],0
