Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.005907,7.578428,[17 24] ; [9 1],[20.90196078 20.09803922] ; [5.09803922 4.90196078],0
s7,1,0.008681,6.88727,[11 27] ; [8 3],[14.73469388 23.26530612] ; [4.26530612 6.73469388],0
b1,1,0.021459,5.289095,[27 14] ; [3 8],[23.65384615 17.34615385] ; [6.34615385 4.65384615],0
b4,1,0.032107,4.592786,[15 26] ; [8 3],[18.13461538 22.86538462] ; [4.86538462 6.13461538],0
s2,1,0.04648,3.964101,[16 25] ; [8 3],[18.92307692 22.07692308] ; [5.07692308 5.92307692],0
r1,1,0.047308,3.934408,[ 8 33] ; [5 5],[10.45098039 30.54901961] ; [2.54901961 7.45098039],0
s3,1,0.055771,3.658894,[17 23] ; [7 2],[19.59183673 20.40816327] ; [4.40816327 4.59183673],0
r3,1,0.061934,3.484812,[24 17] ; [9 1],[26.52941176 14.47058824] ; [6.47058824 3.52941176],0
d5,1,0.068155,3.32691,[21 20] ; [9 2],[23.65384615 17.34615385] ; [6.34615385 4.65384615],0
s8,1,0.118642,2.435157,[ 9 32] ; [5 6],[11.03846154 29.96153846] ; [2.96153846 8.03846154],0
d4,1,0.119477,2.424169,[23 18] ; [9 2],[25.23076923 15.76923077] ; [6.76923077 4.23076923],0
v2,1,0.121129,2.402661,[15 25] ; [7 4],[17.25490196 22.74509804] ; [4.74509804 6.25490196],0
v1,1,0.13033,2.288565,[16 25] ; [6 3],[18.04 22.96] ; [3.96 5.04],0
a8,1,0.149825,2.074033,[ 2 38] ; [2 9],[ 3.1372549 36.8627451] ; [ 0.8627451 10.1372549],0
v4,1,0.170904,1.875,[25 15] ; [7 1],[26.66666667 13.33333333] ; [5.33333333 2.66666667],0
d2,1,0.234656,1.412417,[11 30] ; [5 6],[12.61538462 28.38461538] ; [3.38461538 7.61538462],0
d1,1,0.238839,1.387435,[ 8 33] ; [4 7],[ 9.46153846 31.53846154] ; [2.53846154 8.46153846],0
p4,1,0.239645,1.382683,[26 14] ; [5 6],[24.31372549 15.68627451] ; [6.68627451 4.31372549],0
p11,1,0.247926,1.334953,[26 15] ; [9 2],[27.59615385 13.40384615] ; [7.40384615 3.59615385],0
p2,1,0.305749,1.048951,[30  9] ; [10  1],[31.2  7.8] ; [8.8 2.2],0
a6,1,0.52952,0.395312,[23 18] ; [5 6],[22.07692308 18.92307692] ; [5.92307692 5.07692308],0
a4,1,0.535405,0.384123,[11 30] ; [4 7],[11.82692308 29.17307692] ; [3.17307692 7.82692308],0
n4,1,0.554087,0.350047,[22 19] ; [7 4],[22.86538462 18.13461538] ; [6.13461538 4.86538462],0
n1,1,0.571608,0.32,[ 8 12] ; [1 3],[ 7.5 12.5] ; [1.5 2.5],0
b5,1,0.591345,0.288248,[26 15] ; [6 5],[25.23076923 15.76923077] ; [6.76923077 4.23076923],0
u1,1,0.594644,0.28315,[ 2 39] ; [ 1 10],[ 2.36538462 38.63461538] ; [ 0.63461538 10.36538462],0
r2,1,0.604319,0.268531,[21 19] ; [5 3],[21.66666667 18.33333333] ; [4.33333333 3.66666667],0
p12,1,0.609574,0.260795,[ 2 38] ; [ 1 10],[ 2.35294118 37.64705882] ; [ 0.64705882 10.35294118],0
u2,1,0.639207,0.21978,[10  6] ; [3 1],[10.4  5.6] ; [2.6 1.4],0
p9,1,0.666079,0.186223,[27 14] ; [8 3],[27.59615385 13.40384615] ; [7.40384615 3.59615385],0
s4,1,0.709918,0.138359,[ 9 32] ; [3 8],[ 9.46153846 31.53846154] ; [2.53846154 8.46153846],0
p8,1,0.732807,0.11655,[20 19] ; [5 6],[19.5 19.5] ; [5.5 5.5],0
p10,1,0.740722,0.109493,[27 13] ; [8 3],[27.45098039 12.54901961] ; [7.54901961 3.45098039],0
n6,1,0.763238,0.090741,[20 20] ; [4 5],[19.59183673 20.40816327] ; [4.40816327 4.59183673],0
v3,1,0.785764,0.073884,[ 9 32] ; [2 9],[ 8.67307692 32.32692308] ; [2.32692308 8.67307692],0
b3,1,0.816297,0.053968,[ 4 20] ; [2 8],[ 4.23529412 19.76470588] ; [1.76470588 8.23529412],0
b2,1,0.816297,0.053968,[ 4 20] ; [2 8],[ 4.23529412 19.76470588] ; [1.76470588 8.23529412],0
p3,1,0.826831,0.047859,[16 24] ; [4 7],[15.68627451 24.31372549] ; [4.31372549 6.68627451],0
a5,1,0.844576,0.038433,[21 20] ; [6 5],[21.28846154 19.71153846] ; [5.71153846 5.28846154],0
a7,1,0.844576,0.038433,[20 21] ; [5 6],[19.71153846 21.28846154] ; [5.28846154 5.71153846],0
u3,1,0.847516,0.036975,[ 6 11] ; [2 3],[ 6.18181818 10.81818182] ; [1.81818182 3.18181818],0
p6,1,0.851364,0.03511,[13 26] ; [4 7],[13.26 25.74] ; [3.74 7.26],0
n5,1,0.853972,0.033875,[26 15] ; [6 3],[26.24 14.76] ; [5.76 3.24],0
p5,1,0.92845,0.008063,[ 4 36] ; [ 1 10],[ 3.92156863 36.07843137] ; [1.07843137 9.92156863],0
a3,1,0.932811,0.007108,[24 17] ; [6 4],[24.11764706 16.88235294] ; [5.88235294 4.11764706],0
d3,1,0.978594,0.00072,[18 22] ; [5 6],[18.03921569 21.96078431] ; [4.96078431 6.03921569],0
