Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,24.633217,[ 93 150] ; [34  9],[107.90559441 135.09440559] ; [19.09440559 23.90559441],1
p12,1,3e-06,21.736179,[ 19 227] ; [15 33],[ 28.44897959 217.55102041] ; [ 5.55102041 42.44897959],1
b5,1,0.000439,12.360406,[170  79] ; [20 28],[159.29292929  89.70707071] ; [30.70707071 17.29292929],1
p4,1,0.000465,12.252659,[170  77] ; [44  3],[179.78911565  67.21088435] ; [34.21088435 12.78911565],1
p1,1,0.0005,12.113837,[ 17 231] ; [11 37],[ 23.45945946 224.54054054] ; [ 4.54054054 43.45945946],1
a1,1,0.000988,10.849617,[  8 241] ; [ 7 41],[ 12.57575758 236.42424242] ; [ 2.42424242 45.57575758],1
p8,1,0.001851,9.69139,[145  98] ; [40  8],[154.48453608  88.51546392] ; [30.51546392 17.48453608],0
p3,1,0.002212,9.364941,[141 106] ; [38  9],[150.38435374  96.61564626] ; [28.61564626 18.38435374],0
p10,1,0.012274,6.270847,[207  38] ; [47  1],[212.3890785  32.6109215] ; [41.6109215  6.3890785],0
n5,1,0.014928,5.924944,[202  45] ; [46  2],[207.64745763  39.35254237] ; [40.35254237  7.64745763],0
n3,1,0.020137,5.4,[33 12] ; [3 6],[30. 15.] ; [6. 3.],0
s7,1,0.022752,5.18732,[123 113] ; [33 14],[130.09187279 105.90812721] ; [25.90812721 21.09187279],0
v3,1,0.024216,5.07906,[124 113] ; [33 14],[131.01760563 105.98239437] ; [25.98239437 21.01760563],0
r2,1,0.03861,4.277944,[241   6] ; [44  4],[238.62711864   8.37288136] ; [46.37288136  1.62711864],0
a2,1,0.038798,4.269697,[ 96 153] ; [11 37],[ 89.70707071 159.29292929] ; [17.29292929 30.70707071],0
p9,1,0.040895,4.180354,[215  29] ; [47  1],[218.93150685  25.06849315] ; [43.06849315  4.93150685],0
s8,1,0.042827,4.10222,[128 118] ; [32 15],[134.33447099 111.66552901] ; [25.66552901 21.33447099],0
n4,1,0.052259,3.767461,[205  43] ; [45  3],[209.45945946  38.54054054] ; [40.54054054  7.45945946],0
s3,1,0.06302,3.456076,[137 106] ; [34 14],[142.79381443 100.20618557] ; [28.20618557 19.79381443],0
p11,1,0.076183,3.144501,[202  47] ; [44  4],[206.24242424  42.75757576] ; [39.75757576  8.24242424],0
s2,1,0.077384,3.119003,[140 105] ; [34 14],[145.49488055  99.50511945] ; [28.50511945 19.49488055],0
n6,1,0.086024,2.94725,[214  32] ; [45  2],[217.45392491  28.54607509] ; [41.54607509  5.45392491],0
r3,1,0.096481,2.762765,[244   5] ; [45  3],[242.29292929   6.70707071] ; [46.70707071  1.29292929],0
u4,1,0.099011,2.721401,[  8 241] ; [ 4 44],[ 10.06060606 238.93939394] ; [ 1.93939394 46.06060606],0
a4,1,0.117164,2.454832,[154  94] ; [24 24],[149.13513514  98.86486486] ; [28.86486486 19.13513514],0
p7,1,0.126737,2.332022,[167  74] ; [37  9],[171.30313589  69.69686411] ; [32.69686411 13.30313589],0
a3,1,0.151936,2.052701,[200  47] ; [43  5],[203.46101695  43.53898305] ; [39.53898305  8.46101695],0
p6,1,0.16092,1.965559,[112 130] ; [27 20],[116.39446367 125.60553633] ; [22.60553633 24.39446367],0
s4,1,0.229429,1.444396,[ 36 209] ; [10 36],[ 38.72852234 206.27147766] ; [ 7.27147766 38.72852234],0
b2,1,0.233946,1.416708,[65 90] ; [20 18],[68.2642487 86.7357513] ; [16.7357513 21.2642487],0
b3,1,0.233946,1.416708,[65 90] ; [20 18],[68.2642487 86.7357513] ; [16.7357513 21.2642487],0
b1,1,0.246433,1.343411,[ 92 157] ; [22 26],[ 95.57575758 153.42424242] ; [18.42424242 29.57575758],0
s6,1,0.247925,1.334959,[177  68] ; [37  9],[180.17182131  64.82817869] ; [33.82817869 12.17182131],0
a8,1,0.303526,1.05864,[ 28 187] ; [ 8 34],[ 30.11673152 184.88326848] ; [ 5.88326848 36.11673152],0
n2,1,0.319042,0.992871,[33 12] ; [8 1],[34.16666667 10.83333333] ; [6.83333333 2.16666667],0
a6,1,0.353349,0.861394,[185  63] ; [32 15],[182.42711864  65.57288136] ; [34.57288136 12.42711864],0
u2,1,0.36307,0.827246,[29 20] ; [4 1],[29.94444444 19.05555556] ; [3.05555556 1.94444444],0
b4,1,0.373294,0.79267,[152  97] ; [26 22],[149.23232323  99.76767677] ; [28.76767677 19.23232323],0
s1,1,0.37781,0.777815,[  5 240] ; [ 2 46],[  5.85324232 239.14675768] ; [ 1.14675768 46.85324232],0
a5,1,0.380426,0.769326,[219  30] ; [40  8],[217.14141414  31.85858586] ; [41.85858586  6.14141414],0
d4,1,0.407806,0.685188,[246   2] ; [46  1],[245.4779661   2.5220339] ; [46.5220339  0.4779661],0
n1,1,0.462433,0.54,[19 26] ; [5 4],[20. 25.] ; [4. 5.],0
d5,1,0.477394,0.50481,[242   6] ; [45  2],[241.27457627   6.72542373] ; [45.72542373  1.27457627],0
v2,1,0.552615,0.352653,[180  62] ; [33 14],[178.35986159  63.64013841] ; [34.64013841 12.35986159],0
a7,1,0.658553,0.195286,[194  55] ; [36 12],[192.82828283  56.17171717] ; [37.17171717 10.82828283],0
p2,1,0.741422,0.108881,[218  30] ; [43  5],[218.67567568  29.32432432] ; [42.32432432  5.67567568],0
d2,1,0.746979,0.104087,[179  69] ; [35 12],[179.90508475  68.09491525] ; [34.09491525 12.90508475],0
r1,1,0.760608,0.092831,[215  32] ; [41  7],[214.34576271  32.65423729] ; [41.65423729  6.34576271],0
d3,1,0.764227,0.089961,[221  28] ; [41  6],[220.39864865  28.60135135] ; [41.60135135  5.39864865],0
u1,1,0.797046,0.066138,[ 72 177] ; [13 35],[ 71.26262626 177.73737374] ; [13.73737374 34.26262626],0
r4,1,0.883815,0.021355,[232  17] ; [45  3],[232.23232323  16.76767677] ; [44.76767677  3.23232323],0
