Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.1e-05,18.077922,[52  6] ; [14 15],[44. 14.] ; [22.  7.],1
p11,1,0.00081,11.218421,[45 13] ; [12 17],[38. 20.] ; [19. 10.],1
s8,1,0.006319,7.457143,[34 24] ; [ 8 21],[28. 30.] ; [14. 15.],0
u2,1,0.009032,6.816492,[18  1] ; [8 6],[14.96969697  4.03030303] ; [11.03030303  2.96969697],0
p2,1,0.010203,6.599071,[50  8] ; [18 11],[45.33333333 12.66666667] ; [22.66666667  6.33333333],0
v4,1,0.02768,4.847884,[55  2] ; [24  5],[52.36046512  4.63953488] ; [26.63953488  2.36046512],0
d1,1,0.046922,3.948174,[37 21] ; [12 17],[32.66666667 25.33333333] ; [16.33333333 12.66666667],0
a3,1,0.087438,2.920921,[39 19] ; [14 15],[35.33333333 22.66666667] ; [17.66666667 11.33333333],0
b1,1,0.129444,2.299154,[26 32] ; [18 11],[29.33333333 28.66666667] ; [14.66666667 14.33333333],0
p8,1,0.148801,2.084499,[29 28] ; [10 19],[25.84883721 31.15116279] ; [13.15116279 15.84883721],0
d3,1,0.156726,2.005533,[42 16] ; [16 12],[39.11627907 18.88372093] ; [18.88372093  9.11627907],0
r1,1,0.177185,1.821079,[45 12] ; [19 10],[42.41860465 14.58139535] ; [21.58139535  7.41860465],0
r3,1,0.192607,1.697561,[56  2] ; [26  3],[54.66666667  3.33333333] ; [27.33333333  1.66666667],0
p12,1,0.212609,1.553571,[ 1 57] ; [ 2 27],[ 2. 56.] ; [ 1. 28.],0
a6,1,0.213055,1.550547,[41 17] ; [16 12],[38.44186047 19.55813953] ; [18.55813953  9.44186047],0
a8,1,0.24533,1.349706,[ 5 48] ; [ 5 22],[ 6.625 46.375] ; [ 3.375 23.625],0
d5,1,0.246653,1.342164,[46 12] ; [19  9],[43.8372093 14.1627907] ; [21.1627907  6.8372093],0
p7,1,0.302013,1.065286,[36 18] ; [16 13],[33.8313253 20.1686747] ; [18.1686747 10.8313253],0
a7,1,0.338583,0.915789,[40 18] ; [17 12],[38. 20.] ; [19. 10.],0
r4,1,0.358906,0.841718,[47 11] ; [21  8],[45.33333333 12.66666667] ; [22.66666667  6.33333333],0
p1,1,0.369438,0.805556,[ 3 55] ; [ 3 26],[ 4. 54.] ; [ 2. 27.],0
n5,1,0.404758,0.694145,[27 30] ; [11 18],[25.18604651 31.81395349] ; [12.81395349 16.18604651],0
b5,1,0.43183,0.617898,[35 23] ; [20  9],[36.66666667 21.33333333] ; [18.33333333 10.66666667],0
s2,1,0.443256,0.587838,[35 23] ; [15 14],[33.33333333 24.66666667] ; [16.66666667 12.33333333],0
a2,1,0.444408,0.584874,[10 48] ; [ 7 22],[11.33333333 46.66666667] ; [ 5.66666667 23.33333333],0
s7,1,0.450289,0.569923,[28 28] ; [12 17],[26.35294118 29.64705882] ; [13.64705882 15.35294118],0
u3,1,0.47546,0.509259,[14  4] ; [10  5],[13.09090909  4.90909091] ; [10.90909091  4.09090909],0
p5,1,0.503681,0.447172,[ 4 53] ; [ 1 28],[ 3.31395349 53.68604651] ; [ 1.68604651 27.31395349],0
s3,1,0.54044,0.374725,[41 16] ; [19 10],[39.76744186 17.23255814] ; [20.23255814  8.76744186],0
p6,1,0.545908,0.364699,[17 39] ; [ 7 22],[15.81176471 40.18823529] ; [ 8.18823529 20.81176471],0
n1,1,0.56747,0.326934,[ 7 13] ; [5 6],[ 7.74193548 12.25806452] ; [4.25806452 6.74193548],0
s5,1,0.582816,0.301704,[19 36] ; [ 8 20],[17.89156627 37.10843373] ; [ 9.10843373 18.89156627],0
u1,1,0.599788,0.275316,[ 6 52] ; [ 2 27],[ 5.33333333 52.66666667] ; [ 2.66666667 26.33333333],0
a4,1,0.623005,0.241667,[19 39] ; [ 8 21],[18. 40.] ; [ 9. 20.],0
a5,1,0.632305,0.228947,[39 19] ; [18 11],[38. 20.] ; [19. 10.],0
p4,1,0.647447,0.209135,[33 25] ; [15 14],[32. 26.] ; [16. 13.],0
n3,1,0.659676,0.193918,[13  7] ; [8 3],[13.5483871  6.4516129] ; [7.4516129 3.5483871],0
a1,1,0.717373,0.131024,[ 3 55] ; [ 1 28],[ 2.66666667 55.33333333] ; [ 1.33333333 27.66666667],0
d2,1,0.736654,0.11309,[25 33] ; [11 17],[24.27906977 33.72093023] ; [11.72093023 16.27906977],0
n4,1,0.761692,0.091966,[30 28] ; [14 15],[29.33333333 28.66666667] ; [14.66666667 14.33333333],0
d4,1,0.788113,0.072233,[47 11] ; [22  6],[46.53488372 11.46511628] ; [22.46511628  5.53488372],0
n2,1,0.817734,0.053112,[17  3] ; [9 2],[16.77419355  3.22580645] ; [9.22580645 1.77419355],0
v1,1,0.81849,0.052665,[28 27] ; [14 15],[27.5 27.5] ; [14.5 14.5],0
s4,1,0.854413,0.033669,[13 45] ; [ 6 23],[12.66666667 45.33333333] ; [ 6.33333333 22.66666667],0
b2,1,0.859993,0.031111,[10 26] ; [ 6 14],[10.28571429 25.71428571] ; [ 5.71428571 14.28571429],0
b3,1,0.859993,0.031111,[10 26] ; [ 6 14],[10.28571429 25.71428571] ; [ 5.71428571 14.28571429],0
r2,1,0.866274,0.028356,[49  7] ; [25  4],[48.75294118  7.24705882] ; [25.24705882  3.75294118],0
p3,1,0.87852,0.023362,[25 33] ; [13 16],[25.33333333 32.66666667] ; [12.66666667 16.33333333],0
v2,1,0.888013,0.01983,[27 25] ; [15 13],[27.3 24.7] ; [14.7 13.3],0
v3,1,0.924362,0.009014,[14 40] ; [ 7 19],[14.175 39.825] ; [ 6.825 19.175],0
s1,1,0.988467,0.000209,[ 2 55] ; [ 1 28],[ 1.98837209 55.01162791] ; [ 1.01162791 27.98837209],0
b4,1,1.0,0.0,[32 26] ; [16 13],[32. 26.] ; [16. 13.],0
