Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.4e-05,17.877374,[23 15] ; [ 6 35],[13.94936709 24.05063291] ; [15.05063291 25.94936709],1
p4,1,3.7e-05,17.003122,[25 14] ; [ 8 34],[15.88888889 23.11111111] ; [17.11111111 24.88888889],1
p6,1,7.9e-05,15.572324,[18 21] ; [ 3 38],[10.2375 28.7625] ; [10.7625 30.2375],1
p3,1,0.02212,5.236292,[18 21] ; [ 9 32],[13.1625 25.8375] ; [13.8375 27.1625],0
p2,1,0.024216,5.079082,[29 10] ; [21 21],[24.07407407 14.92592593] ; [25.92592593 16.07407407],0
n3,1,0.030896,4.658729,[13  5] ; [ 7 12],[9.72972973 8.27027027] ; [10.27027027  8.72972973],0
u2,1,0.058522,3.578781,[13  9] ; [ 6 14],[ 9.95238095 12.04761905] ; [ 9.04761905 10.95238095],0
n1,1,0.089552,2.882401,[ 7 10] ; [ 3 16],[ 4.72222222 12.27777778] ; [ 5.27777778 13.72222222],0
s8,1,0.13448,2.240009,[12 27] ; [ 7 35],[ 9.14814815 29.85185185] ; [ 9.85185185 32.14814815],0
d1,1,0.157014,2.002747,[10 29] ; [17 25],[13. 26.] ; [14. 28.],0
b3,1,0.167064,1.909091,[ 5 15] ; [10 12],[ 7.14285714 12.85714286] ; [ 7.85714286 14.14285714],0
b2,1,0.167064,1.909091,[ 5 15] ; [10 12],[ 7.14285714 12.85714286] ; [ 7.85714286 14.14285714],0
s6,1,0.191864,1.703248,[20 18] ; [16 26],[17.1 20.9] ; [18.9 23.1],0
a2,1,0.193442,1.691209,[ 1 38] ; [ 4 38],[ 2.40740741 36.59259259] ; [ 2.59259259 39.40740741],0
r2,1,0.194911,1.6801,[31  8] ; [28 14],[28.40740741 10.59259259] ; [30.59259259 11.40740741],0
s7,1,0.201831,1.629073,[13 26] ; [ 8 31],[10.5 28.5] ; [10.5 28.5],0
r4,1,0.22283,1.486049,[22 17] ; [18 24],[19.25925926 19.74074074] ; [20.74074074 21.25925926],0
d3,1,0.227499,1.456431,[17 20] ; [25 17],[19.67088608 17.32911392] ; [22.32911392 19.67088608],0
p9,1,0.234043,1.416122,[23 16] ; [28 11],[25.5 13.5] ; [25.5 13.5],0
p1,1,0.278128,1.176217,[ 2 37] ; [ 5 37],[ 3.37037037 35.62962963] ; [ 3.62962963 38.37037037],0
a7,1,0.283779,1.148904,[19 19] ; [26 16],[21.375 16.625] ; [23.625 18.375],0
s1,1,0.341948,0.903115,[ 1 38] ; [ 3 39],[ 1.92592593 37.07407407] ; [ 2.07407407 39.92592593],0
b4,1,0.455747,0.556319,[20 19] ; [25 17],[21.66666667 17.33333333] ; [23.33333333 18.66666667],0
s3,1,0.47379,0.513122,[16 23] ; [14 28],[14.44444444 24.55555556] ; [15.55555556 26.44444444],0
d4,1,0.47379,0.513122,[23 16] ; [28 14],[24.55555556 14.44444444] ; [26.44444444 15.55555556],0
v4,1,0.484123,0.48956,[33  6] ; [33  9],[31.77777778  7.22222222] ; [34.22222222  7.77777778],0
r3,1,0.484123,0.48956,[33  6] ; [33  9],[31.77777778  7.22222222] ; [34.22222222  7.77777778],0
a3,1,0.494564,0.466582,[17 21] ; [22 20],[18.525 19.475] ; [20.475 21.525],0
n5,1,0.505949,0.442437,[13 26] ; [17 25],[14.44444444 24.55555556] ; [15.55555556 26.44444444],0
v1,1,0.518726,0.416426,[11 27] ; [15 27],[12.35 25.65] ; [13.65 28.35],0
b5,1,0.522041,0.409859,[25 14] ; [24 18],[23.59259259 15.40740741] ; [25.40740741 16.59259259],0
a8,1,0.541175,0.373367,[ 2 37] ; [ 1 39],[ 1.48101266 37.51898734] ; [ 1.51898734 38.48101266],0
a4,1,0.546806,0.363071,[ 8 31] ; [11 31],[ 9.14814815 29.85185185] ; [ 9.85185185 32.14814815],0
n2,1,0.58239,0.302386,[12  6] ; [11  8],[11.18918919  6.81081081] ; [11.81081081  7.18918919],0
a1,1,0.583991,0.299826,[ 3 36] ; [ 2 40],[ 2.40740741 36.59259259] ; [ 2.59259259 39.40740741],0
n6,1,0.67184,0.179458,[25 14] ; [25 17],[24.07407407 14.92592593] ; [25.92592593 16.07407407],0
