Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.7e-05,17.605182,[28 42] ; [178  86],[43.17365269 26.82634731] ; [162.82634731 101.17365269],1
s5,1,0.000699,11.491454,[43 26] ; [104 159],[30.55120482 38.44879518] ; [116.44879518 146.55120482],1
a8,1,0.001079,10.686597,[ 3 66] ; [ 52 192],[12.12460064 56.87539936] ; [ 42.87539936 201.12460064],0
n4,1,0.00133,10.300346,[53 19] ; [241  31],[61.53488372 10.46511628] ; [232.46511628  39.53488372],0
s2,1,0.002285,9.305085,[62 10] ; [184  87],[51.63848397 20.36151603] ; [194.36151603  76.63848397],0
b3,1,0.005329,7.764194,[12 35] ; [100 109],[20.5625 26.4375] ; [ 91.4375 117.5625],0
b2,1,0.005329,7.764194,[12 35] ; [100 109],[20.5625 26.4375] ; [ 91.4375 117.5625],0
v3,1,0.006943,7.287529,[25 47] ; [137 123],[35.13253012 36.86746988] ; [126.86746988 133.13253012],0
s3,1,0.021466,5.288585,[62 10] ; [195  72],[54.5840708 17.4159292] ; [202.4159292  64.5840708],0
a5,1,0.024311,5.072301,[51 21] ; [225  47],[57.76744186 14.23255814] ; [218.23255814  53.76744186],0
s6,1,0.030992,4.653393,[66  6] ; [217  51],[59.92941176 12.07058824] ; [223.07058824  44.92941176],0
a3,1,0.048527,3.891657,[54 18] ; [230  41],[59.61516035 12.38483965] ; [224.38483965  46.61516035],0
a7,1,0.067798,3.335544,[43 29] ; [193  79],[49.39534884 22.60465116] ; [186.60465116  85.39534884],0
p5,1,0.098863,2.723783,[ 8 64] ; [ 52 215],[12.74336283 59.25663717] ; [ 47.25663717 219.74336283],0
s1,1,0.116468,2.464181,[ 5 67] ; [  8 262],[ 2.73684211 69.26315789] ; [ 10.26315789 259.73684211],0
p8,1,0.122192,2.388996,[48 22] ; [156 111],[42.37388724 27.62611276] ; [161.62611276 105.37388724],0
r1,1,0.124191,2.363652,[55 17] ; [228  43],[59.40524781 12.59475219] ; [223.59475219  47.40524781],0
v1,1,0.135946,2.223257,[37 35] ; [159 101],[42.5060241 29.4939759] ; [153.4939759 106.5060241],0
d4,1,0.136957,2.21182,[58 14] ; [236  34],[61.89473684 10.10526316] ; [232.10526316  37.89473684],0
n2,1,0.161816,1.957169,[14  1] ; [37 11],[12.14285714  2.85714286] ; [38.85714286  9.14285714],0
r4,1,0.163928,1.937608,[62 10] ; [249  23],[65.09302326  6.90697674] ; [245.90697674  26.09302326],0
r3,1,0.203194,1.619264,[68  4] ; [264   7],[69.6909621  2.3090379] ; [262.3090379   8.6909621],0
p6,1,0.212408,1.55494,[37 34] ; [117 150],[32.34911243 38.65088757] ; [121.65088757 145.34911243],0
n1,1,0.230811,1.435855,[ 5 10] ; [24 23],[7.01612903 7.98387097] ; [21.98387097 25.01612903],0
n6,1,0.253821,1.302147,[62 10] ; [244  25],[64.60997067  7.39002933] ; [241.39002933  27.60997067],0
a2,1,0.274481,1.194217,[16 56] ; [ 78 194],[19.6744186 52.3255814] ; [ 74.3255814 197.6744186],0
u4,1,0.274889,1.192187,[ 1 71] ; [ 11 261],[ 2.51162791 69.48837209] ; [  9.48837209 262.51162791],0
n5,1,0.365282,0.81965,[57 15] ; [226  44],[59.57894737 12.42105263] ; [223.42105263  46.57894737],0
p7,1,0.37809,0.776904,[54 14] ; [196  68],[51.20481928 16.79518072] ; [198.79518072  65.20481928],0
b4,1,0.395164,0.722992,[37 35] ; [155 117],[40.18604651 31.81395349] ; [151.81395349 120.18604651],0
r2,1,0.395203,0.722874,[68  4] ; [257   9],[69.23076923  2.76923077] ; [255.76923077  10.23076923],0
d5,1,0.476585,0.506667,[58 14] ; [227  43],[60. 12.] ; [225.  45.],0
a4,1,0.484315,0.489131,[32 40] ; [133 138],[34.63556851 37.36443149] ; [130.36443149 140.63556851],0
d2,1,0.511626,0.430741,[37 35] ; [151 120],[39.46355685 32.53644315] ; [148.53644315 122.46355685],0
b5,1,0.522049,0.409844,[43 29] ; [151 121],[40.60465116 31.39534884] ; [153.39534884 118.60465116],0
p2,1,0.57011,0.322498,[64  8] ; [234  37],[62.55393586  9.44606414] ; [235.44606414  35.55393586],0
a1,1,0.570921,0.321143,[ 3 69] ; [ 16 256],[ 3.97674419 68.02325581] ; [ 15.02325581 256.97674419],0
p12,1,0.60674,0.264949,[ 7 65] ; [ 32 237],[ 8.23460411 63.76539589] ; [ 30.76539589 238.23460411],0
a6,1,0.615382,0.252411,[46 26] ; [181  89],[47.78947368 24.21052632] ; [179.21052632  90.78947368],0
s8,1,0.671516,0.179834,[49 23] ; [190  79],[50.46334311 21.53665689] ; [188.53665689  80.46334311],0
