Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.012943,6.176901,[ 1 14] ; [5 5],[ 3.6 11.4] ; [2.4 7.6],0
r2,1,0.048398,3.896104,[6 9] ; [8 2],[8.4 6.6] ; [5.6 4.4],0
d4,1,0.101707,2.678571,[9 6] ; [9 1],[10.8  4.2] ; [7.2 2.8],0
r3,1,0.173568,1.851852,[8 7] ; [8 2],[9.6 5.4] ; [6.4 3.6],0
s4,1,0.180812,1.790936,[ 5 10] ; [1 9],[ 3.6 11.4] ; [2.4 7.6],0
n3,1,0.186858,1.742222,[4 1] ; [1 2],[3.125 1.875] ; [1.875 1.125],0
a4,1,0.233762,1.417824,[ 4 11] ; [5 5],[5.4 9.6] ; [3.6 6.4],0
u2,1,0.259796,1.269841,[1 5] ; [2 2],[1.8 4.2] ; [1.2 2.8],0
v2,1,0.275234,1.190476,[ 3 12] ; [4 6],[ 4.2 10.8] ; [2.8 7.2],0
b5,1,0.3268,0.961538,[9 6] ; [4 6],[7.8 7.2] ; [5.2 4.8],0
d5,1,0.3268,0.961538,[6 9] ; [6 4],[7.2 7.8] ; [4.8 5.2],0
n2,1,0.342782,0.9,[1 4] ; [2 2],[1.66666667 3.33333333] ; [1.33333333 2.66666667],0
p8,1,0.348861,0.877595,[4 9] ; [5 5],[5.08695652 7.91304348] ; [3.91304348 6.08695652],0
a6,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
s3,1,0.404657,0.694444,[ 5 10] ; [5 5],[6. 9.] ; [4. 6.],0
v3,1,0.458902,0.548571,[ 3 11] ; [1 9],[ 2.33333333 11.66666667] ; [1.66666667 8.33333333],0
p3,1,0.466985,0.529101,[ 5 10] ; [2 8],[ 4.2 10.8] ; [2.8 7.2],0
p6,1,0.504036,0.446429,[ 3 12] ; [1 9],[ 2.4 12.6] ; [1.6 8.4],0
b1,1,0.513292,0.42735,[8 7] ; [4 6],[7.2 7.8] ; [4.8 5.2],0
a5,1,0.513292,0.42735,[7 8] ; [6 4],[7.8 7.2] ; [5.2 4.8],0
p10,1,0.609834,0.260417,[6 9] ; [3 7],[5.4 9.6] ; [3.6 6.4],0
b4,1,0.609834,0.260417,[9 6] ; [7 3],[9.6 5.4] ; [6.4 3.6],0
p2,1,0.621685,0.243506,[6 9] ; [5 5],[6.6 8.4] ; [4.4 5.6],0
n1,1,0.635256,0.225,[2 3] ; [1 3],[1.66666667 3.33333333] ; [1.33333333 2.66666667],0
b2,1,0.679708,0.170455,[3 7] ; [1 4],[2.66666667 7.33333333] ; [1.33333333 3.66666667],0
b3,1,0.679708,0.170455,[3 7] ; [1 4],[2.66666667 7.33333333] ; [1.33333333 3.66666667],0
s2,1,0.702195,0.146199,[ 4 11] ; [2 8],[ 3.6 11.4] ; [2.4 7.6],0
p4,1,0.733701,0.115741,[ 5 10] ; [4 6],[5.4 9.6] ; [3.6 6.4],0
n6,1,0.733701,0.115741,[ 5 10] ; [4 6],[5.4 9.6] ; [3.6 6.4],0
p9,1,0.742174,0.108225,[7 8] ; [4 6],[6.6 8.4] ; [4.4 5.6],0
s8,1,0.763441,0.09058,[ 1 14] ; [1 9],[ 1.2 13.8] ; [0.8 9.2],0
s1,1,0.801614,0.063131,[ 2 13] ; [1 9],[ 1.8 13.2] ; [1.2 8.8],0
s7,1,0.808605,0.058673,[ 4 10] ; [3 6],[4.26086957 9.73913043] ; [2.73913043 6.26086957],0
v1,1,0.855702,0.033069,[ 4 11] ; [3 7],[ 4.2 10.8] ; [2.8 7.2],0
d1,1,0.861052,0.030637,[ 5 10] ; [3 7],[ 4.8 10.2] ; [3.2 6.8],0
p11,1,0.87018,0.026709,[8 7] ; [5 5],[7.8 7.2] ; [5.2 4.8],0
d3,1,0.87018,0.026709,[7 8] ; [5 5],[7.2 7.8] ; [4.8 5.2],0
a7,1,0.87018,0.026709,[8 7] ; [5 5],[7.8 7.2] ; [5.2 4.8],0
a3,1,1.0,0.0,[9 6] ; [6 4],[9. 6.] ; [6. 4.],0
p7,1,1.0,0.0,[6 9] ; [4 6],[6. 9.] ; [4. 6.],0
s5,1,1.0,0.0,[ 3 12] ; [2 8],[ 3. 12.] ; [2. 8.],0
d2,1,1.0,0.0,[6 9] ; [4 6],[6. 9.] ; [4. 6.],0
s6,1,1.0,0.0,[6 9] ; [4 6],[6. 9.] ; [4. 6.],0
