Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7.8e-05,15.613345,[28 21] ; [140  27],[38.11111111 10.88888889] ; [129.88888889  37.11111111],1
p8,1,8.8e-05,15.370446,[11 41] ; [88 81],[23.29411765 28.70588235] ; [75.70588235 93.29411765],1
p4,1,0.000368,12.687104,[14 37] ; [95 75],[25.15384615 25.84615385] ; [83.84615385 86.15384615],1
p10,1,0.001225,10.452753,[27 23] ; [130  38],[36.00917431 13.99082569] ; [120.99082569  47.00917431],0
n5,1,0.001389,10.220495,[25 26] ; [124  46],[34.38461538 16.61538462] ; [114.61538462  55.38461538],0
p7,1,0.006791,7.327378,[21 28] ; [107  59],[29.17209302 19.82790698] ; [98.82790698 67.17209302],0
d5,1,0.012283,6.269487,[28 24] ; [123  47],[35.36936937 16.63063063] ; [115.63063063  54.36936937],0
a6,1,0.0139,6.050797,[20 32] ; [99 72],[27.74887892 24.25112108] ; [91.25112108 79.74887892],0
s1,1,0.017442,5.6513,[ 5 45] ; [  4 164],[ 2.06422018 47.93577982] ; [  6.93577982 161.06422018],0
p3,1,0.028971,4.769365,[14 38] ; [75 96],[20.75336323 31.24663677] ; [ 68.24663677 102.75336323],0
p6,1,0.030877,4.659793,[11 40] ; [ 63 103],[17.39170507 33.60829493] ; [ 56.60829493 109.39170507],0
a7,1,0.03925,4.25,[30 22] ; [123  46],[36. 16.] ; [117.  52.],0
p1,1,0.041405,4.159355,[ 1 51] ; [ 19 151],[ 4.68468468 47.31531532] ; [ 15.31531532 154.68468468],0
r3,1,0.051816,3.781713,[49  3] ; [167   2],[50.82352941  1.17647059] ; [165.17647059   3.82352941],0
s7,1,0.052186,3.769783,[12 35] ; [67 96],[17.68095238 29.31904762] ; [ 61.31904762 101.68095238],0
b1,1,0.06474,3.411588,[24 28] ; [ 55 116],[18.42152466 33.57847534] ; [ 60.57847534 110.42152466],0
d3,1,0.066997,3.35511,[25 27] ; [106  64],[30.68468468 21.31531532] ; [100.31531532  69.68468468],0
s5,1,0.072769,3.219421,[ 7 40] ; [ 46 120],[11.69483568 35.30516432] ; [ 41.30516432 124.69483568],0
s3,1,0.084519,2.975785,[23 27] ; [101  68],[28.31050228 21.68949772] ; [95.68949772 73.31050228],0
p5,1,0.091652,2.845114,[ 2 48] ; [ 21 150],[ 5.20361991 44.79638009] ; [ 17.79638009 153.20361991],0
a3,1,0.109746,2.55787,[19 32] ; [85 85],[24. 27.] ; [80. 90.],0
n4,1,0.116405,2.46503,[29 23] ; [115  55],[33.72972973 18.27027027] ; [110.27027027  59.72972973],0
b5,1,0.133802,2.247825,[37 15] ; [102  69],[32.41255605 19.58744395] ; [106.58744395  64.41255605],0
u2,1,0.160832,1.966387,[22 11] ; [44 40],[18.61538462 14.38461538] ; [47.38461538 36.61538462],0
v3,1,0.193178,1.693213,[13 36] ; [ 60 104],[16.79342723 32.20657277] ; [ 56.20657277 107.79342723],0
n6,1,0.200735,1.637017,[39 13] ; [141  29],[42.16216216  9.83783784] ; [137.83783784  32.16216216],0
v4,1,0.205308,1.604207,[48  4] ; [164   6],[49.65765766  2.34234234] ; [162.34234234   7.65765766],0
a4,1,0.213515,1.547434,[ 7 44] ; [ 37 134],[10.10810811 40.89189189] ; [ 33.89189189 137.10810811],0
d4,1,0.219617,1.506875,[33 19] ; [123  47],[36.54054054 15.45945946] ; [119.45945946  50.54054054],0
d1,1,0.242234,1.367545,[14 38] ; [ 61 110],[17.48878924 34.51121076] ; [ 57.51121076 113.48878924],0
v2,1,0.265473,1.239989,[19 30] ; [77 84],[22.4 26.6] ; [73.6 87.4],0
