Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.320046,[11 29] ; [53 17],[23.27272727 16.72727273] ; [40.72727273 29.27272727],1
a5,1,0.006647,7.366071,[15 25] ; [45 25],[21.81818182 18.18181818] ; [38.18181818 31.81818182],0
p7,1,0.026799,4.903738,[22 18] ; [23 46],[16.51376147 23.48623853] ; [28.48623853 40.51376147],0
b2,1,0.033275,4.531567,[ 3 22] ; [17 31],[ 6.84931507 18.15068493] ; [13.15068493 34.84931507],0
b3,1,0.033275,4.531567,[ 3 22] ; [17 31],[ 6.84931507 18.15068493] ; [13.15068493 34.84931507],0
r2,1,0.034882,4.450926,[29 11] ; [61  8],[33.02752294  6.97247706] ; [56.97247706 12.02752294],0
u3,1,0.049946,3.84328,[14  6] ; [13 18],[10.58823529  9.41176471] ; [16.41176471 14.58823529],0
r1,1,0.056535,3.636219,[22 18] ; [51 19],[26.54545455 13.45454545] ; [46.45454545 23.54545455],0
s4,1,0.056686,3.631787,[12 28] ; [10 58],[ 8.14814815 31.85185185] ; [13.85185185 54.14814815],0
n3,1,0.076564,3.136364,[15  8] ; [ 9 14],[12. 11.] ; [12. 11.],0
r4,1,0.113651,2.502709,[22 18] ; [49 21],[25.81818182 14.18181818] ; [45.18181818 24.81818182],0
n1,1,0.117206,2.454261,[ 6 17] ; [12 13],[ 8.625 14.375] ; [ 9.375 15.625],0
a8,1,0.138391,2.19576,[ 1 38] ; [ 7 60],[ 2.94339623 36.05660377] ; [ 5.05660377 61.94339623],0
v3,1,0.161947,1.955955,[ 5 35] ; [16 52],[ 7.77777778 32.22222222] ; [13.22222222 54.77777778],0
a6,1,0.169733,1.885296,[18 22] ; [41 29],[21.45454545 18.54545455] ; [37.54545455 32.45454545],0
p6,1,0.171943,1.865922,[10 30] ; [10 59],[ 7.33944954 32.66055046] ; [12.66055046 56.33944954],0
u1,1,0.186376,1.746032,[ 2 38] ; [ 9 61],[ 4. 36.] ; [ 7. 63.],0
n6,1,0.190412,1.714428,[21 19] ; [45 24],[24.22018349 15.77981651] ; [41.77981651 27.22018349],0
s3,1,0.1925,1.698378,[14 26] ; [33 36],[17.24770642 22.75229358] ; [29.75229358 39.24770642],0
p4,1,0.20265,1.62317,[17 23] ; [21 48],[13.94495413 26.05504587] ; [24.05504587 44.94495413],0
s7,1,0.206827,1.593495,[ 7 31] ; [19 45],[ 9.68627451 28.31372549] ; [16.31372549 47.68627451],0
d3,1,0.234346,1.414286,[17 23] ; [38 32],[20. 20.] ; [35. 35.],0
p1,1,0.250346,1.321372,[ 2 38] ; [ 8 61],[ 3.66972477 36.33027523] ; [ 6.33027523 62.66972477],0
u2,1,0.253671,1.302973,[11  9] ; [12 19],[ 9.01960784 10.98039216] ; [13.98039216 17.01960784],0
p11,1,0.261068,1.263084,[15 25] ; [34 36],[17.81818182 22.18181818] ; [31.18181818 38.81818182],0
a2,1,0.3067,1.044833,[ 4 36] ; [12 58],[ 5.81818182 34.18181818] ; [10.18181818 59.81818182],0
b5,1,0.42788,0.628571,[22 18] ; [33 37],[20. 20.] ; [35. 35.],0
d4,1,0.433883,0.612407,[27 13] ; [42 28],[25.09090909 14.90909091] ; [43.90909091 26.09090909],0
n2,1,0.445209,0.582821,[14  9] ; [13 13],[12.67346939 10.32653061] ; [14.32653061 11.67346939],0
p8,1,0.462779,0.539166,[12 27] ; [17 53],[10.37614679 28.62385321] ; [18.62385321 51.37614679],0
a1,1,0.48777,0.481443,[ 2 38] ; [ 6 64],[ 2.90909091 37.09090909] ; [ 5.09090909 64.90909091],0
a3,1,0.510154,0.433751,[20 20] ; [39 30],[21.65137615 18.34862385] ; [37.34862385 31.65137615],0
s1,1,0.52508,0.403903,[ 5 35] ; [ 6 63],[ 4.03669725 35.96330275] ; [ 6.96330275 62.03669725],0
s8,1,0.551038,0.35546,[ 5 34] ; [12 58],[ 6.08256881 32.91743119] ; [10.91743119 59.08256881],0
s6,1,0.57114,0.320779,[14 25] ; [29 41],[15.3853211 23.6146789] ; [27.6146789 42.3853211],0
d1,1,0.603595,0.269608,[14 26] ; [28 42],[15.27272727 24.72727273] ; [26.72727273 43.27272727],0
s5,1,0.613377,0.255286,[ 7 32] ; [10 60],[ 6.08256881 32.91743119] ; [10.91743119 59.08256881],0
d5,1,0.622289,0.242664,[25 15] ; [47 23],[26.18181818 13.81818182] ; [45.81818182 24.18181818],0
s2,1,0.628698,0.233831,[10 29] ; [21 49],[11.09174312 27.90825688] ; [19.90825688 50.09174312],0
a4,1,0.736704,0.113045,[14 26] ; [26 42],[14.81481481 25.18518519] ; [25.18518519 42.81481481],0
d2,1,0.745528,0.105327,[21 19] ; [34 35],[20.18348624 19.81651376] ; [34.81651376 34.18348624],0
p2,1,0.772971,0.083227,[20 20] ; [37 33],[20.72727273 19.27272727] ; [36.27272727 33.72727273],0
p10,1,0.800753,0.063692,[ 8 32] ; [15 53],[ 8.51851852 31.48148148] ; [14.48148148 53.51851852],0
