Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,126.739385,[596  29] ; [13 18],[580.22103659  44.77896341] ; [28.77896341  2.22103659],1
v4,1,0.0,79.224745,[610  13] ; [21 10],[601.09021407  21.90978593] ; [29.90978593  1.09021407],1
r1,1,0.0,47.96956,[516 107] ; [10 21],[501.06727829 121.93272171] ; [24.93272171  6.06727829],1
s3,1,0.000246,13.43977,[365 252] ; [ 8 23],[355.1558642 261.8441358] ; [17.8441358 13.1558642],1
d1,1,0.000907,11.008152,[388 237] ; [10 21],[379.19207317 245.80792683] ; [18.80792683 12.19207317],1
r3,1,0.001957,9.589842,[605  18] ; [26  4],[602.01071975  20.98928025] ; [28.98928025  1.01071975],0
a2,1,0.004316,8.145927,[162 463] ; [ 1 30],[155.2972561 469.7027439] ; [ 7.7027439 23.2972561],0
v1,1,0.004512,8.065361,[353 254] ; [10 21],[345.36206897 261.63793103] ; [17.63793103 13.36206897],0
s2,1,0.004655,8.008814,[341 279] ; [ 9 22],[333.33333333 286.66666667] ; [16.66666667 14.33333333],0
a3,1,0.005129,7.833474,[462 159] ; [16 15],[455.27300613 165.72699387] ; [22.72699387  8.27300613],0
d5,1,0.009672,6.694309,[516 107] ; [20 11],[510.59327217 112.40672783] ; [25.40672783  5.59327217],0
p5,1,0.01212,6.293226,[ 81 538] ; [ 9 22],[ 85.70769231 533.29230769] ; [ 4.29230769 26.70769231],0
s6,1,0.014853,5.933869,[439 171] ; [16 15],[432.99531981 177.00468019] ; [22.00468019  8.99531981],0
a7,1,0.022826,5.181717,[458 165] ; [17 14],[452.48470948 170.51529052] ; [22.51529052  8.48470948],0
s7,1,0.027462,4.861498,[323 276] ; [10 20],[317.11764706 281.88235294] ; [15.88235294 14.11764706],0
a4,1,0.037398,4.332205,[300 323] ; [ 9 22],[294.35321101 328.64678899] ; [14.64678899 16.35321101],0
a6,1,0.037455,4.32958,[433 191] ; [16 15],[427.74961832 196.25038168] ; [21.25038168  9.74961832],0
a5,1,0.045473,4.001023,[481 144] ; [19 12],[476.37195122 148.62804878] ; [23.62804878  7.37195122],0
v2,1,0.055249,3.674564,[356 244] ; [13 18],[350.87163233 249.12836767] ; [18.12836767 12.87163233],0
n3,1,0.07102,3.259286,[95 30] ; [5 5],[92.59259259 32.40740741] ; [7.40740741 2.59259259],0
p7,1,0.073832,3.195698,[411 201] ; [16 15],[406.41368585 205.58631415] ; [20.58631415 10.41368585],0
d4,1,0.075311,3.163295,[520 104] ; [22  9],[516.3480916 107.6519084] ; [25.6519084  5.3480916],0
p3,1,0.079187,3.081502,[342 282] ; [12 19],[337.24580153 286.75419847] ; [16.75419847 14.24580153],0
p6,1,0.085357,2.959834,[256 363] ; [ 8 23],[251.40923077 367.59076923] ; [12.59076923 18.40923077],0
u3,1,0.089389,2.885338,[91 71] ; [ 5 10],[87.86440678 74.13559322] ; [8.13559322 6.86440678],0
n4,1,0.107988,2.583416,[514 110] ; [22  9],[510.63206107 113.36793893] ; [25.36793893  5.63206107],0
