Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.00035,12.784319,[ 7 67] ; [13 21],[13.7037037 60.2962963] ; [ 6.2962963 27.7037037],1
s6,1,0.001124,10.611381,[39 35] ; [29  5],[46.59259259 27.40740741] ; [21.40740741 12.59259259],0
s1,1,0.016759,5.721481,[ 1 73] ; [ 4 30],[ 3.42592593 70.57407407] ; [ 1.57407407 32.42592593],0
p5,1,0.018614,5.537422,[ 2 72] ; [ 5 29],[ 4.7962963 69.2037037] ; [ 2.2037037 31.7962963],0
n4,1,0.019103,5.49204,[35 39] ; [ 8 26],[29.46296296 44.53703704] ; [13.53703704 20.46296296],0
s2,1,0.019578,5.449152,[30 44] ; [22 12],[35.62962963 38.37037037] ; [16.37037037 17.62962963],0
p6,1,0.020769,5.346078,[24 50] ; [19 15],[29.46296296 44.53703704] ; [13.53703704 20.46296296],0
s7,1,0.022085,5.239043,[23 48] ; [18 14],[28.26213592 42.73786408] ; [12.73786408 19.26213592],0
n1,1,0.040673,4.189597,[ 3 18] ; [6 7],[ 5.55882353 15.44117647] ; [3.44117647 9.55882353],0
p1,1,0.058989,3.56559,[ 6 67] ; [ 7 26],[ 8.95283019 64.04716981] ; [ 4.04716981 28.95283019],0
d2,1,0.078968,3.086009,[28 46] ; [19 15],[32.2037037 41.7962963] ; [14.7962963 19.2037037],0
v1,1,0.091863,2.841429,[23 47] ; [17 17],[26.92307692 43.07692308] ; [13.07692308 20.92307692],0
a4,1,0.108376,2.577747,[25 49] ; [17 17],[28.77777778 45.22222222] ; [13.22222222 20.77777778],0
u1,1,0.109789,2.557251,[ 7 67] ; [ 7 27],[ 9.59259259 64.40740741] ; [ 4.40740741 29.59259259],0
p12,1,0.130625,2.285058,[ 3 71] ; [ 4 30],[ 4.7962963 69.2037037] ; [ 2.2037037 31.7962963],0
p3,1,0.134387,2.241083,[41 33] ; [24 10],[44.53703704 29.46296296] ; [20.46296296 13.53703704],0
