Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.914677,[235 104] ; [118 118],[208.11652174 130.88347826] ; [144.88347826  91.11652174],1
v3,1,5e-06,20.847143,[170 168] ; [ 75 165],[143.26989619 194.73010381] ; [101.73010381 138.26989619],1
n5,1,1.7e-05,18.478399,[295  54] ; [171  74],[273.79461279  75.20538721] ; [192.20538721  52.79461279],1
p6,1,0.000476,12.206672,[161 185] ; [ 80 168],[140.38047138 205.61952862] ; [100.61952862 147.38047138],1
s8,1,0.000734,11.401721,[194 154] ; [103 144],[173.70756303 174.29243697] ; [123.29243697 123.70756303],1
p4,1,0.001067,10.70702,[242 107] ; [139 108],[223.10234899 125.89765101] ; [157.89765101  89.10234899],0
p8,1,0.002054,9.500617,[217 128] ; [124 123],[198.72466216 146.27533784] ; [142.27533784 104.72466216],0
b3,1,0.002433,9.190241,[104 126] ; [38 93],[ 90.47091413 139.52908587] ; [51.52908587 79.47091413],0
b2,1,0.002433,9.190241,[104 126] ; [38 93],[ 90.47091413 139.52908587] ; [51.52908587 79.47091413],0
p3,1,0.009045,6.81401,[201 148] ; [116 132],[185.31490787 163.68509213] ; [131.68509213 116.31490787],0
p11,1,0.017466,5.648922,[302  49] ; [195  53],[291.23038397  59.76961603] ; [205.76961603  42.23038397],0
b5,1,0.018277,5.569446,[222 129] ; [133 115],[208.02170284 142.97829716] ; [146.97829716 101.02170284],0
a1,1,0.018938,5.50723,[ 21 330] ; [  5 243],[ 15.23539232 335.76460768] ; [ 10.76460768 237.23539232],0
p1,1,0.03275,4.558784,[ 37 312] ; [ 14 234],[ 29.81407035 319.18592965] ; [ 21.18592965 226.81407035],0
n1,1,0.033672,4.511278,[27 30] ; [18 45],[21.375 35.625] ; [23.625 39.375],0
n4,1,0.033923,4.498577,[290  60] ; [188  60],[279.76588629  70.23411371] ; [198.23411371  49.76588629],0
p5,1,0.036006,4.396814,[ 54 293] ; [ 24 224],[ 45.48907563 301.51092437] ; [ 32.51092437 215.48907563],0
p7,1,0.040062,4.215253,[245  95] ; [157  88],[233.64102564 106.35897436] ; [168.35897436  76.64102564],0
p10,1,0.040723,4.187498,[328  23] ; [220  28],[321.11519199  29.88480801] ; [226.88480801  21.11519199],0
a8,1,0.041118,4.171153,[ 56 258] ; [ 26 201],[ 47.59334566 266.40665434] ; [ 34.40665434 192.59334566],0
s5,1,0.043685,4.068708,[141 199] ; [ 79 159],[129.41176471 210.58823529] ; [ 90.58823529 147.41176471],0
a3,1,0.053157,3.738971,[275  73] ; [179  69],[265.08724832  82.91275168] ; [188.91275168  59.08724832],0
u4,1,0.054162,3.707712,[ 11 340] ; [  2 246],[  7.61769616 343.38230384] ; [  5.38230384 242.61769616],0
s4,1,0.057104,3.61955,[ 51 295] ; [ 51 195],[ 59.61486486 286.38513514] ; [ 42.38513514 203.61486486],0
p12,1,0.074256,3.186339,[ 41 309] ; [ 18 229],[ 34.58961474 315.41038526] ; [ 24.41038526 222.58961474],0
n6,1,0.083575,2.993966,[309  38] ; [208  39],[302.01851852  44.98148148] ; [214.98148148  32.01851852],0
a5,1,0.092276,2.83422,[286  65] ; [188  60],[277.75292154  73.24707846] ; [196.24707846  51.75292154],0
