Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2e-06,23.04,[1 7] ; [49  7],[6.25 1.75] ; [43.75 12.25],1
r3,1,2.5e-05,17.760263,[4 4] ; [54  2],[7.25 0.75] ; [50.75  5.25],1
d3,1,0.004317,8.145455,[2 6] ; [42 14],[5.5 2.5] ; [38.5 17.5],0
a7,1,0.01383,6.059688,[2 6] ; [39 17],[5.125 2.875] ; [35.875 20.125],0
s1,1,0.019172,5.485714,[2 6] ; [ 2 54],[0.5 7.5] ; [ 3.5 52.5],0
p9,1,0.076414,3.139559,[2 6] ; [31 22],[4.32786885 3.67213115] ; [28.67213115 24.32786885],0
v2,1,0.096993,2.754298,[2 6] ; [31 24],[4.19047619 3.80952381] ; [28.80952381 26.19047619],0
v4,1,0.105043,2.627258,[6 2] ; [52  4],[7.25 0.75] ; [50.75  5.25],0
r1,1,0.108588,2.574647,[4 4] ; [43 13],[5.875 2.125] ; [41.125 14.875],0
r4,1,0.14635,2.10989,[5 3] ; [47  9],[6.5 1.5] ; [45.5 10.5],0
p5,1,0.173079,1.856069,[2 6] ; [ 5 51],[0.875 7.125] ; [ 6.125 49.875],0
n5,1,0.180954,1.789773,[7 1] ; [35 20],[5.33333333 2.66666667] ; [36.66666667 18.33333333],0
d2,1,0.213625,1.54669,[3 5] ; [34 22],[4.625 3.375] ; [32.375 23.625],0
s6,1,0.253098,1.306122,[5 3] ; [45 11],[6.25 1.75] ; [43.75 12.25],0
n3,1,0.26939,1.21985,[4 1] ; [10  9],[2.91666667 2.08333333] ; [11.08333333  7.91666667],0
b4,1,0.319868,0.989487,[4 4] ; [38 18],[5.25 2.75] ; [36.75 19.25],0
p6,1,0.363626,0.82533,[2 6] ; [23 32],[3.17460317 4.82539683] ; [21.82539683 33.17460317],0
p8,1,0.363626,0.82533,[2 6] ; [23 32],[3.17460317 4.82539683] ; [21.82539683 33.17460317],0
a2,1,0.382733,0.761905,[1 7] ; [15 41],[2. 6.] ; [14. 42.],0
p11,1,0.394861,0.723921,[3 5] ; [30 26],[4.125 3.875] ; [28.875 27.125],0
a4,1,0.449692,0.571429,[3 5] ; [29 27],[4. 4.] ; [28. 28.],0
r2,1,0.455572,0.556753,[7 1] ; [51  3],[7.48387097 0.51612903] ; [50.51612903  3.48387097],0
b3,1,0.476485,0.506897,[2 5] ; [18 24],[2.85714286 4.14285714] ; [17.14285714 24.85714286],0
b2,1,0.476485,0.506897,[2 5] ; [18 24],[2.85714286 4.14285714] ; [17.14285714 24.85714286],0
n4,1,0.542846,0.37029,[7 1] ; [43 12],[6.34920635 1.65079365] ; [43.65079365 11.34920635],0
s2,1,0.550616,0.356215,[6 2] ; [36 20],[5.25 2.75] ; [36.75 19.25],0
p2,1,0.605125,0.267335,[5 3] ; [40 16],[5.625 2.375] ; [39.375 16.625],0
n2,1,0.612274,0.256877,[4 1] ; [13  6],[3.54166667 1.45833333] ; [13.45833333  5.54166667],0
b5,1,0.614884,0.253125,[6 2] ; [37 19],[5.375 2.625] ; [37.625 18.375],0
a5,1,0.683481,0.166234,[5 3] ; [39 17],[5.5 2.5] ; [38.5 17.5],0
u2,1,0.73244,0.116883,[1 1] ; [10  6],[1.22222222 0.77777778] ; [9.77777778 6.22222222],0
n6,1,0.744031,0.106615,[6 2] ; [44 11],[6.34920635 1.65079365] ; [43.65079365 11.34920635],0
a3,1,0.756389,0.096241,[6 2] ; [39 17],[5.625 2.375] ; [39.375 16.625],0
p4,1,0.775853,0.08107,[4 4] ; [31 25],[4.375 3.625] ; [30.625 25.375],0
b1,1,0.775853,0.08107,[4 4] ; [25 31],[3.625 4.375] ; [25.375 30.625],0
p7,1,0.785299,0.074213,[3 5] ; [23 31],[3.35483871 4.64516129] ; [22.64516129 31.35483871],0
a8,1,0.79031,0.070707,[2 6] ; [10 38],[1.71428571 6.28571429] ; [10.28571429 37.71428571],0
s5,1,0.844371,0.038536,[3 5] ; [18 35],[2.75409836 5.24590164] ; [18.24590164 34.75409836],0
s8,1,0.849817,0.035854,[4 4] ; [30 26],[4.25 3.75] ; [29.75 26.25],0
p1,1,0.87968,0.022914,[1 7] ; [ 6 50],[0.875 7.125] ; [ 6.125 49.875],0
a6,1,0.922856,0.009377,[5 3] ; [34 22],[4.875 3.125] ; [34.125 21.875],0
p3,1,0.922856,0.009377,[3 5] ; [22 34],[3.125 4.875] ; [21.875 34.125],0
n1,1,0.932294,0.007218,[3 2] ; [11  8],[2.91666667 2.08333333] ; [11.08333333  7.91666667],0
v3,1,0.958099,0.00276,[3 5] ; [19 33],[2.93333333 5.06666667] ; [19.06666667 32.93333333],0
s3,1,0.977983,0.000762,[6 2] ; [41 14],[5.96825397 2.03174603] ; [41.03174603 13.96825397],0
v1,1,1.0,0.0,[4 4] ; [27 27],[4. 4.] ; [27. 27.],0
s4,1,1.0,0.0,[2 6] ; [14 42],[2. 6.] ; [14. 42.],0
