Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.2e-05,18.034151,[23  5] ; [36 62],[13.11111111 14.88888889] ; [45.88888889 52.11111111],1
s2,1,0.001062,10.716279,[16 12] ; [24 74],[ 8.88888889 19.11111111] ; [31.11111111 66.88888889],0
s8,1,0.002912,8.861538,[14 14] ; [21 77],[ 7.77777778 20.22222222] ; [27.22222222 70.77777778],0
p12,1,0.004631,8.018008,[ 5 23] ; [ 3 95],[ 1.77777778 26.22222222] ; [ 6.22222222 91.77777778],0
r4,1,0.00729,7.2,[24  4] ; [57 41],[18. 10.] ; [63. 35.],0
p5,1,0.008106,7.00982,[ 4 24] ; [ 2 94],[ 1.35483871 26.64516129] ; [ 4.64516129 91.35483871],0
s3,1,0.011071,6.453924,[15 12] ; [28 68],[ 9.43902439 17.56097561] ; [33.56097561 62.43902439],0
p10,1,0.012541,6.232776,[18  9] ; [38 58],[12.29268293 14.70731707] ; [43.70731707 52.29268293],0
s4,1,0.016497,5.749159,[ 9 18] ; [13 84],[ 4.79032258 22.20967742] ; [17.20967742 79.79032258],0
d4,1,0.034689,4.460411,[25  3] ; [68 30],[20.66666667  7.33333333] ; [72.33333333 25.66666667],0
r3,1,0.034689,4.460411,[25  3] ; [68 30],[20.66666667  7.33333333] ; [72.33333333 25.66666667],0
s7,1,0.052899,3.747095,[13 14] ; [26 66],[ 8.8487395 18.1512605] ; [30.1512605 61.8487395],0
n6,1,0.06007,3.535438,[23  5] ; [62 36],[18.88888889  9.11111111] ; [66.11111111 31.88888889],0
r1,1,0.087375,2.922078,[21  7] ; [56 42],[17.11111111 10.88888889] ; [59.88888889 38.11111111],0
v4,1,0.10425,2.639296,[24  4] ; [69 29],[20.66666667  7.33333333] ; [72.33333333 25.66666667],0
a5,1,0.129714,2.295918,[22  6] ; [62 36],[18.66666667  9.33333333] ; [65.33333333 32.66666667],0
p11,1,0.139693,2.181337,[17 11] ; [44 54],[13.55555556 14.44444444] ; [47.44444444 50.55555556],0
r2,1,0.141743,2.158929,[26  2] ; [78 18],[23.48387097  4.51612903] ; [80.51612903 15.48387097],0
s1,1,0.158738,1.986207,[ 4 24] ; [ 6 92],[ 2.22222222 25.77777778] ; [ 7.77777778 90.22222222],0
v1,1,0.196233,1.67019,[11 17] ; [25 69],[ 8.26229508 19.73770492] ; [27.73770492 66.26229508],0
p1,1,0.197765,1.658801,[ 5 23] ; [ 9 89],[ 3.11111111 24.88888889] ; [10.88888889 87.11111111],0
d2,1,0.233156,1.421506,[18 10] ; [50 47],[15.232 12.768] ; [52.768 44.232],0
a4,1,0.24954,1.325877,[16 12] ; [43 53],[13.32258065 14.67741935] ; [45.67741935 50.32258065],0
p3,1,0.250082,1.322847,[ 8 20] ; [18 79],[ 5.824 22.176] ; [20.176 76.824],0
p6,1,0.252086,1.311707,[ 4 24] ; [ 7 89],[ 2.48387097 25.51612903] ; [ 8.51612903 87.48387097],0
p4,1,0.252178,1.3112,[ 8 19] ; [19 79],[ 5.832 21.168] ; [21.168 76.832],0
a1,1,0.270105,1.216216,[ 5 23] ; [10 88],[ 3.33333333 24.66666667] ; [11.66666667 86.33333333],0
n3,1,0.272777,1.202727,[4 6] ; [26 18],[5.55555556 4.44444444] ; [24.44444444 19.55555556],0
b5,1,0.316761,1.002273,[17 11] ; [49 49],[14.66666667 13.33333333] ; [51.33333333 46.66666667],0
u2,1,0.369428,0.805586,[2 5] ; [16 18],[3.07317073 3.92682927] ; [14.92682927 19.07317073],0
v2,1,0.374453,0.788835,[12 14] ; [34 59],[10.05042017 15.94957983] ; [35.94957983 57.05042017],0
p8,1,0.377638,0.778378,[ 2 26] ; [13 85],[ 3.33333333 24.66666667] ; [11.66666667 86.33333333],0
