Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.735144,[17 69] ; [18  8],[26.875 59.125] ; [ 8.125 17.875],1
d1,1,0.005753,7.626122,[30 56] ; [17  9],[36.08928571 49.91071429] ; [10.91071429 15.08928571],0
v1,1,0.006886,7.302498,[22 60] ; [14 11],[27.58878505 54.41121495] ; [ 8.41121495 16.58878505],0
d5,1,0.007823,7.07346,[52 34] ; [23  3],[57.58928571 28.41071429] ; [17.41071429  8.58928571],0
p10,1,0.01337,6.119505,[45 39] ; [21  5],[50.4 33.6] ; [15.6 10.4],0
s2,1,0.014369,5.992208,[24 62] ; [14 12],[29.17857143 56.82142857] ; [ 8.82142857 17.17857143],0
s5,1,0.015349,5.87592,[13 69] ; [ 9 14],[17.18095238 64.81904762] ; [ 4.81904762 18.18095238],0
r3,1,0.018656,5.533445,[59 26] ; [24  2],[63.55855856 21.44144144] ; [19.44144144  6.55855856],0
p1,1,0.020026,5.40966,[ 6 80] ; [ 6 20],[ 9.21428571 76.78571429] ; [ 2.78571429 23.21428571],0
s8,1,0.028312,4.808992,[13 73] ; [ 9 17],[16.89285714 69.10714286] ; [ 5.10714286 20.89285714],0
p6,1,0.034688,4.460481,[11 74] ; [ 8 18],[14.54954955 70.45045045] ; [ 4.45045045 21.54954955],0
p9,1,0.037263,4.338372,[54 26] ; [23  3],[58.11320755 21.88679245] ; [18.88679245  7.11320755],0
v4,1,0.045124,4.013997,[59 27] ; [23  3],[62.96428571 23.03571429] ; [19.03571429  6.96428571],0
p2,1,0.048406,3.895846,[44 42] ; [19  7],[48.375 37.625] ; [14.625 11.375],0
r2,1,0.058439,3.581135,[58 25] ; [23  3],[61.67889908 21.32110092] ; [19.32110092  6.67889908],0
r4,1,0.09753,2.745485,[37 49] ; [16 10],[40.69642857 45.30357143] ; [12.30357143 13.69642857],0
p5,1,0.097596,2.744392,[ 3 83] ; [ 3 22],[ 4.64864865 81.35135135] ; [ 1.35135135 23.64864865],0
a4,1,0.114767,2.487319,[28 57] ; [13 13],[31.3963964 53.6036036] ; [ 9.6036036 16.3963964],0
