Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.9e-05,16.899953,[86  3] ; [49 17],[77.51612903 11.48387097] ; [57.48387097  8.51612903],1
p7,1,6.9e-05,15.837581,[54 36] ; [18 47],[41.80645161 48.19354839] ; [30.19354839 34.80645161],1
r3,1,0.000258,13.353155,[86  4] ; [50 16],[78.46153846 11.53846154] ; [57.53846154  8.46153846],1
p8,1,0.000313,12.989612,[40 51] ; [11 55],[29.56050955 61.43949045] ; [21.43949045 44.56050955],1
p4,1,0.000429,12.402484,[48 43] ; [16 49],[37.33333333 53.66666667] ; [26.66666667 38.33333333],1
d3,1,0.000523,12.032062,[65 26] ; [29 37],[54.48407643 36.51592357] ; [39.51592357 26.48407643],1
r4,1,0.001211,10.473617,[81 10] ; [45 21],[73.03184713 17.96815287] ; [52.96815287 13.03184713],0
p11,1,0.003409,8.574403,[56 35] ; [25 41],[46.94904459 44.05095541] ; [34.05095541 31.94904459],0
a7,1,0.005007,7.876987,[66 24] ; [34 32],[57.69230769 32.30769231] ; [42.30769231 23.69230769],0
s3,1,0.008898,6.843148,[49 41] ; [22 44],[40.96153846 49.03846154] ; [30.03846154 35.96153846],0
p6,1,0.010691,6.515954,[24 64] ; [ 7 59],[17.71428571 70.28571429] ; [13.28571429 52.71428571],0
s1,1,0.01805,5.59133,[ 3 86] ; [ 9 57],[ 6.89032258 82.10967742] ; [ 5.10967742 60.89032258],0
b5,1,0.022714,5.190238,[58 33] ; [30 36],[51.00636943 39.99363057] ; [36.99363057 29.00636943],0
r1,1,0.02406,5.090327,[76 15] ; [45 21],[70.13375796 20.86624204] ; [50.86624204 15.13375796],0
v1,1,0.027254,4.874677,[39 52] ; [17 49],[32.45859873 58.54140127] ; [23.54140127 42.45859873],0
d5,1,0.031746,4.612187,[72 19] ; [42 24],[66.07643312 24.92356688] ; [47.92356688 18.07643312],0
a6,1,0.034982,4.44605,[62 29] ; [34 32],[55.6433121 35.3566879] ; [40.3566879 25.6433121],0
a1,1,0.064135,3.427094,[ 3 88] ; [ 7 59],[ 5.79617834 85.20382166] ; [ 4.20382166 61.79617834],0
s2,1,0.06876,3.312374,[35 53] ; [17 49],[29.71428571 58.28571429] ; [22.28571429 43.71428571],0
p10,1,0.075734,3.154143,[28 62] ; [12 53],[23.22580645 66.77419355] ; [16.77419355 48.22580645],0
n4,1,0.077434,3.117947,[66 25] ; [39 27],[60.85987261 30.14012739] ; [44.14012739 21.85987261],0
n2,1,0.081842,3.027946,[20  6] ; [17 14],[16.87719298  9.12280702] ; [20.12280702 10.87719298],0
s8,1,0.084631,2.973639,[26 64] ; [11 54],[21.48387097 68.51612903] ; [15.51612903 49.48387097],0
s4,1,0.110612,2.545455,[16 72] ; [ 6 60],[12.57142857 75.42857143] ; [ 9.42857143 56.57142857],0
n3,1,0.138504,2.1945,[19  9] ; [13 14],[16.29090909 11.70909091] ; [15.70909091 11.29090909],0
s7,1,0.13995,2.178506,[31 55] ; [15 46],[26.91156463 59.08843537] ; [19.08843537 41.91156463],0
a8,1,0.207485,1.588889,[ 8 70] ; [ 3 62],[ 6. 72.] ; [ 5. 60.],0
v2,1,0.210912,1.565155,[40 48] ; [23 42],[36.23529412 51.76470588] ; [26.76470588 38.23529412],0
b2,1,0.251878,1.312857,[15 43] ; [14 24],[17.52083333 40.47916667] ; [11.47916667 26.52083333],0
