Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.9e-05,18.307327,[43 29] ; [10 39],[31.53719008 40.46280992] ; [21.46280992 27.53719008],1
s5,1,0.000141,14.482188,[31 39] ; [ 5 41],[21.72413793 48.27586207] ; [14.27586207 31.72413793],1
v1,1,0.000363,12.715053,[38 33] ; [10 38],[28.63865546 42.36134454] ; [19.36134454 28.63865546],1
p10,1,0.001319,10.315789,[64  8] ; [31 17],[57. 15.] ; [38. 10.],0
s3,1,0.001348,10.275076,[44 28] ; [15 33],[35.4 36.6] ; [23.6 24.4],0
s7,1,0.002984,8.817113,[33 35] ; [10 37],[25.42608696 42.57391304] ; [17.57391304 29.42608696],0
d4,1,0.00311,8.741702,[60 12] ; [29 20],[52.95867769 19.04132231] ; [36.04132231 12.95867769],0
p5,1,0.004001,8.283168,[14 57] ; [ 1 48],[ 8.875 62.125] ; [ 6.125 42.875],0
s8,1,0.004126,8.227703,[33 39] ; [10 39],[25.58677686 46.41322314] ; [17.41322314 31.58677686],0
p9,1,0.006027,7.542254,[66  5] ; [36 12],[60.85714286 10.14285714] ; [41.14285714  6.85714286],0
d1,1,0.015849,5.819498,[38 34] ; [15 34],[31.53719008 40.46280992] ; [21.46280992 27.53719008],0
b4,1,0.017317,5.663913,[52 20] ; [25 24],[45.81818182 26.18181818] ; [31.18181818 17.81818182],0
p8,1,0.024393,5.066504,[37 34] ; [15 33],[31.02521008 39.97478992] ; [20.97478992 27.02521008],0
n3,1,0.027449,4.862338,[13  9] ; [13  1],[15.88888889  6.11111111] ; [10.11111111  3.88888889],0
d3,1,0.029526,4.736694,[46 26] ; [21 27],[40.2 31.8] ; [26.8 21.2],0
p11,1,0.040672,4.189614,[60 12] ; [33 16],[55.33884298 16.66115702] ; [37.66115702 11.33884298],0
p4,1,0.052337,3.764968,[43 29] ; [20 28],[37.8 34.2] ; [25.2 22.8],0
a5,1,0.055877,3.655707,[45 27] ; [22 27],[39.8677686 32.1322314] ; [27.1322314 21.8677686],0
b2,1,0.092363,2.832703,[14 32] ; [14 14],[17.40540541 28.59459459] ; [10.59459459 17.40540541],0
b3,1,0.092363,2.832703,[14 32] ; [14 14],[17.40540541 28.59459459] ; [10.59459459 17.40540541],0
s4,1,0.117768,2.446761,[17 55] ; [ 6 43],[13.68595041 58.31404959] ; [ 9.31404959 39.68595041],0
p3,1,0.129847,2.29433,[38 34] ; [19 30],[33.91735537 38.08264463] ; [23.08264463 25.91735537],0
u2,1,0.156364,2.009043,[18 12] ; [ 7 11],[15.625 14.375] ; [9.375 8.625],0
v3,1,0.158924,1.98443,[25 43] ; [12 37],[21.5042735 46.4957265] ; [15.4957265 33.5042735],0
d2,1,0.192549,1.698002,[31 41] ; [15 33],[27.6 44.4] ; [18.4 29.6],0
n5,1,0.203858,1.614514,[52 20] ; [30 19],[48.79338843 23.20661157] ; [33.20661157 15.79338843],0
p6,1,0.221757,1.492962,[29 42] ; [14 33],[25.87288136 45.12711864] ; [17.12711864 29.87288136],0
b5,1,0.26834,1.225213,[46 26] ; [36 13],[48.79338843 23.20661157] ; [33.20661157 15.79338843],0
a6,1,0.283468,1.15039,[40 32] ; [32 17],[42.84297521 29.15702479] ; [29.15702479 19.84297521],0
a8,1,0.312715,1.019174,[ 5 63] ; [ 6 40],[ 6.56140351 61.43859649] ; [ 4.43859649 41.56140351],0
p7,1,0.331082,0.944661,[42 28] ; [25 24],[39.41176471 30.58823529] ; [27.58823529 21.41176471],0
v4,1,0.364198,0.823366,[70  2] ; [46  3],[69.02479339  2.97520661] ; [46.97520661  2.02479339],0
v2,1,0.384893,0.755016,[29 39] ; [17 32],[26.73504274 41.26495726] ; [19.26495726 29.73504274],0
n6,1,0.405768,0.691167,[64  8] ; [41  8],[62.47933884  9.52066116] ; [42.52066116  6.47933884],0
n4,1,0.478156,0.503066,[50 22] ; [31 18],[48.19834711 23.80165289] ; [32.80165289 16.19834711],0
s1,1,0.533389,0.387931,[ 3 69] ; [ 1 47],[ 2.4 69.6] ; [ 1.6 46.4],0
p2,1,0.585769,0.297001,[56 16] ; [36 13],[54.74380165 17.25619835] ; [37.25619835 11.74380165],0
a3,1,0.586186,0.296341,[42 30] ; [31 18],[43.43801653 28.56198347] ; [29.56198347 19.43801653],0
a2,1,0.594347,0.283606,[ 8 64] ; [ 4 45],[ 7.14049587 64.85950413] ; [ 4.85950413 44.14049587],0
u1,1,0.626636,0.23665,[ 3 69] ; [ 3 46],[ 3.57024793 68.42975207] ; [ 2.42975207 46.57024793],0
u3,1,0.653594,0.201399,[13 17] ; [9 9],[13.75 16.25] ; [8.25 9.75],0
p1,1,0.660024,0.193495,[ 7 65] ; [ 6 43],[ 7.73553719 64.26446281] ; [ 5.26446281 43.73553719],0
r2,1,0.671218,0.18018,[66  6] ; [45  3],[66.6  5.4] ; [44.4  3.6],0
a7,1,0.754632,0.09768,[46 26] ; [32 16],[46.8 25.2] ; [31.2 16.8],0
a4,1,0.81339,0.055722,[25 47] ; [16 33],[24.39669421 47.60330579] ; [16.60330579 32.39669421],0
n1,1,0.831657,0.045189,[10 12] ; [5 7],[ 9.70588235 12.29411765] ; [5.29411765 6.70588235],0
d5,1,0.932838,0.007102,[53 19] ; [35 13],[52.8 19.2] ; [35.2 12.8],0
b1,1,0.997435,1e-05,[25 47] ; [17 32],[24.99173554 47.00826446] ; [17.00826446 31.99173554],0
