Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.036331,4.381481,[2 4] ; [7 1],[3.85714286 2.14285714] ; [5.14285714 2.85714286],0
d3,1,0.038262,4.293318,[7 9] ; [34 13],[10.41269841  5.58730159] ; [30.58730159 16.41269841],0
a2,1,0.0455,4.0,[ 1 15] ; [15 33],[ 4. 12.] ; [12. 36.],0
a6,1,0.057567,3.606127,[7 9] ; [33 14],[10.15873016  5.84126984] ; [29.84126984 17.15873016],0
u4,1,0.063935,3.43224,[ 3 13] ; [ 2 45],[ 1.26984127 14.73015873] ; [ 3.73015873 43.26984127],0
a3,1,0.080856,3.047619,[10  6] ; [40  8],[12.5  3.5] ; [37.5 10.5],0
p1,1,0.128643,2.308802,[ 3 13] ; [19 29],[ 5.5 10.5] ; [16.5 31.5],0
v2,1,0.131606,2.273455,[7 9] ; [30 16],[9.5483871 6.4516129] ; [27.4516129 18.5483871],0
p3,1,0.1562,2.010638,[12  4] ; [42  5],[13.71428571  2.28571429] ; [40.28571429  6.71428571],0
b5,1,0.191966,1.702463,[ 5 11] ; [24 24],[7.25 8.75] ; [21.75 26.25],0
p10,1,0.233038,1.422222,[14  2] ; [46  2],[15.  1.] ; [45.  3.],0
s3,1,0.271967,1.206799,[13  3] ; [30 15],[11.27868852  4.72131148] ; [31.72131148 13.27868852],0
a5,1,0.294894,1.097143,[11  5] ; [39  9],[12.5  3.5] ; [37.5 10.5],0
u3,1,0.333998,0.933333,[3 3] ; [6 2],[3.85714286 2.14285714] ; [5.14285714 2.85714286],0
r1,1,0.399948,0.708483,[13  3] ; [42  5],[13.96825397  2.03174603] ; [41.03174603  5.96825397],0
p9,1,0.406787,0.688172,[15  1] ; [47  1],[15.5  0.5] ; [46.5  1.5],0
n3,1,0.407626,0.685714,[3 1] ; [4 4],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
n1,1,0.407626,0.685714,[3 1] ; [4 4],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
s5,1,0.413704,0.668132,[9 6] ; [30 12],[10.26315789  4.73684211] ; [28.73684211 13.26315789],0
n6,1,0.416591,0.659912,[15  1] ; [46  1],[15.49206349  0.50793651] ; [45.50793651  1.49206349],0
r4,1,0.41981,0.650847,[14  2] ; [45  3],[14.75  1.25] ; [44.25  3.75],0
v1,1,0.461301,0.542736,[9 6] ; [33 14],[10.16129032  4.83870968] ; [31.83870968 15.16129032],0
d1,1,0.464986,0.533867,[8 8] ; [29 19],[9.25 6.75] ; [27.75 20.25],0
d4,1,0.482679,0.492804,[12  4] ; [39  8],[12.95238095  3.04761905] ; [38.04761905  8.95238095],0
n2,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
a1,1,0.590482,0.289593,[ 4 12] ; [ 9 39],[ 3.25 12.75] ; [ 9.75 38.25],0
s2,1,0.602548,0.27117,[10  6] ; [32 14],[10.83870968  5.16129032] ; [31.16129032 14.83870968],0
b3,1,0.616253,0.251169,[7 6] ; [16 19],[6.22916667 6.77083333] ; [16.77083333 18.22916667],0
b2,1,0.616253,0.251169,[7 6] ; [16 19],[6.22916667 6.77083333] ; [16.77083333 18.22916667],0
p2,1,0.620468,0.245211,[15  1] ; [43  5],[14.5  1.5] ; [43.5  4.5],0
v3,1,0.630843,0.230919,[9 7] ; [29 17],[9.80645161 6.19354839] ; [28.19354839 17.80645161],0
p12,1,0.651826,0.203606,[ 5 11] ; [18 30],[ 5.75 10.25] ; [17.25 30.75],0
s8,1,0.681126,0.168861,[11  5] ; [29 17],[10.32258065  5.67741935] ; [29.67741935 16.32258065],0
n5,1,0.732779,0.116576,[15  1] ; [46  2],[15.25  0.75] ; [45.75  2.25],0
s7,1,0.737395,0.112429,[12  4] ; [34  9],[12.47457627  3.52542373] ; [33.52542373  9.47457627],0
s4,1,0.740702,0.109511,[ 3 13] ; [ 7 39],[ 2.58064516 13.41935484] ; [ 7.41935484 38.58064516],0
p4,1,0.746236,0.104721,[15  1] ; [45  2],[15.23809524  0.76190476] ; [44.76190476  2.23809524],0
r2,1,0.746236,0.104721,[15  1] ; [45  2],[15.23809524  0.76190476] ; [44.76190476  2.23809524],0
r3,1,0.760046,0.093282,[15  1] ; [44  2],[15.22580645  0.77419355] ; [43.77419355  2.22580645],0
b4,1,0.768844,0.08637,[10  6] ; [28 20],[9.5 6.5] ; [28.5 19.5],0
a4,1,0.772397,0.08366,[7 9] ; [23 25],[7.5 8.5] ; [22.5 25.5],0
s1,1,0.787994,0.072316,[ 1 15] ; [ 4 44],[ 1.25 14.75] ; [ 3.75 44.25],0
n4,1,0.787994,0.072316,[15  1] ; [44  4],[14.75  1.25] ; [44.25  3.75],0
p11,1,0.817137,0.053467,[14  2] ; [43  5],[14.25  1.75] ; [42.75  5.25],0
s6,1,0.82105,0.051164,[13  1] ; [40  4],[12.79310345  1.20689655] ; [40.20689655  3.79310345],0
a8,1,0.881108,0.02237,[ 3 13] ; [ 7 34],[ 2.80701754 13.19298246] ; [ 7.19298246 33.80701754],0
b1,1,0.882406,0.02188,[ 6 10] ; [19 29],[6.25 9.75] ; [18.75 29.25],0
d5,1,0.897008,0.016755,[12  4] ; [36 11],[12.19047619  3.80952381] ; [35.80952381 11.19047619],0
d2,1,0.941394,0.005405,[8 8] ; [23 24],[7.87301587 8.12698413] ; [23.12698413 23.87301587],0
p8,1,1.0,0.0,[15  1] ; [45  3],[15.  1.] ; [45.  3.],0
