Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,81.780126,[162   9] ; [19 30],[140.68636364  30.31363636] ; [40.31363636  8.68636364],1
n5,1,2.3e-05,17.935714,[126  42] ; [21 28],[113.80645161  54.19354839] ; [33.19354839 15.80645161],1
p11,1,0.000197,13.857771,[142  29] ; [29 21],[132.31221719  38.68778281] ; [38.68778281 11.31221719],1
r4,1,0.000214,13.704115,[153  18] ; [34 16],[144.69230769  26.30769231] ; [42.30769231  7.69230769],1
n4,1,0.001194,10.499685,[134  37] ; [27 22],[125.14090909  45.85909091] ; [35.85909091 13.14090909],0
n6,1,0.004547,8.051516,[145  25] ; [33 16],[138.17351598  31.82648402] ; [39.82648402  9.17351598],0
p7,1,0.007554,7.136332,[113  56] ; [23 27],[104.94977169  64.05022831] ; [31.05022831 18.94977169],0
p2,1,0.01237,6.257016,[141  30] ; [33 17],[134.63348416  36.36651584] ; [39.36651584 10.63348416],0
p4,1,0.020737,5.348785,[106  64] ; [22 28],[98.90909091 71.09090909] ; [29.09090909 20.90909091],0
r1,1,0.021313,5.301035,[141  29] ; [34 16],[135.22727273  34.77272727] ; [39.77272727 10.22727273],0
r2,1,0.021315,5.300834,[157  10] ; [41  8],[153.08333333  13.91666667] ; [44.91666667  4.08333333],0
s7,1,0.024767,5.040107,[80 84] ; [15 34],[73.14553991 90.85446009] ; [21.85446009 27.14553991],0
s6,1,0.026658,4.912855,[121  50] ; [27 23],[114.5158371  56.4841629] ; [33.4841629 16.5158371],0
s8,1,0.029216,4.754826,[ 70 101] ; [12 38],[ 63.4479638 107.5520362] ; [18.5520362 31.4479638],0
u3,1,0.032384,4.57805,[29 15] ; [ 7 12],[25.14285714 18.85714286] ; [10.85714286  8.14285714],0
p8,1,0.059489,3.551585,[83 86] ; [17 33],[77.16894977 91.83105023] ; [22.83105023 27.16894977],0
p3,1,0.068916,3.308644,[88 83] ; [18 31],[82.39090909 88.60909091] ; [23.60909091 25.39090909],0
p6,1,0.088074,2.909221,[ 69 101] ; [13 35],[ 63.94495413 106.05504587] ; [18.05504587 29.94495413],0
a5,1,0.088667,2.898417,[136  35] ; [34 16],[131.53846154  39.46153846] ; [38.46153846 11.53846154],0
d3,1,0.09035,2.868126,[124  47] ; [30 20],[119.15837104  51.84162896] ; [34.84162896 15.15837104],0
a3,1,0.090951,2.857456,[127  44] ; [31 19],[122.25339367  48.74660633] ; [35.74660633 14.25339367],0
v4,1,0.092805,2.825032,[157  11] ; [43  7],[154.12844037  13.87155963] ; [45.87155963  4.12844037],0
r3,1,0.112404,2.520088,[165   5] ; [46  4],[163.04545455   6.95454545] ; [47.95454545  2.04545455],0
v1,1,0.114867,2.485949,[99 67] ; [23 26],[94.19534884 71.80465116] ; [27.80465116 21.19534884],0
s3,1,0.124603,2.358484,[89 81] ; [20 30],[84.22727273 85.77272727] ; [24.77272727 25.22727273],0
u2,1,0.150541,2.06676,[23 20] ; [ 6 12],[20.44262295 22.55737705] ; [8.55737705 9.44262295],0
a6,1,0.153002,2.042067,[124  47] ; [31 19],[119.9321267  51.0678733] ; [35.0678733 14.9321267],0
s5,1,0.169813,1.884595,[ 57 106] ; [12 37],[ 53.05188679 109.94811321] ; [15.94811321 33.05188679],0
a1,1,0.193541,1.690453,[  4 167] ; [ 3 47],[  5.41628959 165.58371041] ; [ 1.58371041 48.41628959],0
b1,1,0.205247,1.604641,[ 65 106] ; [24 26],[ 68.86425339 102.13574661] ; [20.13574661 29.86425339],0
s2,1,0.213334,1.548654,[85 85] ; [20 30],[81.13636364 88.86363636] ; [23.86363636 26.13636364],0
a7,1,0.218326,1.515339,[131  40] ; [34 16],[127.66968326  43.33031674] ; [37.33031674 12.66968326],0
d5,1,0.257598,1.281619,[145  26] ; [39 11],[142.37104072  28.62895928] ; [41.62895928  8.37104072],0
n2,1,0.296369,1.090463,[30  5] ; [11  4],[28.7  6.3] ; [12.3  2.7],0
s4,1,0.3001,1.073749,[ 31 139] ; [ 6 44],[ 28.59090909 141.40909091] ; [ 8.40909091 41.59090909],0
b5,1,0.319671,0.99029,[103  68] ; [34 16],[106.00452489  64.99547511] ; [30.99547511 19.00452489],0
u1,1,0.340441,0.908769,[ 38 133] ; [ 8 42],[ 35.59276018 135.40723982] ; [10.40723982 39.59276018],0
n3,1,0.487416,0.482225,[27  7] ; [14  2],[27.88  6.12] ; [13.12  2.88],0
a2,1,0.6141,0.254247,[ 40 131] ; [10 40],[ 38.68778281 132.31221719] ; [11.31221719 38.68778281],0
a4,1,0.627725,0.235158,[75 96] ; [20 30],[73.50678733 97.49321267] ; [21.49321267 28.50678733],0
n1,1,0.631214,0.230418,[13 21] ; [ 5 11],[12.24 21.76] ; [ 5.76 10.24],0
b2,1,0.645876,0.211139,[33 70] ; [12 21],[34.08088235 68.91911765] ; [10.91911765 22.08088235],0
b3,1,0.645876,0.211139,[33 70] ; [12 21],[34.08088235 68.91911765] ; [10.91911765 22.08088235],0
b4,1,0.677889,0.172511,[98 73] ; [27 23],[96.71945701 74.28054299] ; [28.28054299 21.71945701],0
d4,1,0.709641,0.138636,[144  27] ; [41  9],[143.14479638  27.85520362] ; [41.85520362  8.14479638],0
d1,1,0.754741,0.09759,[100  71] ; [28 22],[99.04072398 71.95927602] ; [28.95927602 21.04072398],0
