Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,34.00278,[24 36] ; [129  31],[41.72727273 18.27272727] ; [111.27272727  48.72727273],1
a2,1,1e-06,25.238513,[ 3 57] ; [64 96],[18.27272727 41.72727273] ; [ 48.72727273 111.27272727],1
b5,1,9e-06,19.66865,[19 41] ; [104  56],[33.54545455 26.45454545] ; [89.45454545 70.54545455],1
u1,1,0.000215,13.696663,[ 4 56] ; [ 49 111],[14.45454545 45.54545455] ; [ 38.54545455 121.45454545],1
d3,1,0.000727,11.418201,[36 24] ; [131  29],[45.54545455 14.45454545] ; [121.45454545  38.54545455],1
p12,1,0.013693,6.077266,[ 4 56] ; [ 33 127],[10.09090909 49.90909091] ; [ 26.90909091 133.09090909],0
u3,1,0.020736,5.348822,[3 8] ; [24 12],[6.31914894 4.68085106] ; [20.68085106 15.31914894],0
r2,1,0.021903,5.253466,[51  7] ; [154   6],[54.5412844  3.4587156] ; [150.4587156   9.5412844],0
v2,1,0.027991,4.828618,[41 17] ; [132  25],[46.66976744 11.33023256] ; [126.33023256  30.66976744],0
r1,1,0.033907,4.499371,[48 12] ; [144  15],[52.60273973  7.39726027] ; [139.39726027  19.60273973],0
d1,1,0.034481,4.470701,[35 25] ; [117  43],[41.45454545 18.54545455] ; [110.54545455  49.45454545],0
b2,1,0.037647,4.320921,[22 17] ; [41 69],[16.48993289 22.51006711] ; [46.51006711 63.48993289],0
b3,1,0.037647,4.320921,[22 17] ; [41 69],[16.48993289 22.51006711] ; [46.51006711 63.48993289],0
b4,1,0.037992,4.305401,[29 31] ; [102  58],[35.72727273 24.27272727] ; [95.27272727 64.72727273],0
s8,1,0.087872,2.912936,[40 20] ; [84 72],[34.44444444 25.55555556] ; [89.55555556 66.44444444],0
p1,1,0.095764,2.774703,[ 4 56] ; [ 24 135],[ 7.67123288 52.32876712] ; [ 20.32876712 138.67123288],0
r4,1,0.098592,2.728175,[55  5] ; [155   5],[57.27272727  2.72727273] ; [152.72727273   7.27272727],0
p2,1,0.12882,2.306668,[52  8] ; [149  11],[54.81818182  5.18181818] ; [146.18181818  13.81818182],0
a5,1,0.13007,2.291667,[44 16] ; [132  28],[48. 12.] ; [128.  32.],0
a4,1,0.190903,1.710636,[25 35] ; [82 77],[29.31506849 30.68493151] ; [77.68493151 81.31506849],0
b1,1,0.202414,1.624869,[27 33] ; [ 57 103],[22.90909091 37.09090909] ; [61.09090909 98.90909091],0
n5,1,0.225507,1.468981,[55  5] ; [136  23],[52.32876712  7.67123288] ; [138.67123288  20.32876712],0
u2,1,0.247772,1.335825,[5 6] ; [24 13],[6.64583333 4.35416667] ; [22.35416667 14.64583333],0
n4,1,0.275501,1.189151,[55  5] ; [138  22],[52.63636364  7.36363636] ; [140.36363636  19.63636364],0
n1,1,0.290476,1.117413,[7 6] ; [ 9 16],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
s7,1,0.343084,0.898873,[40 18] ; [91 56],[37.06341463 20.93658537] ; [93.93658537 53.06341463],0
u4,1,0.346751,0.885312,[ 3 57] ; [  4 156],[ 1.90909091 58.09090909] ; [  5.09090909 154.90909091],0
r3,1,0.351266,0.868877,[57  3] ; [155   4],[58.08219178  1.91780822] ; [153.91780822   5.08219178],0
v4,1,0.355843,0.85251,[57  3] ; [154   4],[58.0733945  1.9266055] ; [152.9266055   5.0733945],0
p7,1,0.366422,0.815763,[49 11] ; [120  38],[46.51376147 13.48623853] ; [122.48623853  35.51376147],0
p10,1,0.379362,0.772767,[51  9] ; [142  17],[52.87671233  7.12328767] ; [140.12328767  18.87671233],0
s2,1,0.428922,0.625741,[38 22] ; [89 66],[35.44186047 24.55813953] ; [91.55813953 63.44186047],0
p11,1,0.439713,0.597031,[48 12] ; [135  25],[49.90909091 10.09090909] ; [133.09090909  26.90909091],0
s6,1,0.471811,0.517731,[45 13] ; [112  42],[42.95283019 15.04716981] ; [114.04716981  39.95283019],0
s5,1,0.474722,0.510963,[29 29] ; [69 86],[26.68544601 31.31455399] ; [71.31455399 83.68544601],0
s4,1,0.480405,0.497943,[ 9 51] ; [ 18 139],[ 7.46543779 52.53456221] ; [ 19.53456221 137.46543779],0
d5,1,0.481449,0.49558,[53  6] ; [138  22],[51.456621  7.543379] ; [139.543379  20.456621],0
a3,1,0.488567,0.479682,[49 11] ; [123  36],[47.12328767 12.87671233] ; [124.87671233  34.12328767],0
p5,1,0.517077,0.419719,[16 44] ; [ 36 124],[14.18181818 45.81818182] ; [ 37.81818182 122.18181818],0
n2,1,0.536562,0.381949,[11  2] ; [19  6],[10.26315789  2.73684211] ; [19.73684211  5.26315789],0
d2,1,0.54647,0.363679,[32 28] ; [92 67],[33.97260274 26.02739726] ; [90.02739726 68.97260274],0
n3,1,0.565021,0.331085,[10  3] ; [17  8],[9.23684211 3.76315789] ; [17.76315789  7.23684211],0
p3,1,0.578064,0.309375,[42 18] ; [118  42],[43.63636364 16.36363636] ; [116.36363636  43.63636364],0
p9,1,0.594256,0.283746,[52  8] ; [141  17],[53.11926606  6.88073394] ; [139.88073394  18.11926606],0
