Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,64.081896,[151   7] ; [30 30],[131.18348624  26.81651376] ; [49.81651376 10.18348624],1
r2,1,0.0,27.776717,[151   5] ; [43 16],[140.7627907  15.2372093] ; [53.2372093  5.7627907],1
r3,1,0.000462,12.262348,[152   5] ; [50 10],[146.14746544  10.85253456] ; [55.85253456  4.14746544],1
b3,1,0.001407,10.196247,[55 51] ; [10 33],[46.24161074 59.75838926] ; [18.75838926 24.24161074],0
b2,1,0.001407,10.196247,[55 51] ; [10 33],[46.24161074 59.75838926] ; [18.75838926 24.24161074],0
s5,1,0.001461,10.12745,[66 85] ; [11 45],[56.16908213 94.83091787] ; [20.83091787 35.16908213],0
a5,1,0.001678,9.871697,[119  39] ; [32 28],[109.44036697  48.55963303] ; [41.55963303 18.44036697],0
v4,1,0.001734,9.812275,[149   8] ; [48 11],[143.18981481  13.81018519] ; [53.81018519  5.18981481],0
d4,1,0.006313,7.458838,[123  34] ; [36 24],[115.03686636  41.96313364] ; [43.96313364 16.03686636],0
v1,1,0.009459,6.733951,[90 63] ; [23 36],[81.55188679 71.44811321] ; [31.44811321 27.55188679],0
d3,1,0.019854,5.424702,[75 83] ; [18 42],[67.40366972 90.59633028] ; [25.59633028 34.40366972],0
s3,1,0.026428,4.927782,[95 61] ; [26 33],[87.79534884 68.20465116] ; [33.20465116 25.79534884],0
p1,1,0.027911,4.833566,[  9 147] ; [ 9 51],[ 13. 143.] ; [ 5. 55.],0
n4,1,0.036202,4.387561,[128  29] ; [41 19],[122.2718894  34.7281106] ; [46.7281106 13.2718894],0
d5,1,0.04084,4.182657,[121  36] ; [38 22],[115.03686636  41.96313364] ; [43.96313364 16.03686636],0
s7,1,0.052088,3.772947,[85 68] ; [24 35],[78.66509434 74.33490566] ; [30.33490566 28.66509434],0
p3,1,0.060729,3.517371,[81 76] ; [22 37],[74.86574074 82.13425926] ; [28.13425926 30.86574074],0
p7,1,0.061603,3.493681,[104  49] ; [32 27],[98.1509434 54.8490566] ; [37.8490566 21.1509434],0
v3,1,0.069713,3.289757,[62 91] ; [16 43],[56.29245283 96.70754717] ; [21.70754717 37.29245283],0
d1,1,0.077856,3.109103,[79 79] ; [22 38],[73.20183486 84.79816514] ; [27.79816514 32.20183486],0
s6,1,0.081401,3.036707,[102  50] ; [32 27],[96.53080569 55.46919431] ; [37.46919431 21.53080569],0
a6,1,0.086184,2.944251,[73 85] ; [20 40],[67.40366972 90.59633028] ; [25.59633028 34.40366972],0
s8,1,0.095836,2.773515,[80 77] ; [23 37],[74.52073733 82.47926267] ; [28.47926267 31.52073733],0
u1,1,0.098766,2.725358,[ 12 146] ; [ 1 59],[  9.42201835 148.57798165] ; [ 3.57798165 56.42201835],0
p8,1,0.169982,1.883103,[80 74] ; [24 34],[75.54716981 78.45283019] ; [28.45283019 29.54716981],0
a3,1,0.173047,1.856348,[115  43] ; [38 22],[110.88990826  47.11009174] ; [42.11009174 17.88990826],0
p12,1,0.193729,1.689028,[ 13 140] ; [ 2 57],[ 10.8254717 142.1745283] ; [ 4.1745283 54.8254717],0
p2,1,0.193743,1.68892,[125  30] ; [42 16],[121.5258216  33.4741784] ; [45.4741784 12.5258216],0
b1,1,0.238641,1.388603,[65 93] ; [30 30],[68.85321101 89.14678899] ; [26.14678899 33.85321101],0
p10,1,0.238661,1.388485,[126  28] ; [44 15],[122.91079812  31.08920188] ; [47.08920188 11.91079812],0
a2,1,0.281628,1.159217,[ 15 143] ; [ 3 57],[ 13.04587156 144.95412844] ; [ 4.95412844 55.04587156],0
b5,1,0.289981,1.119707,[69 89] ; [31 29],[72.47706422 85.52293578] ; [27.52293578 32.47706422],0
s2,1,0.310437,1.028816,[77 79] ; [25 35],[73.66666667 82.33333333] ; [28.33333333 31.66666667],0
a8,1,0.315267,1.008481,[ 18 132] ; [ 4 52],[ 16.01941748 133.98058252] ; [ 5.98058252 50.01941748],0
n6,1,0.329431,0.951135,[131  25] ; [47 13],[128.55555556  27.44444444] ; [49.44444444 10.55555556],0
u3,1,0.338422,0.916401,[21 22] ; [ 8 14],[19.18461538 23.81538462] ; [ 9.81538462 12.18461538],0
v2,1,0.404884,0.693772,[76 75] ; [25 32],[73.32211538 77.67788462] ; [27.67788462 29.32211538],0
n5,1,0.495767,0.463986,[120  35] ; [49 11],[121.8372093  33.1627907] ; [47.1627907 12.8372093],0
a4,1,0.698238,0.150311,[70 87] ; [25 35],[68.73271889 88.26728111] ; [26.26728111 33.73271889],0
p5,1,0.793866,0.068274,[ 20 134] ; [ 7 53],[ 19.42990654 134.57009346] ; [ 7.57009346 52.42990654],0
n1,1,0.797881,0.065582,[13 19] ; [11 14],[13.47368421 18.52631579] ; [10.52631579 14.47368421],0
p9,1,0.831169,0.045455,[131  24] ; [50 10],[130.48837209  24.51162791] ; [50.51162791  9.48837209],0
u2,1,0.842305,0.039579,[24 18] ; [12 10],[23.625 18.375] ; [12.375  9.625],0
n3,1,0.859894,0.031155,[22  9] ; [19  7],[22.29824561  8.70175439] ; [18.70175439  7.29824561],0
p6,1,0.882988,0.021663,[55 97] ; [20 37],[54.54545455 97.45454545] ; [20.45454545 36.54545455],0
n2,1,0.913073,0.011917,[25  7] ; [20  6],[24.82758621  7.17241379] ; [20.17241379  5.82758621],0
p4,1,0.962312,0.002233,[82 73] ; [31 28],[81.84579439 73.15420561] ; [31.15420561 27.84579439],0
s4,1,0.965341,0.001888,[ 29 127] ; [11 49],[ 28.88888889 127.11111111] ; [11.11111111 48.88888889],0
s1,1,0.974485,0.001023,[  5 149] ; [ 2 58],[  5.03738318 148.96261682] ; [ 1.96261682 58.03738318],0
b4,1,0.982204,0.000498,[84 74] ; [32 28],[84.0733945 73.9266055] ; [31.9266055 28.0733945],0
a1,1,0.984787,0.000364,[  8 150] ; [ 3 57],[  7.97247706 150.02752294] ; [ 3.02752294 56.97247706],0
d2,1,0.998877,2e-06,[75 83] ; [28 31],[74.99539171 83.00460829] ; [28.00460829 30.99539171],0
