Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9.7e-05,15.190151,[37 85] ; [ 20 148],[23.97931034 98.02068966] ; [ 33.02068966 134.97931034],1
p10,1,0.002559,9.098077,[101  22] ; [114  58],[89.6440678 33.3559322] ; [125.3559322  46.6440678],0
p9,1,0.003495,8.529053,[104  20] ; [118  53],[93.31525424 30.68474576] ; [128.68474576  42.31525424],0
s8,1,0.004022,8.274058,[62 61] ; [ 58 114],[50.03389831 72.96610169] ; [ 69.96610169 102.03389831],0
p4,1,0.007613,7.122374,[81 43] ; [85 86],[69.77627119 54.22372881] ; [96.22372881 74.77627119],0
n5,1,0.011614,6.368881,[100  24] ; [116  56],[90.48648649 33.51351351] ; [125.51351351  46.48648649],0
p8,1,0.012769,6.200832,[71 52] ; [74 98],[60.45762712 62.54237288] ; [84.54237288 87.45762712],0
s5,1,0.016331,5.766887,[49 68] ; [ 48 122],[39.54355401 77.45644599] ; [ 57.45644599 112.54355401],0
p7,1,0.021806,5.261223,[81 40] ; [91 79],[71.51890034 49.48109966] ; [100.48109966  69.51890034],0
p11,1,0.025872,4.964552,[99 25] ; [118  55],[90.5993266 33.4006734] ; [126.4006734  46.5993266],0
p12,1,0.044072,4.053813,[ 10 113] ; [  5 167],[  6.25423729 116.74576271] ; [  8.74576271 163.25423729],0
b3,1,0.053209,3.737338,[37 53] ; [25 66],[30.82872928 59.17127072] ; [31.17127072 59.82872928],0
b2,1,0.053209,3.737338,[37 53] ; [25 66],[30.82872928 59.17127072] ; [31.17127072 59.82872928],0
p6,1,0.077578,3.114924,[51 71] ; [ 55 118],[43.83728814 78.16271186] ; [ 62.16271186 110.83728814],0
r2,1,0.077773,3.110832,[121   3] ; [160  12],[117.71621622   6.28378378] ; [163.28378378   8.71621622],0
a8,1,0.087618,2.917608,[19 93] ; [ 16 145],[14.35897436 97.64102564] ; [ 20.64102564 140.35897436],0
a5,1,0.092258,2.834525,[93 31] ; [114  59],[86.42424242 37.57575758] ; [120.57575758  52.42424242],0
n4,1,0.092666,2.827439,[102  22] ; [128  45],[96.02693603 27.97306397] ; [133.97306397  39.02693603],0
n1,1,0.092809,2.82497,[15 12] ; [21 37],[11.43529412 15.56470588] ; [24.56470588 33.43529412],0
s6,1,0.11597,2.470918,[87 33] ; [107  61],[80.83333333 39.16666667] ; [113.16666667  54.83333333],0
s2,1,0.124138,2.364315,[65 57] ; [76 96],[58.51020408 63.48979592] ; [82.48979592 89.51020408],0
n3,1,0.125783,2.343787,[20  6] ; [34 23],[16.91566265  9.08433735] ; [37.08433735 19.91566265],0
p5,1,0.137589,2.204724,[ 18 103] ; [ 16 157],[ 13.99319728 107.00680272] ; [ 20.00680272 152.99319728],0
n2,1,0.14027,2.175,[21  6] ; [37 23],[18.  9.] ; [40. 20.],0
p3,1,0.149239,2.080009,[59 64] ; [ 68 104],[52.95254237 70.04745763] ; [74.04745763 97.95254237],0
r4,1,0.152413,2.047932,[118   6] ; [157  16],[114.81481481   9.18518519] ; [160.18518519  12.81481481],0
a3,1,0.154654,2.02574,[89 33] ; [112  60],[83.40816327 38.59183673] ; [117.59183673  54.40816327],0
n6,1,0.222969,1.485159,[103  20] ; [135  38],[98.89864865 24.10135135] ; [139.10135135  33.89864865],0
v4,1,0.295391,1.094888,[118   5] ; [161  12],[115.93581081   7.06418919] ; [163.06418919   9.93581081],0
b5,1,0.29836,1.081512,[77 47] ; [97 76],[72.64646465 51.35353535] ; [101.35353535  71.64646465],0
a4,1,0.303309,1.059587,[61 61] ; [76 97],[56.65762712 65.34237288] ; [80.34237288 92.65762712],0
a2,1,0.31211,1.021725,[32 92] ; [ 36 137],[28.39057239 95.60942761] ; [ 39.60942761 133.39057239],0
b1,1,0.319079,0.992718,[61 63] ; [75 98],[56.78114478 67.21885522] ; [79.21885522 93.78114478],0
u1,1,0.344124,0.895006,[ 23 101] ; [ 25 148],[ 20.04040404 103.95959596] ; [ 27.95959596 145.04040404],0
r3,1,0.375342,0.785902,[116   8] ; [156  16],[113.94594595  10.05405405] ; [158.05405405  13.94594595],0
a1,1,0.380551,0.768922,[  6 118] ; [  5 168],[  4.59259259 119.40740741] ; [  6.40740741 166.59259259],0
u2,1,0.415847,0.662021,[18 17] ; [36 24],[19.89473684 15.10526316] ; [34.10526316 25.89473684],0
s1,1,0.441733,0.591777,[  7 114] ; [ 14 158],[  8.67235495 112.32764505] ; [ 12.32764505 159.67235495],0
s7,1,0.444553,0.584503,[57 59] ; [73 91],[53.85714286 62.14285714] ; [76.14285714 87.85714286],0
p1,1,0.4995,0.455999,[ 13 111] ; [ 14 157],[ 11.34915254 112.65084746] ; [ 15.65084746 155.34915254],0
d4,1,0.504058,0.446383,[97 26] ; [141  31],[99.23389831 23.76610169] ; [138.76610169  33.23389831],0
d5,1,0.549321,0.358534,[98 25] ; [132  40],[95.89830508 27.10169492] ; [134.10169492  37.89830508],0
a6,1,0.567994,0.326051,[76 48] ; [111  61],[78.33783784 45.66216216] ; [108.66216216  63.33783784],0
s4,1,0.616542,0.250758,[26 96] ; [ 32 137],[24.3161512 97.6838488] ; [ 33.6838488 135.3161512],0
p2,1,0.654273,0.200555,[100  23] ; [137  36],[98.48310811 24.51689189] ; [138.51689189  34.48310811],0
a7,1,0.6572,0.196943,[83 41] ; [120  53],[84.75420875 39.24579125] ; [118.24579125  54.75420875],0
d3,1,0.681537,0.168401,[83 41] ; [119  53],[84.62162162 39.37837838] ; [117.37837838  54.62162162],0
s3,1,0.72894,0.120087,[71 50] ; [98 75],[69.55442177 51.44557823] ; [99.44557823 73.55442177],0
d2,1,0.808175,0.058943,[58 66] ; [78 94],[56.97297297 67.02702703] ; [79.02702703 92.97297297],0
u3,1,0.848523,0.036482,[24 11] ; [40 20],[23.57894737 11.42105263] ; [40.42105263 19.57894737],0
d1,1,0.863679,0.029479,[69 55] ; [98 75],[69.72390572 54.27609428] ; [97.27609428 75.72390572],0
b4,1,0.885272,0.020819,[72 52] ; [99 74],[71.39393939 52.60606061] ; [99.60606061 73.39393939],0
