Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.582384,[91 61] ; [ 53 105],[70.60645161 81.39354839] ; [73.39354839 84.60645161],1
v3,1,0.001221,10.457945,[61 95] ; [ 36 125],[ 47.73501577 108.26498423] ; [ 49.26498423 111.73501577],0
a2,1,0.002267,9.31973,[ 17 140] ; [  4 161],[ 10.23913043 146.76086957] ; [ 10.76086957 154.23913043],0
s8,1,0.005977,7.557252,[66 91] ; [ 45 119],[ 54.28971963 102.71028037] ; [ 56.71028037 107.28971963],0
u1,1,0.008281,6.97159,[ 11 146] ; [  2 163],[  6.33850932 150.66149068] ; [  6.66149068 158.33850932],0
r1,1,0.008756,6.871915,[121  35] ; [106  59],[110.31775701  45.68224299] ; [116.68224299  48.31775701],0
a3,1,0.010351,6.57348,[103  54] ; [85 80],[91.66459627 65.33540373] ; [96.33540373 68.66459627],0
n5,1,0.017648,5.630732,[120  36] ; [105  57],[110.37735849  45.62264151] ; [114.62264151  47.37735849],0
b3,1,0.033833,4.503108,[39 61] ; [19 60],[32.40223464 67.59776536] ; [25.59776536 53.40223464],0
b2,1,0.033833,4.503108,[39 61] ; [19 60],[32.40223464 67.59776536] ; [25.59776536 53.40223464],0
a5,1,0.037271,4.337986,[98 59] ; [84 81],[88.73913043 68.26086957] ; [93.26086957 71.73913043],0
d5,1,0.039311,4.247363,[102  55] ; [88 76],[92.92834891 64.07165109] ; [97.07165109 66.92834891],0
s7,1,0.042647,4.109321,[77 72] ; [63 94],[68.16993464 80.83006536] ; [71.83006536 85.16993464],0
p10,1,0.043422,4.078904,[126  27] ; [118  44],[118.51428571  34.48571429] ; [125.48571429  36.51428571],0
r2,1,0.045102,4.014812,[143  11] ; [140  23],[137.48264984  16.51735016] ; [145.51735016  17.48264984],0
n4,1,0.054687,3.691594,[118  38] ; [108  56],[110.175  45.825] ; [115.825  48.175],0
s6,1,0.082569,3.013598,[102  51] ; [92 69],[94.52866242 58.47133758] ; [99.47133758 61.52866242],0
r4,1,0.084851,2.969435,[136  21] ; [131  34],[130.18322981  26.81677019] ; [136.81677019  28.18322981],0
s4,1,0.095813,2.773884,[ 21 136] ; [ 33 129],[ 26.57680251 130.42319749] ; [ 27.42319749 134.57680251],0
p12,1,0.103197,2.655429,[ 11 145] ; [  5 158],[  7.82445141 148.17554859] ; [  8.17554859 154.82445141],0
a4,1,0.114023,2.497552,[ 45 111] ; [ 35 130],[ 38.87850467 117.12149533] ; [ 41.12149533 123.87850467],0
d4,1,0.11881,2.432935,[100  57] ; [91 74],[93.12732919 63.87267081] ; [97.87267081 67.12732919],0
s1,1,0.125341,2.349281,[  6 147] ; [  2 162],[  3.86119874 149.13880126] ; [  4.13880126 159.86119874],0
p3,1,0.127938,2.317342,[77 80] ; [67 98],[70.21118012 86.78881988] ; [73.78881988 91.21118012],0
a8,1,0.129011,2.304363,[ 25 121] ; [ 17 137],[ 20.44 125.56] ; [ 21.56 132.44],0
p9,1,0.132831,2.259102,[134  22] ; [128  33],[128.93375394  27.06624606] ; [133.06624606  27.93375394],0
u3,1,0.135386,2.22963,[31 23] ; [34 43],[26.79389313 27.20610687] ; [38.20610687 38.79389313],0
p1,1,0.170944,1.874646,[ 15 142] ; [  9 154],[ 11.775 145.225] ; [ 12.225 150.775],0
n1,1,0.172426,1.861721,[15 17] ; [17 36],[12.04705882 19.95294118] ; [19.95294118 33.04705882],0
b5,1,0.193766,1.688749,[95 62] ; [88 77],[89.22670807 67.77329193] ; [93.77329193 71.22670807],0
a1,1,0.205892,1.600079,[  8 149] ; [  4 161],[  5.85093168 151.14906832] ; [  6.14906832 158.85093168],0
p4,1,0.227631,1.455606,[90 67] ; [83 81],[84.61370717 72.38629283] ; [88.38629283 75.61370717],0
r3,1,0.280981,1.162339,[145  10] ; [148  16],[142.36677116  12.63322884] ; [150.63322884  13.36677116],0
