Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,34.119172,[63 11] ; [ 7 21],[50.78431373 23.21568627] ; [19.21568627  8.78431373],1
s6,1,2.9e-05,17.455234,[68  3] ; [18 10],[61.67676768  9.32323232] ; [24.32323232  3.67676768],1
s7,1,0.007307,7.195926,[53 18] ; [13 15],[47.33333333 23.66666667] ; [18.66666667  9.33333333],0
a6,1,0.010604,6.530456,[52 22] ; [12 16],[46.43137255 27.56862745] ; [17.56862745 10.43137255],0
s8,1,0.016594,5.738861,[46 28] ; [10 18],[40.62745098 33.37254902] ; [15.37254902 12.62745098],0
r1,1,0.02102,5.325123,[61 13] ; [17 11],[56.58823529 17.41176471] ; [21.41176471  6.58823529],0
r2,1,0.047859,3.914933,[70  4] ; [23  5],[67.47058824  6.52941176] ; [25.52941176  2.47058824],0
u3,1,0.081262,3.039474,[15  7] ; [4 7],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
a4,1,0.087426,2.921147,[35 39] ; [ 8 20],[31.19607843 42.80392157] ; [11.80392157 16.19607843],0
v4,1,0.094444,2.796951,[72  2] ; [25  3],[70.37254902  3.62745098] ; [26.62745098  1.37254902],0
d4,1,0.110224,2.551007,[61 13] ; [19  9],[58.03921569 15.96078431] ; [21.96078431  6.03921569],0
u2,1,0.138011,2.2,[12 10] ; [3 8],[10. 12.] ; [5. 6.],0
n1,1,0.142772,2.147821,[ 5 14] ; [4 3],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
r4,1,0.164327,1.933949,[66  8] ; [22  6],[63.84313725 10.15686275] ; [24.15686275  3.84313725],0
b4,1,0.167897,1.901621,[43 31] ; [12 16],[39.90196078 34.09803922] ; [15.09803922 12.90196078],0
b1,1,0.207732,1.587165,[34 40] ; [ 9 19],[31.19607843 42.80392157] ; [11.80392157 16.19607843],0
s5,1,0.213221,1.54942,[41 27] ; [13 15],[38.25 29.75] ; [15.75 12.25],0
d1,1,0.214147,1.543167,[47 27] ; [14 14],[44.25490196 29.74509804] ; [16.74509804 11.25490196],0
d2,1,0.226409,1.463277,[39 35] ; [11 17],[36.2745098 37.7254902] ; [13.7254902 14.2745098],0
p12,1,0.323599,0.974344,[ 7 67] ; [ 1 27],[ 5.80392157 68.19607843] ; [ 2.19607843 25.80392157],0
a2,1,0.332877,0.937672,[17 57] ; [ 4 24],[15.23529412 58.76470588] ; [ 5.76470588 22.23529412],0
v3,1,0.338352,0.916667,[26 46] ; [ 7 20],[24. 48.] ; [ 9. 18.],0
a3,1,0.357239,0.847574,[52 22] ; [17 11],[50.05882353 23.94117647] ; [18.94117647  9.05882353],0
p10,1,0.372831,0.794208,[64 10] ; [26  2],[65.29411765  8.70588235] ; [24.70588235  3.29411765],0
d5,1,0.381784,0.764949,[63 11] ; [21  6],[61.54455446 12.45544554] ; [22.45544554  4.54455446],0
v2,1,0.406792,0.688158,[37 34] ; [12 16],[35.14141414 35.85858586] ; [13.85858586 14.14141414],0
p4,1,0.424439,0.637992,[56 18] ; [19  9],[54.41176471 19.58823529] ; [20.58823529  7.41176471],0
n5,1,0.424439,0.637992,[56 18] ; [19  9],[54.41176471 19.58823529] ; [20.58823529  7.41176471],0
b3,1,0.451926,0.565817,[ 8 34] ; [ 5 13],[ 9.1 32.9] ; [ 3.9 14.1],0
b2,1,0.451926,0.565817,[ 8 34] ; [ 5 13],[ 9.1 32.9] ; [ 3.9 14.1],0
p11,1,0.460248,0.545293,[58 16] ; [20  8],[56.58823529 17.41176471] ; [21.41176471  6.58823529],0
u1,1,0.488432,0.479979,[15 59] ; [ 4 24],[13.78431373 60.21568627] ; [ 5.21568627 22.78431373],0
p3,1,0.515297,0.423296,[50 24] ; [17 11],[48.60784314 25.39215686] ; [18.39215686  9.60784314],0
b5,1,0.540529,0.374559,[42 32] ; [14 14],[40.62745098 33.37254902] ; [15.37254902 12.62745098],0
a7,1,0.604824,0.267781,[48 26] ; [16 11],[46.89108911 27.10891089] ; [17.10891089  9.89108911],0
p1,1,0.626896,0.236293,[ 8 66] ; [ 4 24],[ 8.70588235 65.29411765] ; [ 3.29411765 24.70588235],0
p2,1,0.626896,0.236293,[66  8] ; [24  4],[65.29411765  8.70588235] ; [24.70588235  3.29411765],0
n4,1,0.65533,0.199246,[51 23] ; [18 10],[50.05882353 23.94117647] ; [18.94117647  9.05882353],0
v1,1,0.701739,0.146669,[36 37] ; [15 13],[36.86138614 36.13861386] ; [14.13861386 13.86138614],0
n6,1,0.790841,0.070341,[61 12] ; [24  4],[61.43564356 11.56435644] ; [23.56435644  4.43564356],0
a5,1,0.813073,0.055915,[52 22] ; [19  9],[51.50980392 22.49019608] ; [19.49019608  8.50980392],0
p5,1,0.839493,0.041023,[ 9 65] ; [ 3 25],[ 8.70588235 65.29411765] ; [ 3.29411765 24.70588235],0
p9,1,0.839493,0.041023,[65  9] ; [25  3],[65.29411765  8.70588235] ; [24.70588235  3.29411765],0
p8,1,0.888685,0.019591,[51 23] ; [19  8],[51.28712871 22.71287129] ; [18.71287129  8.28712871],0
s1,1,0.910773,0.012558,[ 3 71] ; [ 1 27],[ 2.90196078 71.09803922] ; [ 1.09803922 26.90196078],0
d3,1,0.911887,0.012245,[54 20] ; [20  7],[54.21782178 19.78217822] ; [19.78217822  7.21782178],0
n2,1,0.924899,0.008886,[16  3] ; [6 1],[16.07692308  2.92307692] ; [5.92307692 1.07692308],0
p6,1,0.971971,0.001235,[42 32] ; [16 12],[42.07843137 31.92156863] ; [15.92156863 12.07843137],0
