Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.8e-05,18.395684,[19 20] ; [74 13],[28.78571429 10.21428571] ; [64.21428571 22.78571429],1
v4,1,0.000105,15.039788,[25 14] ; [80  7],[32.5  6.5] ; [72.5 14.5],1
p10,1,0.000129,14.660985,[13 26] ; [60 26],[22.776 16.224] ; [50.224 35.776],1
n5,1,0.00036,12.731744,[18 21] ; [68 19],[26.61904762 12.38095238] ; [59.38095238 27.61904762],1
p11,1,0.000438,12.364699,[11 28] ; [54 33],[20.11904762 18.88095238] ; [44.88095238 42.11904762],1
n4,1,0.000631,11.680926,[18 21] ; [67 20],[26.30952381 12.69047619] ; [58.69047619 28.30952381],1
s8,1,0.001546,10.023175,[ 7 32] ; [41 45],[14.976 24.024] ; [33.024 52.976],0
r3,1,0.001676,9.874608,[26 13] ; [78  9],[32.19047619  6.80952381] ; [71.80952381 15.19047619],0
p9,1,0.002985,8.816624,[17 22] ; [60 24],[24.41463415 14.58536585] ; [52.58536585 31.41463415],0
u1,1,0.003979,8.293222,[ 2 37] ; [24 63],[ 8.04761905 30.95238095] ; [17.95238095 69.04761905],0
r2,1,0.004074,8.250566,[29  9] ; [80  5],[33.67479675  4.32520325] ; [75.32520325  9.67479675],0
s6,1,0.009082,6.806572,[15 24] ; [54 31],[21.7016129 17.2983871] ; [47.2983871 37.7016129],0
b5,1,0.019377,5.467134,[15 24] ; [53 34],[21.04761905 17.95238095] ; [46.95238095 40.04761905],0
p6,1,0.033934,4.498038,[ 3 35] ; [21 66],[ 7.296 30.704] ; [16.704 70.296],0
p4,1,0.036972,4.35172,[ 8 31] ; [34 52],[13.104 25.896] ; [28.896 57.104],0
s5,1,0.045035,4.017324,[ 7 30] ; [31 52],[11.71666667 25.28333333] ; [26.28333333 56.71666667],0
r1,1,0.055848,3.656573,[22 17] ; [64 23],[26.61904762 12.38095238] ; [59.38095238 27.61904762],0
d1,1,0.056057,3.65035,[19 20] ; [58 29],[23.83333333 15.16666667] ; [53.16666667 33.83333333],0
