Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.207983,[27  3] ; [ 7 18],[18.54545455 11.45454545] ; [15.45454545  9.54545455],1
r3,1,0.000316,12.973618,[26  3] ; [11 14],[19.87037037  9.12962963] ; [17.12962963  7.87037037],1
p11,1,0.000911,11.0,[24  6] ; [ 9 16],[18. 12.] ; [15. 10.],1
u2,1,0.011291,6.418915,[12  2] ; [ 7 10],[8.58064516 5.41935484] ; [10.41935484  6.58064516],0
a5,1,0.017635,5.632,[18 12] ; [ 7 18],[13.63636364 16.36363636] ; [11.36363636 13.63636364],0
v1,1,0.020252,5.39,[12 18] ; [ 3 22],[ 8.18181818 21.81818182] ; [ 6.81818182 18.18181818],0
s7,1,0.025089,5.01774,[12 17] ; [ 3 20],[ 8.36538462 20.63461538] ; [ 6.63461538 16.36538462],0
d4,1,0.047968,3.911111,[20 10] ; [10 15],[16.36363636 13.63636364] ; [13.63636364 11.36363636],0
p8,1,0.061129,3.506494,[15 15] ; [ 6 18],[11.66666667 18.33333333] ; [ 9.33333333 14.66666667],0
r4,1,0.0637,3.438339,[10 20] ; [ 3 22],[ 7.09090909 22.90909091] ; [ 5.90909091 19.09090909],0
a7,1,0.06735,3.346444,[17 13] ; [ 8 17],[13.63636364 16.36363636] ; [11.36363636 13.63636364],0
s6,1,0.097254,2.75,[15 15] ; [ 7 18],[12. 18.] ; [10. 15.],0
u3,1,0.123828,2.36822,[6 8] ; [ 3 14],[4.06451613 9.93548387] ; [ 4.93548387 12.06451613],0
r1,1,0.133257,2.254142,[13 17] ; [ 6 19],[10.36363636 19.63636364] ; [ 8.63636364 16.36363636],0
a3,1,0.141645,2.16,[16 14] ; [ 8 16],[13.33333333 16.66666667] ; [10.66666667 13.33333333],0
p4,1,0.198627,1.652444,[16 14] ; [ 9 16],[13.63636364 16.36363636] ; [11.36363636 13.63636364],0
v3,1,0.208791,1.579787,[ 6 24] ; [ 2 23],[ 4.36363636 25.63636364] ; [ 3.63636364 21.36363636],0
s2,1,0.223654,1.480769,[ 9 21] ; [ 4 21],[ 7.09090909 22.90909091] ; [ 5.90909091 19.09090909],0
p5,1,0.248189,1.333469,[ 4 26] ; [ 1 23],[ 2.77777778 27.22222222] ; [ 2.22222222 21.77777778],0
v4,1,0.253568,1.303539,[19 11] ; [12 13],[16.90909091 13.09090909] ; [14.09090909 10.90909091],0
s5,1,0.277884,1.177407,[ 7 23] ; [ 3 22],[ 5.45454545 24.54545455] ; [ 4.54545455 20.45454545],0
n5,1,0.282505,1.155,[21  9] ; [14 11],[19.09090909 10.90909091] ; [15.90909091  9.09090909],0
n4,1,0.297205,1.086694,[15 15] ; [16  9],[16.90909091 13.09090909] ; [14.09090909 10.90909091],0
b4,1,0.297205,1.086694,[15 15] ; [16  9],[16.90909091 13.09090909] ; [14.09090909 10.90909091],0
b5,1,0.297205,1.086694,[15 15] ; [16  9],[16.90909091 13.09090909] ; [14.09090909 10.90909091],0
n2,1,0.305319,1.050816,[8 4] ; [5 6],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
d2,1,0.307133,1.042963,[ 4 26] ; [ 6 19],[ 5.45454545 24.54545455] ; [ 4.54545455 20.45454545],0
d3,1,0.311452,1.02451,[11 19] ; [ 6 19],[ 9.27272727 20.72727273] ; [ 7.72727273 17.27272727],0
v2,1,0.356204,0.851232,[ 9 20] ; [ 5 20],[ 7.51851852 21.48148148] ; [ 6.48148148 18.51851852],0
p7,1,0.373496,0.792,[18 12] ; [12 13],[16.36363636 13.63636364] ; [13.63636364 11.36363636],0
a8,1,0.376352,0.782586,[ 4 26] ; [ 5 17],[ 5.19230769 24.80769231] ; [ 3.80769231 18.19230769],0
s3,1,0.394366,0.725437,[ 8 22] ; [ 9 15],[ 9.44444444 20.55555556] ; [ 7.55555556 16.44444444],0
p2,1,0.417504,0.65733,[20 10] ; [14 11],[18.54545455 11.45454545] ; [15.45454545  9.54545455],0
p1,1,0.447942,0.575855,[ 1 29] ; [ 2 23],[ 1.63636364 28.36363636] ; [ 1.36363636 23.63636364],0
n6,1,0.455598,0.556688,[18 11] ; [13 12],[16.64814815 12.35185185] ; [14.35185185 10.64814815],0
p6,1,0.545562,0.365328,[ 7 23] ; [ 4 20],[ 6.11111111 23.88888889] ; [ 4.88888889 19.11111111],0
n3,1,0.551848,0.354016,[8 4] ; [6 5],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
b1,1,0.761102,0.092437,[18 12] ; [16  9],[18.54545455 11.45454545] ; [15.45454545  9.54545455],0
d5,1,0.764592,0.089674,[12 18] ; [11 14],[12.54545455 17.45454545] ; [10.45454545 14.54545455],0
a1,1,0.812733,0.056122,[ 3 27] ; [ 3 22],[ 3.27272727 26.72727273] ; [ 2.72727273 22.27272727],0
s1,1,0.849624,0.035948,[ 2 28] ; [ 2 23],[ 2.18181818 27.81818182] ; [ 1.81818182 23.18181818],0
p12,1,0.849624,0.035948,[ 2 28] ; [ 2 23],[ 2.18181818 27.81818182] ; [ 1.81818182 23.18181818],0
p3,1,0.870825,0.026442,[ 9 21] ; [ 7 18],[ 8.72727273 21.27272727] ; [ 7.27272727 17.72727273],0
n1,1,0.878854,0.023232,[4 8] ; [4 7],[4.17391304 7.82608696] ; [3.82608696 7.17391304],0
b2,1,0.908575,0.013187,[ 5 11] ; [ 5 12],[ 4.84848485 11.15151515] ; [ 5.15151515 11.84848485],0
b3,1,0.908575,0.013187,[ 5 11] ; [ 5 12],[ 4.84848485 11.15151515] ; [ 5.15151515 11.84848485],0
s4,1,1.0,0.0,[ 6 24] ; [ 5 20],[ 6. 24.] ; [ 5. 20.],0
a6,1,1.0,0.0,[12 18] ; [10 15],[12. 18.] ; [10. 15.],0
a4,1,1.0,0.0,[ 6 24] ; [ 5 20],[ 6. 24.] ; [ 5. 20.],0
