Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,26.414548,[ 2 12] ; [36  5],[9.67272727 4.32727273] ; [28.32727273 12.67272727],1
p11,1,0.000847,11.134299,[ 2 12] ; [27 14],[7.38181818 6.61818182] ; [21.61818182 19.38181818],1
r1,1,0.002268,9.319281,[ 3 11] ; [28 13],[7.89090909 6.10909091] ; [23.10909091 17.89090909],0
n6,1,0.003021,8.794933,[ 4 10] ; [30 11],[8.65454545 5.34545455] ; [25.34545455 15.65454545],0
p10,1,0.003156,8.715004,[ 2 11] ; [25 15],[6.62264151 6.37735849] ; [20.37735849 19.62264151],0
s6,1,0.005256,7.7893,[ 2 12] ; [23 17],[6.48148148 7.51851852] ; [18.51851852 21.48148148],0
r2,1,0.005563,7.686798,[8 6] ; [37  4],[11.45454545  2.54545455] ; [33.54545455  7.45454545],0
n2,1,0.013449,6.109091,[4 6] ; [10  1],[6.66666667 3.33333333] ; [7.33333333 3.66666667],0
s2,1,0.019811,5.428443,[ 1 13] ; [16 23],[4.49056604 9.50943396] ; [12.50943396 26.49056604],0
p3,1,0.025831,4.967301,[ 1 13] ; [16 25],[4.32727273 9.67272727] ; [12.67272727 28.32727273],0
p9,1,0.036112,4.391804,[4 9] ; [25 14],[7.25 5.75] ; [21.75 17.25],0
v2,1,0.041317,4.162954,[ 1 12] ; [14 23],[3.9 9.1] ; [11.1 25.9],0
s3,1,0.043106,4.091233,[ 2 12] ; [17 21],[5.11538462 8.88461538] ; [13.88461538 24.11538462],0
b5,1,0.075276,3.164049,[ 4 10] ; [23 18],[6.87272727 7.12727273] ; [20.12727273 20.87272727],0
p7,1,0.078983,3.085714,[ 2 12] ; [16 24],[4.66666667 9.33333333] ; [13.33333333 26.66666667],0
u3,1,0.080346,3.05788,[2 6] ; [14  9],[4.12903226 3.87096774] ; [11.87096774 11.12903226],0
p1,1,0.084695,2.972422,[ 4 10] ; [ 4 37],[ 2.03636364 11.96363636] ; [ 5.96363636 35.03636364],0
a2,1,0.091935,2.840168,[ 2 12] ; [ 1 40],[ 0.76363636 13.23636364] ; [ 2.23636364 38.76363636],0
s8,1,0.092489,2.830516,[ 1 13] ; [12 29],[ 3.30909091 10.69090909] ; [ 9.69090909 31.30909091],0
a5,1,0.104523,2.635145,[ 4 10] ; [22 19],[6.61818182 7.38181818] ; [19.38181818 21.61818182],0
n5,1,0.123596,2.371144,[13  1] ; [30 11],[10.94545455  3.05454545] ; [32.05454545  8.94545455],0
b3,1,0.155668,2.01581,[5 5] ; [ 6 18],[3.23529412 6.76470588] ; [ 7.76470588 16.23529412],0
b2,1,0.155668,2.01581,[5 5] ; [ 6 18],[3.23529412 6.76470588] ; [ 7.76470588 16.23529412],0
p4,1,0.157755,1.995611,[ 2 12] ; [14 27],[4.07272727 9.92727273] ; [11.92727273 29.07272727],0
d5,1,0.157755,1.995611,[ 2 12] ; [14 27],[4.07272727 9.92727273] ; [11.92727273 29.07272727],0
p8,1,0.19675,1.666338,[ 2 11] ; [14 27],[3.85185185 9.14814815] ; [12.14814815 28.85185185],0
n4,1,0.231925,1.429017,[11  3] ; [25 16],[9.16363636 4.83636364] ; [26.83636364 14.16363636],0
a4,1,0.236553,1.401018,[5 9] ; [ 8 32],[ 3.37037037 10.62962963] ; [ 9.62962963 30.37037037],0
v3,1,0.248338,1.332627,[ 3 11] ; [15 24],[4.75471698 9.24528302] ; [13.24528302 25.75471698],0
s1,1,0.260548,1.265844,[ 4 10] ; [ 6 34],[ 2.59259259 11.40740741] ; [ 7.40740741 32.59259259],0
v1,1,0.357525,0.846568,[ 4 10] ; [17 23],[5.44444444 8.55555556] ; [15.55555556 24.44444444],0
a6,1,0.391584,0.734018,[6 8] ; [23 18],[7.38181818 6.61818182] ; [21.61818182 19.38181818],0
d2,1,0.411409,0.674724,[5 9] ; [10 31],[ 3.81818182 10.18181818] ; [11.18181818 29.81818182],0
s7,1,0.436656,0.605054,[ 2 12] ; [ 9 28],[ 3.01960784 10.98039216] ; [ 7.98039216 29.01960784],0
a7,1,0.488775,0.479223,[5 9] ; [19 22],[6.10909091 7.89090909] ; [17.89090909 23.10909091],0
a8,1,0.583044,0.301339,[ 1 13] ; [ 5 35],[ 1.55555556 12.44444444] ; [ 4.44444444 35.55555556],0
n1,1,0.653095,0.20202,[6 4] ; [5 5],[5.5 4.5] ; [5.5 4.5],0
b1,1,0.692396,0.156504,[7 7] ; [23 18],[7.63636364 6.36363636] ; [22.36363636 18.63636364],0
b4,1,0.701511,0.146905,[6 8] ; [20 21],[6.61818182 7.38181818] ; [19.38181818 21.61818182],0
s4,1,0.715258,0.133082,[ 3 11] ; [ 7 34],[ 2.54545455 11.45454545] ; [ 7.45454545 33.54545455],0
p12,1,0.769017,0.086237,[ 1 13] ; [ 4 37],[ 1.27272727 12.72727273] ; [ 3.72727273 37.27272727],0
d3,1,0.807685,0.05925,[ 2 12] ; [ 7 34],[ 2.29090909 11.70909091] ; [ 6.70909091 34.29090909],0
a3,1,0.942118,0.005272,[6 7] ; [18 22],[5.88679245 7.11320755] ; [18.11320755 21.88679245],0
