Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000148,14.4,[36  9] ; [ 4 11],[30. 15.] ; [10.  5.],1
r3,1,0.00448,8.078105,[34 12] ; [ 5 10],[29.40983607 16.59016393] ; [9.59016393 5.40983607],0
s6,1,0.02491,5.030128,[21 25] ; [ 2 13],[17.3442623 28.6557377] ; [5.6557377 9.3442623],0
s3,1,0.025266,5.005562,[27 18] ; [ 4 11],[23.25 21.75] ; [7.75 7.25],0
a7,1,0.029363,4.746178,[24 22] ; [ 3 12],[20.36065574 25.63934426] ; [6.63934426 8.36065574],0
n2,1,0.029604,4.732164,[16  3] ; [4 5],[13.57142857  5.42857143] ; [6.42857143 2.57142857],0
v3,1,0.031531,4.623803,[16 29] ; [ 1 14],[12.75 32.25] ; [ 4.25 10.75],0
a1,1,0.054979,3.682733,[ 2 44] ; [ 3 12],[ 3.7704918 42.2295082] ; [ 1.2295082 13.7704918],0
a6,1,0.057051,3.621101,[22 24] ; [ 3 12],[18.85245902 27.14754098] ; [6.14754098 8.85245902],0
d2,1,0.063404,3.446032,[14 32] ; [ 1 14],[11.31147541 34.68852459] ; [ 3.68852459 11.31147541],0
n3,1,0.074905,3.172113,[10  7] ; [2 7],[7.84615385 9.15384615] ; [4.15384615 4.84615385],0
s1,1,0.127964,2.317036,[ 3 43] ; [ 3 12],[ 4.52459016 41.47540984] ; [ 1.47540984 13.52459016],0
a4,1,0.143963,2.135076,[ 5 40] ; [ 4 11],[ 6.75 38.25] ; [ 2.25 12.75],0
p3,1,0.191028,1.70967,[14 32] ; [ 2 13],[12.06557377 33.93442623] ; [ 3.93442623 11.06557377],0
n4,1,0.201547,1.631127,[30 16] ; [7 8],[27.90163934 18.09836066] ; [9.09836066 5.90163934],0
r1,1,0.204495,1.609976,[24 22] ; [ 5 10],[21.86885246 24.13114754] ; [7.13114754 7.86885246],0
s8,1,0.241286,1.373063,[ 9 37] ; [ 1 14],[ 7.54098361 38.45901639] ; [ 2.45901639 12.54098361],0
p7,1,0.260644,1.265332,[23 23] ; [ 5 10],[21.1147541 24.8852459] ; [6.8852459 8.1147541],0
b1,1,0.260644,1.265332,[23 23] ; [10  5],[24.8852459 21.1147541] ; [8.1147541 6.8852459],0
s7,1,0.306048,1.047653,[15 29] ; [ 3 12],[13.42372881 30.57627119] ; [ 4.57627119 10.42372881],0
d3,1,0.309727,1.031839,[19 27] ; [ 4 11],[17.3442623 28.6557377] ; [5.6557377 9.3442623],0
a5,1,0.309727,1.031839,[19 27] ; [ 4 11],[17.3442623 28.6557377] ; [5.6557377 9.3442623],0
b5,1,0.326426,0.963026,[24 22] ; [10  5],[25.63934426 20.36065574] ; [8.36065574 6.63934426],0
p2,1,0.334079,0.933021,[28 18] ; [7 8],[26.39344262 19.60655738] ; [8.60655738 6.39344262],0
b4,1,0.334079,0.933021,[18 28] ; [8 7],[19.60655738 26.39344262] ; [6.39344262 8.60655738],0
p8,1,0.346957,0.884555,[16 30] ; [ 3 11],[14.56666667 31.43333333] ; [4.43333333 9.56666667],0
v1,1,0.353391,0.861244,[18 27] ; [ 4 11],[16.5 28.5] ; [5.5 9.5],0
a3,1,0.363636,0.825296,[16 28] ; [7 7],[17.44827586 26.55172414] ; [5.55172414 8.44827586],0
a2,1,0.39615,0.719983,[ 1 45] ; [ 1 14],[ 1.50819672 44.49180328] ; [ 0.49180328 14.50819672],0
n6,1,0.565357,0.330513,[27 19] ; [7 7],[26.06666667 19.93333333] ; [7.93333333 6.06666667],0
n1,1,0.579639,0.306818,[ 8 10] ; [3 6],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
p9,1,0.589535,0.291071,[23 22] ; [6 8],[22.11864407 22.88135593] ; [6.88135593 7.11864407],0
s4,1,0.600445,0.274326,[ 4 42] ; [ 2 13],[ 4.52459016 41.47540984] ; [ 1.47540984 13.52459016],0
n5,1,0.600832,0.273742,[31 15] ; [9 6],[30.16393443 15.83606557] ; [9.83606557 5.16393443],0
p1,1,0.63503,0.225301,[ 5 41] ; [ 1 14],[ 4.52459016 41.47540984] ; [ 1.47540984 13.52459016],0
p10,1,0.665078,0.187413,[19 26] ; [5 9],[18.30508475 26.69491525] ; [5.69491525 8.30508475],0
p4,1,0.75706,0.095694,[17 28] ; [ 5 10],[16.5 28.5] ; [5.5 9.5],0
s2,1,0.799675,0.064398,[17 29] ; [ 5 10],[16.59016393 29.40983607] ; [5.40983607 9.59016393],0
a8,1,0.81554,0.054422,[ 5 37] ; [ 2 12],[ 5.25 36.75] ; [ 1.75 12.25],0
d4,1,0.879829,0.022857,[19 26] ; [6 9],[18.75 26.25] ; [6.25 8.75],0
b2,1,0.908333,0.013258,[ 8 17] ; [3 7],[ 7.85714286 17.14285714] ; [3.14285714 6.85714286],0
b3,1,0.908333,0.013258,[ 8 17] ; [3 7],[ 7.85714286 17.14285714] ; [3.14285714 6.85714286],0
