Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.147708,[40  6] ; [11 22],[29.69620253 16.30379747] ; [21.30379747 11.69620253],1
a4,1,0.0004,12.533487,[25 21] ; [ 5 28],[17.46835443 28.53164557] ; [12.53164557 20.46835443],1
d2,1,0.006611,7.375789,[29 16] ; [11 22],[23.07692308 21.92307692] ; [16.92307692 16.07692308],0
a5,1,0.008963,6.830199,[31 16] ; [12 21],[25.2625 21.7375] ; [17.7375 15.2625],0
a3,1,0.022054,5.241547,[34 13] ; [15 17],[29.15189873 17.84810127] ; [19.84810127 12.15189873],0
u3,1,0.02346,5.134128,[ 2 11] ; [10  8],[5.03225806 7.96774194] ; [ 6.96774194 11.03225806],0
s4,1,0.025133,5.014712,[ 4 43] ; [ 9 24],[ 7.6375 39.3625] ; [ 5.3625 27.6375],0
v3,1,0.029433,4.742116,[18 29] ; [ 5 27],[13.6835443 33.3164557] ; [ 9.3164557 22.6835443],0
a1,1,0.051222,3.800991,[ 8 39] ; [ 1 32],[ 5.2875 41.7125] ; [ 3.7125 29.2875],0
d1,1,0.06328,3.449254,[27 20] ; [12 21],[22.9125 24.0875] ; [16.0875 16.9125],0
a7,1,0.07697,3.127741,[20 26] ; [21 12],[23.87341772 22.12658228] ; [17.12658228 15.87341772],0
a6,1,0.08867,2.898347,[29 18] ; [14 19],[25.2625 21.7375] ; [17.7375 15.2625],0
p1,1,0.088734,2.897193,[ 7 40] ; [ 1 31],[ 4.75949367 42.24050633] ; [ 3.24050633 28.75949367],0
a2,1,0.094238,2.800454,[ 9 38] ; [ 2 31],[ 6.4625 40.5375] ; [ 4.5375 28.4625],0
p8,1,0.115721,2.474298,[11 35] ; [13 19],[14.15384615 31.84615385] ; [ 9.84615385 22.15384615],0
s7,1,0.138769,2.191558,[17 25] ; [ 8 25],[14. 28.] ; [11. 22.],0
n2,1,0.201495,1.631505,[16  9] ; [6 8],[14.1025641 10.8974359] ; [7.8974359 6.1025641],0
p2,1,0.244414,1.354952,[23 21] ; [21 11],[25.47368421 18.52631579] ; [18.52631579 13.47368421],0
v1,1,0.281837,1.158208,[18 27] ; [ 9 23],[15.77922078 29.22077922] ; [11.22077922 20.77922078],0
p7,1,0.296869,1.088207,[15 30] ; [14 17],[17.17105263 27.82894737] ; [11.82894737 19.17105263],0
p5,1,0.33068,0.946234,[ 6 40] ; [ 2 30],[ 4.71794872 41.28205128] ; [ 3.28205128 28.71794872],0
n1,1,0.342093,0.902571,[11 14] ; [ 4 10],[ 9.61538462 15.38461538] ; [5.38461538 8.61538462],0
b1,1,0.342882,0.899627,[25 22] ; [14 19],[22.9125 24.0875] ; [16.0875 16.9125],0
s1,1,0.379077,0.773694,[ 2 45] ; [ 3 30],[ 2.9375 44.0625] ; [ 2.0625 30.9375],0
p3,1,0.384351,0.756737,[15 30] ; [ 8 25],[13.26923077 31.73076923] ; [ 9.73076923 23.26923077],0
b5,1,0.398364,0.713258,[24 23] ; [20 13],[25.85 21.15] ; [18.15 14.85],0
r3,1,0.404856,0.693857,[23 22] ; [20 13],[24.80769231 20.19230769] ; [18.19230769 14.80769231],0
s2,1,0.407668,0.685592,[14 32] ; [13 20],[15.72151899 30.27848101] ; [11.27848101 21.72151899],0
b2,1,0.415529,0.662926,[12 17] ; [ 4 10],[10.79069767 18.20930233] ; [5.20930233 8.79069767],0
b3,1,0.415529,0.662926,[12 17] ; [ 4 10],[10.79069767 18.20930233] ; [5.20930233 8.79069767],0
s5,1,0.441424,0.592577,[ 8 37] ; [ 8 24],[ 9.35064935 35.64935065] ; [ 6.64935065 25.35064935],0
u1,1,0.498191,0.458787,[ 3 44] ; [ 1 32],[ 2.35 44.65] ; [ 1.65 31.35],0
u2,1,0.542802,0.37037,[4 8] ; [ 8 10],[4.8 7.2] ; [ 7.2 10.8],0
v4,1,0.558549,0.342222,[31 14] ; [24  8],[32.14285714 12.85714286] ; [22.85714286  9.14285714],0
d3,1,0.569798,0.323021,[28 19] ; [17 15],[26.7721519 20.2278481] ; [18.2278481 13.7721519],0
p6,1,0.579268,0.30742,[12 33] ; [ 7 26],[10.96153846 34.03846154] ; [ 8.03846154 24.96153846],0
p4,1,0.580202,0.305908,[14 32] ; [12 21],[15.13924051 30.86075949] ; [10.86075949 22.13924051],0
d5,1,0.585645,0.297197,[34 13] ; [22 11],[32.9 14.1] ; [23.1  9.9],0
p10,1,0.597509,0.278769,[26 20] ; [20 12],[27.12820513 18.87179487] ; [18.87179487 13.12820513],0
s8,1,0.612381,0.256722,[ 9 37] ; [ 5 28],[ 8.15189873 37.84810127] ; [ 5.84810127 27.15189873],0
n6,1,0.629996,0.232066,[27 18] ; [18 15],[25.96153846 19.03846154] ; [19.03846154 13.96153846],0
v2,1,0.650947,0.204708,[16 29] ; [13 19],[16.94805195 28.05194805] ; [12.05194805 19.94805195],0
s3,1,0.689995,0.159091,[18 26] ; [15 18],[18.85714286 25.14285714] ; [14.14285714 18.85714286],0
r1,1,0.76028,0.093094,[14 32] ; [ 9 24],[13.39240506 32.60759494] ; [ 9.60759494 23.39240506],0
b4,1,0.777505,0.079847,[27 20] ; [20 13],[27.6125 19.3875] ; [19.3875 13.6125],0
n3,1,0.913892,0.011692,[12 13] ; [6 7],[11.84210526 13.15789474] ; [6.15789474 6.84210526],0
