Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001176,10.528084,[33 10] ; [ 5 11],[27.69491525 15.30508475] ; [10.30508475  5.69491525],0
a6,1,0.01107,6.454018,[24 19] ; [ 3 13],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
u3,1,0.029604,4.732164,[ 4 16] ; [5 3],[ 6.42857143 13.57142857] ; [2.57142857 5.42857143],0
a5,1,0.04573,3.991498,[26 17] ; [ 5 11],[22.59322034 20.40677966] ; [8.40677966 7.59322034],0
n6,1,0.054112,3.709255,[25 17] ; [ 5 11],[21.72413793 20.27586207] ; [8.27586207 7.72413793],0
u2,1,0.061369,3.5,[ 5 15] ; [5 3],[ 7.14285714 12.85714286] ; [2.85714286 5.14285714],0
d2,1,0.063144,3.452817,[19 23] ; [ 3 13],[15.93103448 26.06896552] ; [6.06896552 9.93103448],0
s7,1,0.08513,2.964138,[12 28] ; [ 1 13],[ 9.62962963 30.37037037] ; [ 3.37037037 10.62962963],0
s5,1,0.093821,2.807561,[11 31] ; [ 1 15],[ 8.68965517 33.31034483] ; [ 3.31034483 12.68965517],0
s6,1,0.112599,2.517361,[14 28] ; [ 2 14],[11.5862069 30.4137931] ; [ 4.4137931 11.5862069],0
n2,1,0.11998,2.417582,[16 10] ; [2 5],[14.18181818 11.81818182] ; [3.81818182 3.18181818],0
d4,1,0.134813,2.236185,[23 20] ; [12  4],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
p2,1,0.21095,1.564896,[19 24] ; [10  6],[21.13559322 21.86440678] ; [7.86440678 8.13559322],0
v2,1,0.22893,1.447495,[ 8 34] ; [ 1 15],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],0
p6,1,0.22893,1.447495,[ 8 34] ; [ 1 15],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],0
s8,1,0.22893,1.447495,[ 8 34] ; [ 1 15],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],0
n1,1,0.234965,1.410553,[14 12] ; [2 5],[12.60606061 13.39393939] ; [3.39393939 3.60606061],0
s3,1,0.254014,1.301091,[16 26] ; [ 3 11],[14.25 27.75] ; [4.75 9.25],0
p7,1,0.273658,1.19832,[13 29] ; [7 8],[14.73684211 27.26315789] ; [5.26315789 9.73684211],0
p3,1,0.273904,1.197091,[10 33] ; [ 6 10],[11.66101695 31.33898305] ; [ 4.33898305 11.66101695],0
s2,1,0.281139,1.161575,[11 32] ; [ 2 14],[ 9.47457627 33.52542373] ; [ 3.52542373 12.47457627],0
d3,1,0.323985,0.972793,[18 25] ; [9 7],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
b1,1,0.368518,0.808657,[24 19] ; [11  5],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
b4,1,0.368518,0.808657,[24 19] ; [11  5],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
b2,1,0.370102,0.803322,[13 21] ; [2 7],[11.86046512 22.13953488] ; [3.13953488 5.86046512],0
b3,1,0.370102,0.803322,[13 21] ; [2 7],[11.86046512 22.13953488] ; [3.13953488 5.86046512],0
p1,1,0.415932,0.66178,[ 6 37] ; [ 1 15],[ 5.10169492 37.89830508] ; [ 1.89830508 14.10169492],0
b5,1,0.437108,0.603864,[22 21] ; [10  6],[23.3220339 19.6779661] ; [8.6779661 7.3220339],0
v4,1,0.457533,0.551924,[25 18] ; [11  5],[26.23728814 16.76271186] ; [9.76271186 6.23728814],0
r1,1,0.531244,0.392012,[15 28] ; [7 9],[16.03389831 26.96610169] ; [ 5.96610169 10.03389831],0
p4,1,0.575111,0.314206,[14 29] ; [ 4 12],[13.11864407 29.88135593] ; [ 4.88135593 11.11864407],0
r4,1,0.578466,0.308721,[ 8 35] ; [ 2 14],[ 7.28813559 35.71186441] ; [ 2.71186441 13.28813559],0
v1,1,0.58345,0.30069,[11 32] ; [ 3 13],[10.20338983 32.79661017] ; [ 3.79661017 12.20338983],0
p10,1,0.624921,0.239011,[18 24] ; [8 8],[18.82758621 23.17241379] ; [7.17241379 8.82758621],0
d1,1,0.670819,0.180646,[16 27] ; [ 5 11],[15.30508475 27.69491525] ; [ 5.69491525 10.30508475],0
a3,1,0.677911,0.172487,[23 18] ; [8 8],[22.29824561 18.70175439] ; [8.70175439 7.29824561],0
a7,1,0.690257,0.158807,[19 24] ; [8 8],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
a2,1,0.708214,0.140068,[ 4 39] ; [ 1 15],[ 3.6440678 39.3559322] ; [ 1.3559322 14.6440678],0
s4,1,0.710466,0.137812,[10 33] ; [ 3 13],[ 9.47457627 33.52542373] ; [ 3.52542373 12.47457627],0
n3,1,0.737139,0.112658,[13 13] ; [4 3],[13.39393939 12.60606061] ; [3.60606061 3.39393939],0
p8,1,0.738562,0.111394,[11 30] ; [ 5 11],[11.50877193 29.49122807] ; [ 4.49122807 11.50877193],0
p9,1,0.79526,0.067333,[18 21] ; [8 8],[18.43636364 20.56363636] ; [7.56363636 8.43636364],0
a4,1,0.834889,0.043445,[14 27] ; [ 5 11],[13.66666667 27.33333333] ; [ 5.33333333 10.66666667],0
d5,1,0.849865,0.035831,[23 20] ; [9 7],[23.3220339 19.6779661] ; [8.6779661 7.3220339],0
r2,1,0.868267,0.02751,[27 15] ; [10  5],[27.26315789 14.73684211] ; [9.73684211 5.26315789],0
p11,1,0.983622,0.000421,[16 27] ; [ 6 10],[16.03389831 26.96610169] ; [ 5.96610169 10.03389831],0
