Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.8e-05,16.984692,[194 130] ; [23 47],[178.44670051 145.55329949] ; [38.55329949 31.44670051],1
n5,1,0.000417,12.452586,[273  53] ; [45 24],[262.45063291  63.54936709] ; [55.54936709 13.45063291],1
b1,1,0.003173,8.70523,[116 212] ; [38 32],[126.91457286 201.08542714] ; [27.08542714 42.91457286],0
s3,1,0.003449,8.553408,[292  33] ; [54 16],[284.6835443  40.3164557] ; [61.3164557  8.6835443],0
p3,1,0.008151,6.999894,[187 139] ; [28 42],[176.99494949 149.00505051] ; [38.00505051 31.99494949],0
p7,1,0.009076,6.807902,[229  87] ; [39 30],[219.96883117  96.03116883] ; [48.03116883 20.96883117],0
n4,1,0.015732,5.832616,[271  57] ; [49 21],[263.71859296  64.28140704] ; [56.28140704 13.71859296],0
n6,1,0.016355,5.764271,[291  33] ; [54 14],[285.15306122  38.84693878] ; [59.84693878  8.15306122],0
p4,1,0.062467,3.47064,[224 102] ; [40 30],[217.33333333 108.66666667] ; [46.66666667 23.33333333],0
p12,1,0.063212,3.451029,[ 45 282] ; [ 4 66],[ 40.36020151 286.63979849] ; [ 8.63979849 61.36020151],0
d4,1,0.073155,3.210763,[287  39] ; [56 14],[282.36868687  43.63131313] ; [60.63131313  9.36868687],0
p5,1,0.086563,2.937163,[ 48 275] ; [ 5 65],[ 43.55979644 279.44020356] ; [ 9.44020356 60.55979644],0
a5,1,0.132312,2.265161,[257  71] ; [49 21],[252.18090452  75.81909548] ; [53.81909548 16.18090452],0
n1,1,0.150121,2.071023,[25 29] ; [ 8 19],[22. 32.] ; [11. 16.],0
d2,1,0.167499,1.905188,[166 160] ; [42 28],[171.23232323 154.76767677] ; [36.76767677 33.23232323],0
b2,1,0.169322,1.888936,[ 87 126] ; [ 9 23],[ 83.46122449 129.53877551] ; [12.53877551 19.46122449],0
b3,1,0.169322,1.888936,[ 87 126] ; [ 9 23],[ 83.46122449 129.53877551] ; [12.53877551 19.46122449],0
d1,1,0.174111,1.847182,[220 108] ; [41 29],[215.09547739 112.90452261] ; [45.90452261 24.09547739],0
r4,1,0.174364,1.845018,[306  22] ; [62  8],[303.27638191  24.72361809] ; [64.72361809  5.27638191],0
a8,1,0.200156,1.641235,[ 50 257] ; [ 6 55],[ 46.7173913 260.2826087] ; [ 9.2826087 51.7173913],0
a3,1,0.238284,1.39072,[255  72] ; [50 20],[251.22166247  75.77833753] ; [53.77833753 16.22166247],0
