Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,79.989832,[208 147] ; [ 51 187],[155.05059022 199.94940978] ; [103.94940978 134.05059022],1
v1,1,0.0,29.295448,[234 122] ; [103 135],[201.97306397 154.02693603] ; [135.02693603 102.97306397],1
p9,1,0.002122,9.44067,[318  38] ; [192  47],[305.14285714  50.85714286] ; [204.85714286  34.14285714],0
p10,1,0.003063,8.769451,[314  44] ; [188  51],[301.0318258  56.9681742] ; [200.9681742  38.0318258],0
a5,1,0.004186,8.201288,[297  65] ; [174  67],[282.75621891  79.24378109] ; [188.24378109  52.75621891],0
b1,1,0.004244,8.176154,[118 245] ; [106 135],[134.62251656 228.37748344] ; [ 89.37748344 151.62251656],0
a7,1,0.009122,6.798686,[282  78] ; [166  75],[268.35274542  91.64725458] ; [179.64725458  61.35274542],0
a6,1,0.011041,6.458679,[263  98] ; [152  89],[248.86212625 112.13787375] ; [166.13787375  74.86212625],0
s1,1,0.020258,5.389493,[  7 350] ; [ 13 225],[ 12. 345.] ; [  8. 230.],0
r3,1,0.020737,5.348756,[353   8] ; [226  14],[347.78535774  13.21464226] ; [231.21464226   8.78535774],0
a3,1,0.021086,5.319663,[281  80] ; [166  73],[268.945  92.055] ; [178.055  60.945],0
p3,1,0.04376,4.06581,[201 160] ; [113 126],[188.92333333 172.07666667] ; [125.07666667 113.92333333],0
p7,1,0.047094,3.942017,[246 106] ; [147  90],[234.86587436 117.13412564] ; [158.13412564  78.86587436],0
u1,1,0.049093,3.872161,[ 91 272] ; [ 44 197],[ 81.13410596 281.86589404] ; [ 53.86589404 187.13410596],0
s4,1,0.06052,3.523063,[ 52 306] ; [ 48 187],[ 60.37099494 297.62900506] ; [ 39.62900506 195.37099494],0
p11,1,0.061664,3.492046,[305  58] ; [188  53],[296.2897351  66.7102649] ; [196.7102649  44.2897351],0
d2,1,0.092044,2.838256,[202 159] ; [118 123],[191.89368771 169.10631229] ; [128.10631229 112.89368771],0
p12,1,0.100829,2.692376,[ 38 321] ; [ 16 224],[ 32.3639399 326.6360601] ; [ 21.6360601 218.3639399],0
s8,1,0.112475,2.519098,[184 174] ; [107 132],[174.50251256 183.49748744] ; [116.49748744 122.50251256],0
n1,1,0.128502,2.310511,[20 39] ; [29 32],[24.09166667 34.90833333] ; [24.90833333 36.09166667],0
a1,1,0.129226,2.301772,[ 20 343] ; [  7 234],[ 16.22682119 346.77317881] ; [ 10.77317881 230.22682119],0
d4,1,0.138394,2.195729,[311  50] ; [196  44],[304.5374376  56.4625624] ; [202.4625624  37.5374376],0
a2,1,0.143952,2.135196,[107 256] ; [ 58 183],[ 99.16390728 263.83609272] ; [ 65.83609272 175.16390728],0
d1,1,0.18797,1.733456,[239 124] ; [146  95],[231.38245033 131.61754967] ; [153.61754967  87.38245033],0
a8,1,0.220055,1.504011,[ 53 267] ; [ 28 192],[ 48. 272.] ; [ 33. 187.],0
p2,1,0.223608,1.481065,[311  50] ; [198  42],[305.73876872  55.26123128] ; [203.26123128  36.73876872],0
n2,1,0.233255,1.420904,[46 12] ; [44 19],[43.14049587 14.85950413] ; [46.85950413 16.14049587],0
s7,1,0.236951,1.398641,[195 150] ; [119 112],[188.07291667 156.92708333] ; [125.92708333 105.07291667],0
s6,1,0.257656,1.28131,[250 108] ; [172  60],[256.06101695 101.93898305] ; [165.93898305  66.06101695],0
r2,1,0.28828,1.127638,[352   7] ; [232   8],[350.01001669   8.98998331] ; [233.98998331   6.01001669],0
b4,1,0.291831,1.111153,[219 144] ; [135 106],[212.75165563 150.24834437] ; [141.24834437  99.75165563],0
u3,1,0.323312,0.9755,[48 34] ; [49 25],[50.98717949 31.01282051] ; [46.01282051 27.98717949],0
p8,1,0.330603,0.946535,[203 152] ; [127 112],[197.22222222 157.77777778] ; [132.77777778 106.22222222],0
n3,1,0.349717,0.874485,[46 13] ; [43 18],[43.75833333 15.24166667] ; [45.24166667 15.75833333],0
