Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000304,13.047794,[27  1] ; [7 7],[22.66666667  5.33333333] ; [11.33333333  2.66666667],1
d3,1,0.000952,10.917772,[24  4] ; [5 9],[19.33333333  8.66666667] ; [9.66666667 4.33333333],1
d2,1,0.003856,8.350588,[21  7] ; [ 4 10],[16.66666667 11.33333333] ; [8.33333333 5.66666667],0
p4,1,0.007805,7.077722,[24  4] ; [6 7],[20.48780488  7.51219512] ; [9.51219512 3.48780488],0
a8,1,0.017751,5.620588,[ 1 25] ; [4 9],[ 3.33333333 22.66666667] ; [ 1.66666667 11.33333333],0
v2,1,0.018125,5.584046,[17 10] ; [ 3 10],[13.5 13.5] ; [6.5 6.5],0
a6,1,0.026224,4.941176,[20  8] ; [5 9],[16.66666667 11.33333333] ; [8.33333333 5.66666667],0
a3,1,0.029727,4.725,[23  5] ; [7 7],[20.  8.] ; [10.  4.],0
p10,1,0.046401,3.966981,[26  2] ; [9 4],[23.90243902  4.09756098] ; [11.09756098  1.90243902],0
p9,1,0.050148,3.83652,[27  1] ; [10  3],[25.26829268  2.73170732] ; [11.73170732  1.26829268],0
v1,1,0.082916,3.006794,[20  7] ; [6 7],[17.55  9.45] ; [8.45 4.55],0
p11,1,0.110612,2.545455,[24  4] ; [9 5],[22.  6.] ; [11.  3.],0
p8,1,0.121024,2.404019,[18 10] ; [5 8],[15.70731707 12.29268293] ; [7.29268293 5.70731707],0
s3,1,0.124907,2.354691,[15 13] ; [ 4 10],[12.66666667 15.33333333] ; [6.33333333 7.66666667],0
p3,1,0.171857,1.866667,[20  8] ; [7 7],[18. 10.] ; [9. 5.],0
u3,1,0.198211,1.65551,[4 1] ; [3 4],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
u2,1,0.198211,1.65551,[4 1] ; [3 4],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
s1,1,0.203737,1.615385,[ 1 27] ; [ 2 12],[ 2. 26.] ; [ 1. 13.],0
p2,1,0.26638,1.235294,[24  4] ; [10  4],[22.66666667  5.33333333] ; [11.33333333  2.66666667],0
n5,1,0.26638,1.235294,[24  4] ; [10  4],[22.66666667  5.33333333] ; [11.33333333  2.66666667],0
p7,1,0.317924,0.997468,[16 11] ; [6 8],[14.48780488 12.51219512] ; [7.51219512 6.48780488],0
r1,1,0.320885,0.985337,[22  6] ; [9 5],[20.66666667  7.33333333] ; [10.33333333  3.66666667],0
s5,1,0.34347,0.897436,[17  9] ; [7 7],[15.6 10.4] ; [8.4 5.6],0
r4,1,0.349575,0.875,[23  5] ; [13  1],[24.  4.] ; [12.  2.],0
r3,1,0.349575,0.875,[23  5] ; [13  1],[24.  4.] ; [12.  2.],0
s8,1,0.367749,0.811257,[15 13] ; [5 8],[13.65853659 14.34146341] ; [6.34146341 6.65853659],0
s2,1,0.368803,0.807692,[12 16] ; [ 4 10],[10.66666667 17.33333333] ; [5.33333333 8.66666667],0
b5,1,0.380564,0.768879,[14 14] ; [9 5],[15.33333333 12.66666667] ; [7.66666667 6.33333333],0
p1,1,0.425031,0.636364,[ 7 21] ; [ 2 12],[ 6. 22.] ; [ 3. 11.],0
a4,1,0.494525,0.466667,[11 17] ; [ 4 10],[10. 18.] ; [5. 9.],0
s6,1,0.507335,0.43956,[18  9] ; [10  3],[18.9  8.1] ; [9.1 3.9],0
p12,1,0.548262,0.36044,[ 4 24] ; [ 1 12],[ 3.41463415 24.58536585] ; [ 1.58536585 11.41463415],0
n4,1,0.558185,0.342857,[24  4] ; [11  3],[23.33333333  4.66666667] ; [11.66666667  2.33333333],0
r2,1,0.558185,0.342857,[24  4] ; [11  3],[23.33333333  4.66666667] ; [11.66666667  2.33333333],0
s7,1,0.56409,0.332671,[14 13] ; [8 5],[14.85 12.15] ; [7.15 5.85],0
b2,1,0.604773,0.267857,[10 10] ; [4 6],[ 9.33333333 10.66666667] ; [4.66666667 5.33333333],0
b3,1,0.604773,0.267857,[10 10] ; [4 6],[ 9.33333333 10.66666667] ; [4.66666667 5.33333333],0
a5,1,0.608408,0.2625,[22  6] ; [10  4],[21.33333333  6.66666667] ; [10.66666667  3.33333333],0
b4,1,0.656627,0.197647,[16 12] ; [9 5],[16.66666667 11.33333333] ; [8.33333333 5.66666667],0
v3,1,0.73568,0.11396,[14 13] ; [6 7],[13.5 13.5] ; [6.5 6.5],0
n6,1,0.768321,0.086772,[24  3] ; [12  2],[23.70731707  3.29268293] ; [12.29268293  1.70731707],0
n2,1,0.898195,0.016369,[5 3] ; [2 1],[5.09090909 2.90909091] ; [1.90909091 1.09090909],0
n1,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
v4,1,1.0,0.0,[26  2] ; [13  1],[26.  2.] ; [13.  1.],0
a7,1,1.0,0.0,[18 10] ; [9 5],[18. 10.] ; [9. 5.],0
b1,1,1.0,0.0,[14 14] ; [7 7],[14. 14.] ; [7. 7.],0
