Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,123.414634,[208  22] ; [38 77],[164.  66.] ; [82. 33.],1
p11,1,0.0,31.515953,[182  49] ; [60 61],[158.8125  72.1875] ; [83.1875 37.8125],1
p2,1,0.0,26.559905,[178  52] ; [61 60],[156.60968661  73.39031339] ; [82.39031339 38.60968661],1
n6,1,4e-06,21.145691,[187  42] ; [70 49],[169.11781609  59.88218391] ; [87.88218391 31.11781609],1
s6,1,4e-06,21.050549,[130  98] ; [37 82],[109.72910663 118.27089337] ; [57.27089337 61.72910663],1
s8,1,2.1e-05,18.119854,[ 88 143] ; [ 19 100],[ 70.62 160.38] ; [36.38 82.62],1
s2,1,9.5e-05,15.236659,[ 96 134] ; [25 95],[ 79.51428571 150.48571429] ; [41.48571429 78.51428571],1
r4,1,9.7e-05,15.184918,[196  35] ; [81 40],[181.78125  49.21875] ; [95.21875 25.78125],1
v4,1,0.000105,15.046469,[212  17] ; [93 26],[200.70402299  28.29597701] ; [104.29597701  14.70402299],1
r3,1,0.000119,14.81251,[213  16] ; [94 25],[202.02011494  26.97988506] ; [104.97988506  14.02011494],1
p8,1,0.000543,11.962653,[ 88 141] ; [24 95],[ 73.70114943 155.29885057] ; [38.29885057 80.70114943],1
s3,1,0.000803,11.233235,[119 110] ; [39 79],[104.27089337 124.72910663] ; [53.72910663 64.27089337],1
n5,1,0.000899,11.024356,[164  65] ; [64 55],[150.03448276  78.96551724] ; [77.96551724 41.03448276],1
s7,1,0.000977,10.871172,[ 87 138] ; [23 88],[ 73.66071429 151.33928571] ; [36.33928571 74.66071429],1
v2,1,0.001604,9.955456,[119  98] ; [43 74],[105.25149701 111.74850299] ; [56.74850299 60.25149701],0
d3,1,0.006927,7.291835,[142  88] ; [56 64],[130.11428571  99.88571429] ; [67.88571429 52.11428571],0
a7,1,0.00728,7.202597,[165  66] ; [68 51],[153.78  77.22] ; [79.22 39.78],0
d5,1,0.007705,7.100827,[179  52] ; [77 43],[168.47863248  62.52136752] ; [87.52136752 32.47863248],0
p7,1,0.008797,6.863663,[112 110] ; [42 76],[100.55294118 121.44705882] ; [53.44705882 64.55294118],0
r2,1,0.010397,6.565658,[212  15] ; [101  18],[205.34971098  21.65028902] ; [107.65028902  11.34971098],0
n2,1,0.011204,6.432651,[49 13] ; [29 22],[42.79646018 19.20353982] ; [35.20353982 15.79646018],0
a5,1,0.012356,6.258985,[159  72] ; [67 54],[148.3125  82.6875] ; [77.6875 43.3125],0
s5,1,0.019436,5.461866,[ 57 168] ; [ 17 101],[ 48.54227405 176.45772595] ; [25.45772595 92.54227405],0
r1,1,0.040342,4.20343,[178  52] ; [80 39],[170.0286533  59.9713467] ; [87.9713467 31.0286533],0
v3,1,0.041223,4.166831,[ 83 143] ; [29 84],[ 74.66666667 151.33333333] ; [37.33333333 75.66666667],0
a1,1,0.045537,3.998623,[  9 222] ; [ 11 110],[ 13.125 217.875] ; [  6.875 114.125],0
