Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,32.363543,[ 98 150] ; [89 37],[124. 124.] ; [63. 63.],1
v1,1,4.3e-05,16.737659,[ 93 154] ; [75 50],[111.5483871 135.4516129] ; [56.4516129 68.5483871],1
s8,1,6.1e-05,16.060341,[ 65 190] ; [59 70],[ 82.34375 172.65625] ; [41.65625 87.34375],1
n5,1,0.000155,14.306186,[159  92] ; [106  23],[175.03947368  75.96052632] ; [89.96052632 39.03947368],1
s7,1,0.000493,12.142996,[ 80 164] ; [63 59],[ 95.33333333 148.66666667] ; [47.66666667 74.33333333],1
n4,1,0.001089,10.669895,[173  81] ; [108  21],[186.35509138  67.64490862] ; [94.64490862 34.35509138],0
s6,1,0.001116,10.624673,[124 130] ; [85 43],[138.96858639 115.03141361] ; [70.03141361 57.96858639],0
n6,1,0.006428,7.426336,[182  71] ; [109  20],[192.73036649  60.26963351] ; [98.26963351 30.73036649],0
u1,1,0.009461,6.733617,[ 33 223] ; [30 99],[ 41.89090909 214.10909091] ; [ 21.10909091 107.89090909],0
r1,1,0.00961,6.705849,[170  83] ; [103  26],[180.80890052  72.19109948] ; [92.19109948 36.80890052],0
s2,1,0.01178,6.343675,[ 91 163] ; [63 65],[102.39790576 151.60209424] ; [51.60209424 76.39790576],0
d5,1,0.011895,6.326488,[187  69] ; [109  20],[196.82077922  59.17922078] ; [99.17922078 29.82077922],0
p3,1,0.014509,5.975159,[ 72 183] ; [52 76],[ 82.55874674 172.44125326] ; [41.44125326 86.55874674],0
v4,1,0.014616,5.962139,[213  40] ; [120   9],[220.54712042  32.45287958] ; [112.45287958  16.54712042],0
p10,1,0.018936,5.507452,[161  91] ; [97 31],[171.09473684  80.90526316] ; [86.90526316 41.09473684],0
r4,1,0.022295,5.22258,[190  66] ; [109  20],[198.81558442  57.18441558] ; [100.18441558  28.81558442],0
r2,1,0.024062,5.090149,[216  35] ; [121   8],[222.59736842  28.40263158] ; [114.40263158  14.59736842],0
d2,1,0.035401,4.425704,[111 143] ; [70 57],[120.66666667 133.33333333] ; [60.33333333 66.66666667],0
p12,1,0.037362,4.333847,[  9 246] ; [ 11 118],[ 13.28125 241.71875] ; [  6.71875 122.28125],0
p11,1,0.096714,2.758912,[165  91] ; [94 35],[172.21818182  83.78181818] ; [86.78181818 42.21818182],0
r3,1,0.09706,2.753205,[222  32] ; [119   9],[226.7382199  27.2617801] ; [114.2617801  13.7382199],0
u3,1,0.101901,2.675538,[42 46] ; [23 13],[46.12903226 41.87096774] ; [18.87096774 17.12903226],0
a7,1,0.127948,2.317231,[162  94] ; [91 37],[168.66666667  87.33333333] ; [84.33333333 43.66666667],0
a5,1,0.137844,2.201864,[159  97] ; [90 39],[165.56883117  90.43116883] ; [83.43116883 45.56883117],0
a6,1,0.154563,2.026633,[164  92] ; [92 37],[170.22337662  85.77662338] ; [85.77662338 43.22337662],0
a2,1,0.15622,2.010444,[ 53 203] ; [35 94],[ 58.51428571 197.48571429] ; [29.48571429 99.51428571],0
d4,1,0.189437,1.721988,[192  63] ; [104  24],[197.07571802  57.92428198] ; [98.92428198 29.07571802],0
d3,1,0.205278,1.604423,[149 106] ; [84 45],[154.7265625 100.2734375] ; [78.2734375 50.7265625],0
a3,1,0.208788,1.579814,[167  87] ; [93 36],[172.42819843  81.57180157] ; [87.57180157 41.42819843],0
d1,1,0.221381,1.495395,[124 132] ; [71 58],[129.66233766 126.33766234] ; [65.33766234 63.66233766],0
b5,1,0.242892,1.36373,[153 103] ; [85 44],[158.25454545  97.74545455] ; [79.74545455 49.25454545],0
a1,1,0.296088,1.091732,[ 13 243] ; [ 10 119],[ 15.29350649 240.70649351] ; [  7.70649351 121.29350649],0
p9,1,0.357885,0.845302,[177  74] ; [96 32],[180.7994723  70.2005277] ; [92.2005277 35.7994723],0
