Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.464053,[105  25] ; [ 8 28],[88.4939759 41.5060241] ; [24.5060241 11.4939759],1
r3,1,0.0,39.616863,[114  15] ; [14 22],[100.07272727  28.92727273] ; [27.92727273  8.07272727],1
p2,1,2e-06,22.392223,[83 47] ; [ 7 29],[70.48192771 59.51807229] ; [19.51807229 16.48192771],1
r2,1,1.3e-05,19.047399,[117  13] ; [20 14],[108.59756098  21.40243902] ; [28.40243902  5.59756098],1
n6,1,0.000263,13.320596,[88 41] ; [12 23],[78.65853659 50.34146341] ; [21.34146341 13.65853659],1
r1,1,0.00032,12.950581,[95 34] ; [15 21],[86. 43.] ; [24. 12.],1
u3,1,0.003685,8.432804,[29 23] ; [ 2 13],[24.05970149 27.94029851] ; [6.94029851 8.05970149],0
s6,1,0.004142,8.220586,[67 62] ; [ 9 27],[59.41818182 69.58181818] ; [16.58181818 19.41818182],0
n2,1,0.00715,7.234895,[34 17] ; [ 5 12],[29.25 21.75] ; [9.75 7.25],0
p7,1,0.015233,5.889262,[49 79] ; [ 6 30],[42.92682927 85.07317073] ; [12.07317073 23.92682927],0
a1,1,0.025767,4.97159,[  7 123] ; [ 6 30],[ 10.18072289 119.81927711] ; [ 2.81927711 33.18072289],0
s8,1,0.026323,4.934683,[ 28 101] ; [ 2 34],[ 23.45454545 105.54545455] ; [ 6.54545455 29.45454545],0
n3,1,0.030979,4.654117,[32 17] ; [ 6 11],[28.21212121 20.78787879] ; [9.78787879 7.21212121],0
u1,1,0.044044,4.054889,[ 20 110] ; [ 1 35],[ 16.44578313 113.55421687] ; [ 4.55421687 31.44578313],0
p1,1,0.049391,3.862001,[  4 124] ; [ 4 32],[  6.24390244 121.75609756] ; [ 1.75609756 34.24390244],0
p11,1,0.055776,3.658733,[63 67] ; [11 25],[57.95180723 72.04819277] ; [16.04819277 19.95180723],0
v1,1,0.080946,3.045798,[50 79] ; [ 8 27],[45.62195122 83.37804878] ; [12.37804878 22.62195122],0
a7,1,0.092601,2.828573,[81 48] ; [17 19],[76.61818182 52.38181818] ; [21.38181818 14.61818182],0
v2,1,0.096016,2.770508,[51 76] ; [ 9 27],[46.74846626 80.25153374] ; [13.25153374 22.74846626],0
s3,1,0.097951,2.738585,[56 71] ; [10 25],[51.74074074 75.25925926] ; [14.25925926 20.74074074],0
p9,1,0.098624,2.727657,[43 81] ; [ 7 28],[38.99371069 85.00628931] ; [11.00628931 23.99371069],0
b5,1,0.103355,2.652996,[81 49] ; [17 19],[76.74698795 53.25301205] ; [21.25301205 14.74698795],0
u2,1,0.109599,2.56,[21 28] ; [ 3 12],[18.375 30.625] ; [5.625 9.375],0
s5,1,0.111173,2.537463,[30 99] ; [ 4 32],[ 26.58181818 102.41818182] ; [ 7.41818182 28.58181818],0
s2,1,0.121598,2.396618,[42 86] ; [ 7 29],[38.24390244 89.75609756] ; [10.75609756 25.24390244],0
p3,1,0.130666,2.28457,[38 92] ; [ 6 30],[34.45783133 95.54216867] ; [ 9.54216867 26.45783133],0
a2,1,0.13632,2.21901,[ 29 101] ; [ 4 32],[ 25.84337349 104.15662651] ; [ 7.15662651 28.84337349],0
p4,1,0.158096,1.992342,[45 85] ; [ 8 28],[41.5060241 88.4939759] ; [11.4939759 24.5060241],0
s7,1,0.16953,1.887097,[34 90] ; [ 5 27],[31. 93.] ; [ 8. 24.],0
s1,1,0.221567,1.494196,[  7 123] ; [ 4 32],[  8.61445783 121.38554217] ; [ 2.38554217 33.61445783],0
d5,1,0.241296,1.373009,[92 37] ; [22 14],[89.12727273 39.87272727] ; [24.87272727 11.12727273],0
a5,1,0.262557,1.255225,[82 48] ; [19 17],[79.09638554 50.90361446] ; [21.90361446 14.09638554],0
d3,1,0.279305,1.17047,[74 55] ; [17 19],[71.14545455 57.85454545] ; [19.85454545 16.14545455],0
p8,1,0.280111,1.16655,[29 99] ; [ 5 30],[ 26.6993865 101.3006135] ; [ 7.3006135 27.6993865],0
d1,1,0.361406,0.833003,[58 72] ; [13 23],[55.60240964 74.39759036] ; [15.39759036 20.60240964],0
v3,1,0.405895,0.690793,[36 87] ; [ 8 28],[34.03773585 88.96226415] ; [ 9.96226415 26.03773585],0
d4,1,0.482583,0.493021,[93 35] ; [24 12],[91.31707317 36.68292683] ; [25.68292683 10.31707317],0
a6,1,0.565619,0.330069,[75 54] ; [19 17],[73.49090909 55.50909091] ; [20.50909091 15.49090909],0
u4,1,0.621324,0.244011,[  2 128] ; [ 1 35],[  2.34939759 127.65060241] ; [ 0.65060241 35.34939759],0
n1,1,0.66311,0.189767,[18 33] ; [ 7 10],[18.75 32.25] ; [ 6.25 10.75],0
a4,1,0.673156,0.177933,[53 76] ; [13 22],[51.91463415 77.08536585] ; [14.08536585 20.91463415],0
n4,1,0.709319,0.138958,[78 51] ; [23 13],[78.96363636 50.03636364] ; [22.03636364 13.96363636],0
b4,1,0.727343,0.121565,[80 50] ; [21 15],[79.09638554 50.90361446] ; [21.90361446 14.09638554],0
b1,1,0.74357,0.107014,[61 69] ; [18 18],[61.86746988 68.13253012] ; [17.13253012 18.86746988],0
n5,1,0.762453,0.091362,[68 61] ; [20 16],[68.8 60.2] ; [19.2 16.8],0
p5,1,0.78144,0.076975,[  5 125] ; [ 1 34],[  4.72727273 125.27272727] ; [ 1.27272727 33.72727273],0
s4,1,0.811137,0.057101,[ 20 109] ; [ 5 31],[ 19.54545455 109.45454545] ; [ 5.45454545 30.54545455],0
a8,1,0.905424,0.014116,[ 14 101] ; [ 4 31],[ 13.8 101.2] ; [ 4.2 30.8],0
a3,1,0.919831,0.01013,[78 50] ; [21 14],[77.74233129 50.25766871] ; [21.25766871 13.74233129],0
d2,1,0.923484,0.009225,[61 67] ; [17 18],[61.25153374 66.74846626] ; [16.74846626 18.25153374],0
b3,1,0.992015,0.0001,[22 62] ; [ 6 17],[21.98130841 62.01869159] ; [ 6.01869159 16.98130841],0
b2,1,0.992015,0.0001,[22 62] ; [ 6 17],[21.98130841 62.01869159] ; [ 6.01869159 16.98130841],0
