Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.2e-05,19.194706,[3 6] ; [59  6],[7.54054054 1.45945946] ; [54.45945946 10.54054054],1
p9,1,0.00338,8.590155,[3 6] ; [50 13],[6.625 2.375] ; [46.375 16.625],0
r4,1,0.003819,8.367769,[3 6] ; [52 14],[6.6 2.4] ; [48.4 17.6],0
p10,1,0.011781,6.343513,[2 7] ; [41 21],[5.45070423 3.54929577] ; [37.54929577 24.45070423],0
p11,1,0.013659,6.08165,[2 7] ; [43 23],[5.4 3.6] ; [39.6 26.4],0
p7,1,0.018107,5.585721,[1 8] ; [33 29],[4.30985915 4.69014085] ; [29.69014085 32.30985915],0
s3,1,0.018161,5.580582,[1 8] ; [34 30],[4.31506849 4.68493151] ; [30.68493151 33.31506849],0
s1,1,0.01962,5.445378,[2 7] ; [ 2 61],[0.5 8.5] ; [ 3.5 59.5],0
s6,1,0.025658,4.978887,[2 7] ; [40 25],[5.10810811 3.89189189] ; [36.89189189 28.10810811],0
s2,1,0.031066,4.649302,[1 8] ; [32 33],[4.01351351 4.98648649] ; [28.98648649 36.01351351],0
p2,1,0.043086,4.092022,[4 5] ; [49 15],[6.53424658 2.46575342] ; [46.46575342 17.53424658],0
p4,1,0.050863,3.812792,[1 8] ; [29 35],[3.69863014 5.30136986] ; [26.30136986 37.69863014],0
v2,1,0.112589,2.517493,[3 6] ; [38 24],[5.1971831 3.8028169] ; [35.8028169 26.1971831],0
r1,1,0.159944,1.974752,[5 4] ; [51 15],[6.72 2.28] ; [49.28 16.72],0
s5,1,0.202667,1.623049,[1 8] ; [20 43],[2.625 6.375] ; [18.375 44.625],0
p3,1,0.205903,1.6,[2 7] ; [28 35],[3.75 5.25] ; [26.25 36.75],0
p6,1,0.227044,1.459282,[1 8] ; [18 41],[2.51470588 6.48529412] ; [16.48529412 42.51470588],0
a2,1,0.228678,1.449063,[3 6] ; [11 55],[1.68 7.32] ; [12.32 53.68],0
d4,1,0.286422,1.136364,[6 3] ; [54 12],[7.2 1.8] ; [52.8 13.2],0
b5,1,0.30989,1.031145,[4 5] ; [41 25],[5.4 3.6] ; [39.6 26.4],0
a4,1,0.30989,1.031145,[5 4] ; [25 41],[3.6 5.4] ; [26.4 39.6],0
p8,1,0.311492,1.024339,[2 7] ; [25 38],[3.375 5.625] ; [23.625 39.375],0
p1,1,0.314421,1.012014,[2 7] ; [ 7 59],[1.08 7.92] ; [ 7.92 58.08],0
d1,1,0.347816,0.88141,[3 6] ; [33 33],[4.32 4.68] ; [31.68 34.32],0
s7,1,0.357467,0.846774,[2 6] ; [26 36],[3.2 4.8] ; [24.8 37.2],0
r2,1,0.403019,0.699301,[7 2] ; [58  8],[7.8 1.2] ; [57.2  8.8],0
n5,1,0.468337,0.525897,[3 6] ; [30 35],[4.01351351 4.98648649] ; [28.98648649 36.01351351],0
d5,1,0.484625,0.488437,[6 3] ; [51 15],[6.84 2.16] ; [50.16 15.84],0
a6,1,0.491952,0.472255,[6 3] ; [36 30],[5.04 3.96] ; [36.96 29.04],0
b4,1,0.491952,0.472255,[6 3] ; [36 30],[5.04 3.96] ; [36.96 29.04],0
v3,1,0.558191,0.342846,[4 5] ; [21 40],[3.21428571 5.78571429] ; [21.78571429 39.21428571],0
a1,1,0.568811,0.324675,[1 8] ; [ 4 62],[0.6 8.4] ; [ 4.4 61.6],0
a5,1,0.573698,0.316533,[5 4] ; [43 23],[5.76 3.24] ; [42.24 23.76],0
b1,1,0.60338,0.269928,[6 3] ; [38 28],[5.28 3.72] ; [38.72 27.28],0
a7,1,0.663422,0.189394,[6 3] ; [39 27],[5.4 3.6] ; [39.6 26.4],0
d3,1,0.704373,0.143962,[5 4] ; [41 25],[5.52 3.48] ; [40.48 25.52],0
a3,1,0.747898,0.103306,[7 2] ; [48 18],[6.6 2.4] ; [48.4 17.6],0
n4,1,0.754492,0.097795,[5 4] ; [33 33],[4.56 4.44] ; [33.44 32.56],0
d2,1,0.771717,0.084175,[4 5] ; [26 40],[3.6 5.4] ; [26.4 39.6],0
a8,1,0.795053,0.067473,[1 8] ; [ 5 54],[0.79411765 8.20588235] ; [ 5.20588235 53.79411765],0
s4,1,0.834401,0.043706,[1 8] ; [ 9 57],[1.2 7.8] ; [ 8.8 57.2],0
b2,1,0.844233,0.038605,[3 4] ; [14 22],[2.76744186 4.23255814] ; [14.23255814 21.76744186],0
b3,1,0.844233,0.038605,[3 4] ; [14 22],[2.76744186 4.23255814] ; [14.23255814 21.76744186],0
n1,1,0.877059,0.023932,[2 2] ; [11 13],[1.85714286 2.14285714] ; [11.14285714 12.85714286],0
n2,1,1.0,0.0,[3 1] ; [18  6],[3. 1.] ; [18.  6.],0
