Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,25.129125,[ 23 119] ; [48 58],[ 40.65322581 101.34677419] ; [30.34677419 75.65322581],1
a7,1,0.008637,6.896298,[94 50] ; [86 21],[103.26693227  40.73306773] ; [76.73306773 30.26693227],0
s1,1,0.008901,6.842532,[ 12 132] ; [  1 106],[  7.45816733 136.54183267] ; [  5.54183267 101.45816733],0
a5,1,0.010379,6.568651,[93 51] ; [85 22],[102.11952191  41.88047809] ; [75.88047809 31.11952191],0
r1,1,0.01407,6.029383,[107  37] ; [93 14],[114.74103586  29.25896414] ; [85.25896414 21.74103586],0
d5,1,0.020356,5.381091,[106  37] ; [93 15],[113.37450199  29.62549801] ; [85.62549801 22.37450199],0
d2,1,0.026936,4.894888,[58 85] ; [59 49],[66.65737052 76.34262948] ; [50.34262948 57.65737052],0
p12,1,0.032329,4.580983,[  6 138] ; [12 95],[ 10.32669323 133.67330677] ; [ 7.67330677 99.32669323],0
a3,1,0.039812,4.22588,[90 54] ; [80 27],[97.52988048 46.47011952] ; [72.47011952 34.52988048],0
n2,1,0.041646,4.149554,[27 15] ; [21  3],[30.54545455 11.45454545] ; [17.45454545  6.54545455],0
a2,1,0.047579,3.924781,[ 25 119] ; [30 78],[ 31.42857143 112.57142857] ; [23.57142857 84.42857143],0
p2,1,0.051023,3.807527,[123  21] ; [81 26],[117.03585657  26.96414343] ; [86.96414343 20.03585657],0
p10,1,0.062973,3.45729,[104  38] ; [89 18],[110.06425703  31.93574297] ; [82.93574297 24.06425703],0
a6,1,0.085151,2.96373,[88 55] ; [77 30],[94.38 48.62] ; [70.62 36.38],0
p9,1,0.095587,2.77768,[110  32] ; [91 15],[115.08870968  26.91129032] ; [85.91129032 20.08870968],0
p1,1,0.096236,2.766834,[ 13 130] ; [  4 103],[  9.724 133.276] ; [ 7.276 99.724],0
n3,1,0.143606,2.138889,[28 14] ; [20  4],[30.54545455 11.45454545] ; [17.45454545  6.54545455],0
s5,1,0.157319,1.999812,[54 90] ; [47 54],[59.36326531 84.63673469] ; [41.63673469 59.36326531],0
u2,1,0.175574,1.834699,[32 21] ; [12 15],[29.15 23.85] ; [14.85 12.15],0
u3,1,0.180334,1.794872,[34 18] ; [14 14],[31.2 20.8] ; [16.8 11.2],0
u1,1,0.217016,1.523994,[ 22 122] ; [23 85],[ 25.71428571 118.28571429] ; [19.28571429 88.71428571],0
d4,1,0.25009,1.322803,[112  31] ; [90 17],[115.544  27.456] ; [86.456 20.544],0
v4,1,0.254885,1.296326,[137   7] ; [98  9],[134.82071713   9.17928287] ; [100.17928287   6.82071713],0
d1,1,0.257001,1.284841,[75 69] ; [64 44],[79.42857143 64.57142857] ; [59.57142857 48.42857143],0
a1,1,0.26638,1.235294,[  6 138] ; [  8 100],[  8. 136.] ; [  6. 102.],0
d3,1,0.294605,1.098456,[94 49] ; [77 30],[97.812 45.188] ; [73.188 33.812],0
p3,1,0.344422,0.893902,[64 80] ; [54 53],[67.69721116 76.30278884] ; [50.30278884 56.69721116],0
s2,1,0.387117,0.74798,[87 57] ; [71 37],[90.28571429 53.71428571] ; [67.71428571 40.28571429],0
n5,1,0.418569,0.65433,[103  40] ; [72 35],[100.1  42.9] ; [74.9 32.1],0
a8,1,0.437862,0.60188,[ 15 121] ; [14 83],[ 16.92703863 119.07296137] ; [12.07296137 84.92703863],0
r2,1,0.452672,0.563953,[129  13] ; [100   7],[130.59437751  11.40562249] ; [98.40562249  8.59437751],0
s4,1,0.453179,0.562689,[41 99] ; [27 81],[ 38.38709677 101.61290323] ; [29.61290323 78.38709677],0
s7,1,0.455384,0.557218,[77 62] ; [62 41],[79.83884298 59.16115702] ; [59.16115702 43.83884298],0
s3,1,0.505337,0.443711,[99 45] ; [77 29],[101.376  42.624] ; [74.624 31.376],0
n4,1,0.510168,0.433723,[108  36] ; [77 31],[105.71428571  38.28571429] ; [79.28571429 28.71428571],0
p11,1,0.532968,0.388729,[109  35] ; [78 30],[106.85714286  37.14285714] ; [80.14285714 27.85714286],0
n1,1,0.541856,0.372111,[15 26] ; [ 7 17],[13.87692308 27.12307692] ; [ 8.12307692 15.87692308],0
b2,1,0.551023,0.355488,[20 58] ; [19 44],[21.57446809 56.42553191] ; [17.42553191 45.57446809],0
b3,1,0.551023,0.355488,[20 58] ; [19 44],[21.57446809 56.42553191] ; [17.42553191 45.57446809],0
b1,1,0.601508,0.272727,[58 86] ; [40 68],[56. 88.] ; [42. 66.],0
b5,1,0.608408,0.2625,[82 62] ; [58 50],[80. 64.] ; [60. 48.],0
s8,1,0.610078,0.260062,[66 78] ; [53 55],[68. 76.] ; [51. 57.],0
r3,1,0.65903,0.194705,[136   7] ; [103   4],[136.708   6.292] ; [102.292   4.708],0
r4,1,0.719827,0.128659,[130  14] ; [96 12],[129.14285714  14.85714286] ; [96.85714286 11.14285714],0
p6,1,0.739066,0.110949,[50 94] ; [35 72],[48.76494024 95.23505976] ; [36.23505976 70.76494024],0
