Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.068049,[73 44] ; [133  20],[89.26666667 27.73333333] ; [116.73333333  36.26666667],1
p8,1,3.1e-05,17.375566,[62 55] ; [118  35],[78. 39.] ; [102.  51.],1
p5,1,0.011241,6.426849,[15 98] ; [ 40 114],[23.27715356 89.72284644] ; [ 31.72284644 122.27715356],0
v1,1,0.016353,5.764476,[63 48] ; [108  44],[72.17110266 38.82889734] ; [98.82889734 53.17110266],0
n6,1,0.029178,4.757102,[98 18] ; [142  11],[103.49442379  12.50557621] ; [136.50557621  16.49442379],0
a6,1,0.036326,4.381732,[87 30] ; [96 58],[79.00738007 37.99261993] ; [103.99261993  50.00738007],0
a1,1,0.042024,4.134228,[  3 114] ; [ 13 141],[  6.90774908 110.09225092] ; [  9.09225092 144.90774908],0
n4,1,0.043366,4.08106,[92 24] ; [136  18],[97.95555556 18.04444444] ; [130.04444444  23.95555556],0
d4,1,0.050683,3.818705,[95 22] ; [137  16],[100.53333333  16.46666667] ; [131.46666667  21.53333333],0
s5,1,0.082581,3.01336,[45 68] ; [73 71],[51.88326848 61.11673152] ; [66.11673152 77.88326848],0
p12,1,0.100722,2.694067,[ 11 106] ; [ 25 129],[ 15.54243542 101.45756458] ; [ 20.45756458 133.54243542],0
p3,1,0.13506,2.233357,[76 41] ; [113  41],[81.59778598 35.40221402] ; [107.40221402  46.59778598],0
a4,1,0.14171,2.15929,[51 66] ; [81 73],[56.98892989 60.01107011] ; [75.01107011 78.98892989],0
s6,1,0.1562,2.010638,[95 21] ; [133  18],[99.05617978 16.94382022] ; [128.94382022  22.05617978],0
p1,1,0.157159,2.001354,[  9 108] ; [ 20 133],[ 12.56666667 104.43333333] ; [ 16.43333333 136.56666667],0
s4,1,0.176715,1.825038,[19 98] ; [ 35 118],[23.4 93.6] ; [ 30.6 122.4],0
s3,1,0.177179,1.821128,[88 24] ; [109  44],[83.26037736 28.73962264] ; [113.73962264  39.26037736],0
d5,1,0.204938,1.606827,[96 21] ; [134  19],[99.66666667 17.33333333] ; [130.33333333  22.66666667],0
b1,1,0.205759,1.601018,[42 75] ; [67 87],[47.05904059 69.94095941] ; [61.94095941 92.05904059],0
d3,1,0.225374,1.469823,[82 35] ; [118  36],[86.34686347 30.65313653] ; [113.65313653  40.34686347],0
a8,1,0.227368,1.457248,[14 89] ; [ 28 116],[17.51417004 85.48582996] ; [ 24.48582996 119.51417004],0
b3,1,0.237968,1.39259,[34 52] ; [50 54],[38.02105263 47.97894737] ; [45.97894737 58.02105263],0
b2,1,0.237968,1.39259,[34 52] ; [50 54],[38.02105263 47.97894737] ; [45.97894737 58.02105263],0
p9,1,0.249773,1.324571,[104  11] ; [145   9],[106.44981413   8.55018587] ; [142.55018587  11.44981413],0
a3,1,0.253429,1.304303,[97 20] ; [119  35],[93.25461255 23.74538745] ; [122.74538745  31.25461255],0
a2,1,0.280352,1.165385,[39 78] ; [ 42 112],[34.9704797 82.0295203] ; [ 46.0295203 107.9704797],0
a5,1,0.28051,1.164619,[92 25] ; [129  25],[95.41328413 21.58671587] ; [125.58671587  28.41328413],0
n2,1,0.287228,1.132567,[21  7] ; [16 10],[19.18518519  8.81481481] ; [17.81481481  8.18518519],0
p2,1,0.337325,0.920569,[103  14] ; [141  13],[105.34317343  11.65682657] ; [138.65682657  15.34317343],0
u1,1,0.342172,0.902278,[26 91] ; [ 42 112],[29.35793358 87.64206642] ; [ 38.64206642 115.35793358],0
u3,1,0.355883,0.85237,[15  5] ; [22 13],[13.45454545  6.54545455] ; [23.54545455 11.45454545],0
p11,1,0.380317,0.769678,[94 23] ; [130  24],[96.70848708 20.29151292] ; [127.29151292  26.70848708],0
r4,1,0.388058,0.745018,[107  10] ; [145   9],[108.79704797   8.20295203] ; [143.20295203  10.79704797],0
