Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000986,10.854448,[92  6] ; [7 4],[89.00917431  8.99082569] ; [9.99082569 1.00917431],1
r1,1,0.002406,9.210693,[80 22] ; [4 7],[75.82300885 26.17699115] ; [8.17699115 2.82300885],0
n5,1,0.08917,2.889286,[72 30] ; [5 6],[69.50442478 32.49557522] ; [7.49557522 3.50442478],0
s8,1,0.118465,2.437502,[62 40] ; [4 7],[59.57522124 42.42477876] ; [6.42477876 4.57522124],0
v3,1,0.132051,2.268227,[31 70] ; [ 1 10],[28.85714286 72.14285714] ; [3.14285714 7.85714286],0
b5,1,0.208827,1.579539,[64 38] ; [9 2],[65.89380531 36.10619469] ; [7.10619469 3.89380531],0
p11,1,0.21216,1.556626,[74 28] ; [6 5],[72.21238938 29.78761062] ; [7.78761062 3.21238938],0
p6,1,0.214831,1.538567,[44 56] ; [7 4],[45.94594595 54.05405405] ; [5.05405405 5.94594595],0
d3,1,0.229271,1.445379,[74 28] ; [9 1],[75.58928571 26.41071429] ; [7.41071429 2.58928571],0
a3,1,0.242177,1.367875,[73 29] ; [6 5],[71.30973451 30.69026549] ; [7.69026549 3.30973451],0
u1,1,0.268011,1.2269,[22 80] ; [4 7],[23.46902655 78.53097345] ; [2.53097345 8.46902655],0
n2,1,0.276271,1.185345,[22  7] ; [2 2],[21.09090909  7.90909091] ; [2.90909091 1.09090909],0
n3,1,0.276271,1.185345,[22  7] ; [2 2],[21.09090909  7.90909091] ; [2.90909091 1.09090909],0
a1,1,0.294319,1.099758,[ 3 99] ; [ 1 10],[ 3.61061947 98.38938053] ; [ 0.38938053 10.61061947],0
d4,1,0.381217,0.766773,[85 17] ; [8 3],[83.94690265 18.05309735] ; [9.05309735 1.94690265],0
n4,1,0.421742,0.645457,[68 34] ; [6 5],[66.79646018 35.20353982] ; [7.20353982 3.79646018],0
n6,1,0.424056,0.639048,[82 19] ; [10  1],[82.96428571 18.03571429] ; [9.03571429 1.96428571],0
r2,1,0.433957,0.612209,[97  4] ; [10  1],[96.49107143  4.50892857] ; [10.50892857  0.49107143],0
p10,1,0.456516,0.554423,[82 18] ; [10  1],[82.88288288 17.11711712] ; [9.11711712 1.88288288],0
v2,1,0.464885,0.534109,[47 51] ; [4 7],[45.85321101 52.14678899] ; [5.14678899 5.85321101],0
d1,1,0.474723,0.510961,[63 39] ; [8 3],[64.08849558 37.91150442] ; [6.91150442 4.08849558],0
p2,1,0.491459,0.473331,[83 19] ; [8 3],[82.14159292 19.85840708] ; [8.85840708 2.14159292],0
u2,1,0.530172,0.394061,[16 13] ; [2 3],[15.35294118 13.64705882] ; [2.64705882 2.35294118],0
u3,1,0.573687,0.316552,[21  8] ; [3 2],[20.47058824  8.52941176] ; [3.52941176 1.47058824],0
a6,1,0.638626,0.220544,[67 35] ; [8 3],[67.69911504 34.30088496] ; [7.30088496 3.69911504],0
s7,1,0.658869,0.194901,[74 23] ; [7 3],[73.42990654 23.57009346] ; [7.57009346 2.42990654],0
d2,1,0.681677,0.168244,[53 49] ; [5 6],[52.3539823 49.6460177] ; [5.6460177 5.3539823],0
s5,1,0.685501,0.163999,[56 36] ; [6 5],[55.37864078 36.62135922] ; [6.62135922 4.37864078],0
p4,1,0.687988,0.161272,[62 40] ; [6 5],[61.38053097 40.61946903] ; [6.61946903 4.38053097],0
r3,1,0.68894,0.160235,[94  6] ; [10  1],[93.69369369  6.30630631] ; [10.30630631  0.69369369],0
b2,1,0.721448,0.127109,[12 40] ; [1 5],[11.65517241 40.34482759] ; [1.34482759 4.65517241],0
b3,1,0.721448,0.127109,[12 40] ; [1 5],[11.65517241 40.34482759] ; [1.34482759 4.65517241],0
a2,1,0.723602,0.125068,[23 79] ; [3 8],[23.46902655 78.53097345] ; [2.53097345 8.46902655],0
r4,1,0.726715,0.122149,[89 13] ; [10  1],[89.36283186 12.63716814] ; [9.63716814 1.36283186],0
p9,1,0.767726,0.087232,[87 12] ; [10  1],[87.3 11.7] ; [9.7 1.3],0
p3,1,0.774517,0.082066,[51 51] ; [6 5],[51.45132743 50.54867257] ; [5.54867257 5.45132743],0
a4,1,0.774517,0.082066,[51 51] ; [6 5],[51.45132743 50.54867257] ; [5.54867257 5.45132743],0
a5,1,0.779941,0.078062,[70 32] ; [8 3],[70.40707965 31.59292035] ; [7.59292035 3.40707965],0
s1,1,0.79164,0.069792,[ 7 94] ; [ 1 10],[ 7.21428571 93.78571429] ; [ 0.78571429 10.21428571],0
v1,1,0.798584,0.065117,[50 51] ; [5 6],[49.59821429 51.40178571] ; [5.40178571 5.59821429],0
b1,1,0.805149,0.060856,[41 61] ; [4 7],[40.61946903 61.38053097] ; [4.38053097 6.61946903],0
p8,1,0.848668,0.036412,[51 48] ; [6 5],[51.3 47.7] ; [5.7 5.3],0
b4,1,0.882862,0.02171,[58 44] ; [6 5],[57.7699115 44.2300885] ; [6.2300885 4.7699115],0
n1,1,0.913303,0.011853,[ 8 21] ; [1 3],[ 7.90909091 21.09090909] ; [1.09090909 2.90909091],0
p7,1,0.93118,0.007458,[63 34] ; [7 4],[62.87037037 34.12962963] ; [7.12962963 3.87037037],0
a7,1,0.968939,0.001516,[72 30] ; [7 3],[71.94642857 30.05357143] ; [7.05357143 2.94642857],0
p5,1,0.976334,0.00088,[ 9 93] ; [ 1 10],[ 9.02654867 92.97345133] ; [ 0.97345133 10.02654867],0
p1,1,0.976334,0.00088,[ 9 93] ; [ 1 10],[ 9.02654867 92.97345133] ; [ 0.97345133 10.02654867],0
