Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,50.377512,[ 28 135] ; [90 74],[ 58.81957187 104.18042813] ; [ 59.18042813 104.81957187],1
v1,1,0.0,33.135837,[ 57 104] ; [111  54],[82.96932515 78.03067485] ; [85.03067485 79.96932515],1
p10,1,0.0,28.962931,[104  57] ; [147  17],[124.34153846  36.65846154] ; [126.65846154  37.34153846],1
p11,1,4e-06,21.256741,[106  57] ; [144  22],[123.86018237  39.13981763] ; [126.13981763  39.86018237],1
p3,1,4e-06,21.254636,[ 55 107] ; [98 67],[75.79816514 86.20183486] ; [77.20183486 87.79816514],1
p7,1,1.2e-05,19.113757,[76 84] ; [117  47],[95.30864198 64.69135802] ; [97.69135802 66.30864198],1
r1,1,2.6e-05,17.697256,[100  62] ; [137  29],[117.05487805  44.94512195] ; [119.94512195  46.05487805],1
r4,1,3.7e-05,17.037428,[120  43] ; [151  15],[134.26443769  28.73556231] ; [136.73556231  29.26443769],1
r3,1,3.9e-05,16.91397,[130  32] ; [157   8],[142.18348624  19.81651376] ; [144.81651376  20.18348624],1
p4,1,6.3e-05,16.000144,[72 90] ; [109  55],[89.94478528 72.05521472] ; [91.05521472 72.94478528],1
v4,1,0.000397,12.548217,[137  26] ; [159   7],[146.65045593  16.34954407] ; [149.34954407  16.65045593],1
p9,1,0.000784,11.278322,[115  44] ; [144  21],[127.10185185  31.89814815] ; [131.89814815  33.10185185],1
p2,1,0.000989,10.847448,[112  49] ; [140  25],[124.45398773  36.54601227] ; [127.54601227  37.45398773],1
a7,1,0.00189,9.653508,[94 69] ; [122  43],[107.34146341  55.65853659] ; [108.65853659  56.34146341],0
d3,1,0.003809,8.372465,[86 76] ; [114  52],[98.7804878 63.2195122] ; [101.2195122  64.7804878],0
d5,1,0.004375,8.121036,[115  48] ; [139  27],[125.84194529  37.15805471] ; [128.15805471  37.84194529],0
d4,1,0.004688,7.996174,[109  54] ; [133  32],[120.26219512  42.73780488] ; [121.73780488  43.26219512],0
p8,1,0.012035,6.305636,[70 90] ; [93 68],[81.24610592 78.75389408] ; [81.75389408 79.24610592],0
d1,1,0.023878,5.103455,[72 91] ; [94 72],[82.24316109 80.75683891] ; [83.75683891 82.24316109],0
p6,1,0.032173,4.589265,[ 40 121] ; [ 59 106],[ 48.89263804 112.10736196] ; [ 50.10736196 114.89263804],0
a3,1,0.035138,4.438471,[96 64] ; [118  48],[105.03067485  54.96932515] ; [108.96932515  57.03067485],0
n6,1,0.04577,3.990049,[133  29] ; [149  17],[139.2804878  22.7195122] ; [142.7195122  23.2804878],0
n1,1,0.058313,3.584732,[27 24] ; [ 9 20],[22.95 28.05] ; [13.05 15.95],0
u3,1,0.064223,3.424837,[26 41] ; [27 21],[30.87826087 36.12173913] ; [22.12173913 25.87826087],0
n3,1,0.092655,2.827636,[31 19] ; [24  6],[34.375 15.625] ; [20.625  9.375],0
a2,1,0.097819,2.740751,[ 29 134] ; [ 42 124],[ 35.17629179 127.82370821] ; [ 35.82370821 130.17629179],0
s6,1,0.114127,2.496122,[68 90] ; [86 80],[75.09876543 82.90123457] ; [78.90123457 87.09876543],0
s3,1,0.127057,2.328102,[ 44 118] ; [ 33 132],[ 38.14678899 123.85321101] ; [ 38.85321101 126.14678899],0
n2,1,0.130529,2.286199,[34 19] ; [24  6],[37.03614458 15.96385542] ; [20.96385542  9.03614458],0
u1,1,0.135307,2.23054,[ 19 144] ; [ 29 137],[ 23.78115502 139.21884498] ; [ 24.21884498 141.78115502],0
u2,1,0.140988,2.167147,[27 40] ; [25 21],[30.83185841 36.16814159] ; [21.16814159 24.83185841],0
a5,1,0.144816,2.126021,[112  51] ; [126  40],[117.91489362  45.08510638] ; [120.08510638  45.91489362],0
p1,1,0.157736,1.995799,[ 18 145] ; [ 11 155],[ 14.36778116 148.63221884] ; [ 14.63221884 151.36778116],0
b1,1,0.168543,1.895855,[69 94] ; [ 58 108],[ 62.92097264 100.07902736] ; [ 64.07902736 101.92097264],0
n4,1,0.187554,1.736727,[135  28] ; [146  20],[139.21884498  23.78115502] ; [141.78115502  24.21884498],0
r2,1,0.192162,1.700966,[142  20] ; [150  13],[145.55076923  16.44923077] ; [146.44923077  16.55076923],0
s8,1,0.193239,1.692746,[ 36 126] ; [ 47 118],[ 41.11926606 120.88073394] ; [ 41.88073394 123.11926606],0
s5,1,0.19871,1.651831,[ 27 133] ; [ 37 127],[ 31.60493827 128.39506173] ; [ 32.39506173 131.60493827],0
s7,1,0.213861,1.545096,[ 39 118] ; [ 48 106],[ 43.91961415 113.08038585] ; [ 43.08038585 110.91961415],0
s1,1,0.241581,1.371346,[  5 156] ; [  2 162],[  3.46769231 157.53230769] ; [  3.53230769 160.46769231],0
