Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,79.278941,[ 18 102] ; [101  44],[53.88679245 66.11320755] ; [65.11320755 79.88679245],1
d4,1,0.0,78.383274,[66 54] ; [144   1],[95.09433962 24.90566038] ; [114.90566038  30.09433962],1
d5,1,0.0,73.814672,[66 53] ; [143   2],[94.20833333 24.79166667] ; [114.79166667  30.20833333],1
d3,1,0.0,66.001184,[46 72] ; [126  19],[77.17110266 40.82889734] ; [94.82889734 50.17110266],1
a5,1,0.0,52.900558,[54 66] ; [126  19],[81.50943396 38.49056604] ; [98.49056604 46.50943396],1
a2,1,0.0,31.962308,[  6 114] ; [48 97],[24.45283019 95.54716981] ; [ 29.54716981 115.45283019],1
a3,1,0.0,31.224918,[53 66] ; [113  32],[74.82575758 44.17424242] ; [91.17424242 53.82575758],1
a4,1,0.0,27.49398,[27 92] ; [79 66],[47.78030303 71.21969697] ; [58.21969697 86.78030303],1
u1,1,5e-06,20.92553,[  3 117] ; [ 31 114],[ 15.39622642 104.60377358] ; [ 18.60377358 126.39622642],1
a6,1,1.3e-05,19.037964,[63 57] ; [113  32],[79.69811321 40.30188679] ; [96.30188679 48.69811321],1
r4,1,2.6e-05,17.717863,[95 25] ; [139   6],[105.96226415  14.03773585] ; [128.03773585  16.96226415],1
p10,1,0.000158,14.278835,[78 41] ; [123  21],[90.94676806 28.05323194] ; [110.05323194  33.94676806],1
r1,1,0.000178,14.051044,[78 41] ; [122  21],[90.83969466 28.16030534] ; [109.16030534  33.83969466],1
n4,1,0.000358,12.741089,[72 48] ; [116  29],[85.13207547 34.86792453] ; [102.86792453  42.13207547],1
p9,1,0.00071,11.462462,[83 36] ; [125  19],[94.11406844 24.88593156] ; [113.88593156  30.11406844],1
b3,1,0.000917,10.988827,[12 60] ; [33 47],[21.31578947 50.68421053] ; [23.68421053 56.31578947],1
b2,1,0.000917,10.988827,[12 60] ; [33 47],[21.31578947 50.68421053] ; [23.68421053 56.31578947],1
r2,1,0.001053,10.731902,[101  18] ; [136   5],[108.47307692  10.52692308] ; [128.52692308  12.47307692],0
s8,1,0.001306,10.33393,[ 15 104] ; [ 42 103],[25.69318182 93.30681818] ; [ 31.30681818 113.69318182],0
p11,1,0.002212,9.36453,[84 36] ; [124  21],[94.18867925 25.81132075] ; [113.81132075  31.18867925],0
p8,1,0.002982,8.81856,[65 54] ; [102  39],[76.43461538 42.56538462] ; [90.56538462 50.43461538],0
p2,1,0.006132,7.511101,[97 23] ; [131  11],[104.42748092  15.57251908] ; [123.57251908  18.42748092],0
p4,1,0.007571,7.132157,[62 58] ; [97 46],[72.54752852 47.45247148] ; [86.45247148 56.54752852],0
v4,1,0.013614,6.087487,[107  12] ; [140   4],[111.76045627   7.23954373] ; [135.23954373   8.76045627],0
v1,1,0.014882,5.930392,[50 64] ; [84 58],[59.671875 54.328125] ; [74.328125 67.671875],0
r3,1,0.025561,4.985489,[109  11] ; [140   4],[113.18181818   6.81818182] ; [135.81818182   8.18181818],0
a7,1,0.031542,4.623209,[77 41] ; [112  33],[84.79847909 33.20152091] ; [104.20152091  40.79847909],0
v2,1,0.03447,4.471232,[54 62] ; [82 55],[62.35573123 53.64426877] ; [73.64426877 63.35573123],0
v3,1,0.039221,4.251266,[30 89] ; [51 86],[37.65234375 81.34765625] ; [43.34765625 93.65234375],0
n6,1,0.044096,4.052871,[90 29] ; [123  21],[96.37642586 22.62357414] ; [116.62357414  27.37642586],0
n5,1,0.066724,3.36182,[76 44] ; [107  38],[82.86792453 37.13207547] ; [100.13207547  44.86792453],0
s5,1,0.074853,3.173258,[23 95] ; [ 41 100],[29.15830116 88.84169884] ; [ 34.84169884 106.15830116],0
b1,1,0.095782,2.774411,[56 64] ; [53 92],[49.35849057 70.64150943] ; [59.64150943 85.35849057],0
a1,1,0.109436,2.562354,[  7 113] ; [  3 142],[  4.52830189 115.47169811] ; [  5.47169811 139.52830189],0
b4,1,0.11192,2.526901,[62 58] ; [89 56],[68.37735849 51.62264151] ; [82.62264151 62.37735849],0
s3,1,0.15277,2.04437,[53 65] ; [51 90],[47.38223938 70.61776062] ; [56.61776062 84.38223938],0
u2,1,0.221353,1.49558,[27 38] ; [17 14],[29.79166667 35.20833333] ; [14.20833333 16.79166667],0
u3,1,0.221846,1.492387,[28 37] ; [18 14],[30.82474227 34.17525773] ; [15.17525773 16.82474227],0
n2,1,0.25727,1.283388,[23  7] ; [15  9],[21.11111111  8.88888889] ; [16.88888889  7.11111111],0
p6,1,0.280343,1.165425,[42 77] ; [59 82],[46.22692308 72.77307692] ; [54.77307692 86.22692308],0
n1,1,0.498996,0.457071,[ 9 21] ; [ 5 18],[ 7.9245283 22.0754717] ; [ 6.0754717 16.9245283],0
a8,1,0.526206,0.401713,[ 12 101] ; [ 17 111],[13.59751037 99.40248963] ; [ 15.40248963 112.59751037],0
s1,1,0.534009,0.386757,[  4 115] ; [  3 139],[  3.19157088 115.80842912] ; [  3.80842912 138.19157088],0
s2,1,0.597646,0.278561,[38 82] ; [ 41 102],[36.04562738 83.95437262] ; [ 42.95437262 100.04562738],0
p3,1,0.636931,0.222778,[59 61] ; [75 69],[60.90909091 59.09090909] ; [73.09090909 70.90909091],0
p1,1,0.674671,0.176187,[  9 110] ; [  9 135],[  8.14448669 110.85551331] ; [  9.85551331 134.14448669],0
p5,1,0.681628,0.168299,[  9 110] ; [ 13 132],[  9.91666667 109.08333333] ; [ 12.08333333 132.91666667],0
s6,1,0.685094,0.164448,[63 53] ; [73 68],[61.38521401 54.61478599] ; [74.61478599 66.38521401],0
n3,1,0.695299,0.153409,[25  5] ; [19  5],[24.44444444  5.55555556] ; [19.55555556  4.44444444],0
s4,1,0.717962,0.130454,[ 16 102] ; [ 17 124],[ 15.03474903 102.96525097] ; [ 17.96525097 123.03474903],0
p12,1,0.755577,0.096904,[  6 114] ; [  6 137],[  5.47528517 114.52471483] ; [  6.52471483 136.47528517],0
b5,1,0.782917,0.075911,[75 45] ; [93 52],[76.0754717 43.9245283] ; [91.9245283 53.0754717],0
