Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.034035,4.492965,[ 1 41] ; [1 3],[ 1.82608696 40.17391304] ; [0.17391304 3.82608696],0
v2,1,0.046989,3.945782,[11 30] ; [3 1],[12.75555556 28.24444444] ; [1.24444444 2.75555556],0
p7,1,0.058392,3.582488,[12 30] ; [3 1],[13.69565217 28.30434783] ; [1.30434783 2.69565217],0
d4,1,0.058392,3.582488,[30 12] ; [1 3],[28.30434783 13.69565217] ; [2.69565217 1.30434783],0
s8,1,0.071752,3.242481,[ 6 36] ; [2 2],[ 7.30434783 34.69565217] ; [0.69565217 3.30434783],0
r4,1,0.071752,3.242481,[ 6 36] ; [2 2],[ 7.30434783 34.69565217] ; [0.69565217 3.30434783],0
p4,1,0.099009,2.721433,[14 28] ; [3 1],[15.52173913 26.47826087] ; [1.47826087 2.52173913],0
a6,1,0.152036,2.051703,[16 26] ; [3 1],[17.34782609 24.65217391] ; [1.65217391 2.34782609],0
a4,1,0.200519,1.63859,[ 9 33] ; [2 2],[10.04347826 31.95652174] ; [0.95652174 3.04347826],0
b1,1,0.254863,1.296447,[23 19] ; [1 3],[21.91304348 20.08695652] ; [2.08695652 1.91304348],0
a7,1,0.254863,1.296447,[19 23] ; [3 1],[20.08695652 21.91304348] ; [1.91304348 2.08695652],0
a3,1,0.273746,1.197882,[22 19] ; [1 3],[20.95555556 20.04444444] ; [2.04444444 1.95555556],0
v1,1,0.312234,1.021201,[11 31] ; [2 2],[11.86956522 30.13043478] ; [1.13043478 2.86956522],0
v4,1,0.338851,0.914773,[21 21] ; [3 1],[21.91304348 20.08695652] ; [2.08695652 1.91304348],0
p11,1,0.338851,0.914773,[21 21] ; [3 1],[21.91304348 20.08695652] ; [2.08695652 1.91304348],0
d3,1,0.385494,0.753107,[20 22] ; [1 3],[19.17391304 22.82608696] ; [1.82608696 2.17391304],0
p9,1,0.388861,0.7425,[21 19] ; [3 1],[21.81818182 18.18181818] ; [2.18181818 1.81818182],0
r1,1,0.437447,0.60297,[13 29] ; [2 2],[13.69565217 28.30434783] ; [1.30434783 2.69565217],0
a8,1,0.503178,0.448227,[ 5 34] ; [1 3],[ 5.44186047 33.55813953] ; [0.55813953 3.44186047],0
r3,1,0.521166,0.411585,[24 17] ; [3 1],[24.6 16.4] ; [2.4 1.6],0
n6,1,0.521166,0.411585,[24 17] ; [3 1],[24.6 16.4] ; [2.4 1.6],0
s5,1,0.568642,0.324961,[ 6 36] ; [1 3],[ 6.39130435 35.60869565] ; [0.60869565 3.39130435],0
s7,1,0.620788,0.244761,[ 8 30] ; [1 2],[ 8.34146341 29.65853659] ; [0.65853659 2.34146341],0
s6,1,0.641098,0.217309,[16 26] ; [2 2],[16.43478261 25.56521739] ; [1.56521739 2.43478261],0
b4,1,0.667262,0.184821,[27 15] ; [3 1],[27.39130435 14.60869565] ; [2.60869565 1.39130435],0
v3,1,0.674368,0.176535,[ 7 35] ; [1 3],[ 7.30434783 34.69565217] ; [0.69565217 3.30434783],0
a5,1,0.711647,0.136638,[17 25] ; [2 2],[17.34782609 24.65217391] ; [1.65217391 2.34782609],0
u3,1,0.759209,0.093954,[ 5 15] ; [1 2],[ 5.2173913 14.7826087] ; [0.7826087 2.2173913],0
p3,1,0.774304,0.082225,[ 8 34] ; [1 3],[ 8.2173913 33.7826087] ; [0.7826087 3.2173913],0
d2,1,0.879517,0.022977,[12 30] ; [1 3],[11.86956522 30.13043478] ; [1.13043478 2.86956522],0
p10,1,0.888662,0.019599,[19 22] ; [2 2],[19.13333333 21.86666667] ; [1.86666667 2.13333333],0
b3,1,0.894349,0.017637,[ 8 19] ; [1 2],[ 8.1 18.9] ; [0.9 2.1],0
b2,1,0.894349,0.017637,[ 8 19] ; [1 2],[ 8.1 18.9] ; [0.9 2.1],0
n3,1,0.943494,0.005024,[10  9] ; [1 1],[9.95238095 9.04761905] ; [1.04761905 0.95238095],0
