Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.6e-05,18.641304,[36  6] ; [10 18],[27.6 14.4] ; [18.4  9.6],1
p3,1,0.000208,13.75501,[27 16] ; [ 6 25],[19.17567568 23.82432432] ; [13.82432432 17.17567568],1
p6,1,0.010509,6.546571,[20 23] ; [ 5 24],[14.93055556 28.06944444] ; [10.06944444 18.93055556],0
b2,1,0.018981,5.503274,[ 9 19] ; [11  5],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
b3,1,0.018981,5.503274,[ 9 19] ; [11  5],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
p8,1,0.030572,4.676824,[26 17] ; [10 19],[21.5 21.5] ; [14.5 14.5],0
n6,1,0.054916,3.684632,[32 10] ; [17 14],[28.19178082 13.80821918] ; [20.80821918 10.19178082],0
a5,1,0.112115,2.524157,[30 13] ; [16 15],[26.72972973 16.27027027] ; [19.27027027 11.72972973],0
a7,1,0.121892,2.39284,[31 12] ; [27  4],[33.7027027  9.2972973] ; [24.2972973  6.7027027],0
a2,1,0.121892,2.39284,[12 31] ; [ 4 27],[ 9.2972973 33.7027027] ; [ 6.7027027 24.2972973],0
u1,1,0.131355,2.276416,[ 8 35] ; [ 2 29],[ 5.81081081 37.18918919] ; [ 4.18918919 26.81081081],0
a4,1,0.153501,2.03711,[18 25] ; [ 8 23],[15.10810811 27.89189189] ; [10.89189189 20.10810811],0
a8,1,0.165605,1.922283,[ 5 34] ; [ 1 29],[ 3.39130435 35.60869565] ; [ 2.60869565 27.39130435],0
d2,1,0.180653,1.792241,[22 21] ; [11 20],[19.17567568 23.82432432] ; [13.82432432 17.17567568],0
s2,1,0.184788,1.758687,[24 19] ; [22  9],[26.72972973 16.27027027] ; [19.27027027 11.72972973],0
n5,1,0.187325,1.73853,[20 22] ; [10 21],[17.26027397 24.73972603] ; [12.73972603 18.26027397],0
b4,1,0.188106,1.732392,[30 13] ; [17 14],[27.31081081 15.68918919] ; [19.68918919 11.31081081],0
d3,1,0.228629,1.449371,[32 11] ; [19 12],[29.63513514 13.36486486] ; [21.36486486  9.63513514],0
a3,1,0.249661,1.325201,[33 10] ; [20 11],[30.7972973 12.2027027] ; [22.2027027  8.7972973],0
u2,1,0.263552,1.25,[9 1] ; [7 3],[8. 2.] ; [8. 2.],0
p1,1,0.289535,1.121783,[ 6 36] ; [ 2 29],[ 4.60273973 37.39726027] ; [ 3.39726027 27.60273973],0
p2,1,0.292757,1.106897,[35  8] ; [22  9],[33.12162162  9.87837838] ; [23.87837838  7.12162162],0
p11,1,0.327368,0.95928,[31 12] ; [19 12],[29.05405405 13.94594595] ; [20.94594595 10.05405405],0
s3,1,0.350443,0.871853,[26 17] ; [22  9],[27.89189189 15.10810811] ; [20.10810811 10.89189189],0
r4,1,0.370649,0.801486,[34  9] ; [27  4],[35.44594595  7.55405405] ; [25.55405405  5.44594595],0
v4,1,0.39007,0.738725,[40  3] ; [27  4],[38.93243243  4.06756757] ; [28.06756757  2.93243243],0
d5,1,0.397547,0.715733,[31 12] ; [25  6],[32.54054054 10.45945946] ; [23.45945946  7.54054054],0
s6,1,0.451806,0.566116,[33 10] ; [26  5],[34.28378378  8.71621622] ; [24.71621622  6.28378378],0
r3,1,0.478751,0.501708,[38  5] ; [28  2],[38.87671233  4.12328767] ; [27.12328767  2.87671233],0
s8,1,0.521155,0.411608,[26 17] ; [21 10],[27.31081081 15.68918919] ; [19.68918919 11.31081081],0
u3,1,0.525392,0.403295,[7 3] ; [9 2],[7.61904762 2.38095238] ; [8.38095238 2.61904762],0
b5,1,0.577338,0.310558,[25 18] ; [16 15],[23.82432432 19.17567568] ; [17.17567568 13.82432432],0
b1,1,0.637573,0.221931,[19 24] ; [12 19],[18.01351351 24.98648649] ; [12.98648649 18.01351351],0
r2,1,0.657581,0.196476,[39  4] ; [29  2],[39.51351351  3.48648649] ; [28.48648649  2.51351351],0
a6,1,0.659802,0.193765,[27 16] ; [21 10],[27.89189189 15.10810811] ; [20.10810811 10.89189189],0
s4,1,0.681146,0.168839,[16 27] ; [13 18],[16.85135135 26.14864865] ; [12.14864865 18.85135135],0
p10,1,0.682652,0.167156,[36  7] ; [24  6],[35.34246575  7.65753425] ; [24.65753425  5.34246575],0
d1,1,0.754671,0.097647,[21 22] ; [14 17],[20.33783784 22.66216216] ; [14.66216216 16.33783784],0
u4,1,0.813732,0.055514,[ 1 42] ; [ 1 30],[ 1.16216216 41.83783784] ; [ 0.83783784 30.16216216],0
v1,1,0.835165,0.043298,[22 20] ; [17 14],[22.43835616 19.56164384] ; [16.56164384 14.43835616],0
v3,1,0.850693,0.035432,[12 28] ; [ 9 19],[12.35294118 27.64705882] ; [ 8.64705882 19.35294118],0
d4,1,0.864887,0.028953,[34  9] ; [24  7],[33.7027027  9.2972973] ; [24.2972973  6.7027027],0
s5,1,0.874802,0.024826,[17 24] ; [13 17],[17.32394366 23.67605634] ; [12.67605634 17.32394366],0
p9,1,0.882739,0.021755,[35  8] ; [24  5],[35.23611111  7.76388889] ; [23.76388889  5.23611111],0
v2,1,0.906357,0.013838,[22 20] ; [14 12],[22.23529412 19.76470588] ; [13.76470588 12.23529412],0
r1,1,0.911254,0.012423,[30 13] ; [22  9],[30.21621622 12.78378378] ; [21.78378378  9.21621622],0
n1,1,0.912219,0.012153,[7 9] ; [5 7],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
