Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-05,18.144135,[344  40] ; [41 18],[333.72460497  50.27539503] ; [51.27539503  7.72460497],1
r1,1,0.000123,14.743966,[332  59] ; [38 21],[321.48888889  69.51111111] ; [48.51111111 10.48888889],1
s7,1,0.000869,11.087035,[274 105] ; [27 27],[263.46189376 115.53810624] ; [37.53810624 16.46189376],1
p11,1,0.001216,10.465914,[314  79] ; [36 23],[304.31415929  88.68584071] ; [45.68584071 13.31415929],0
n1,1,0.005454,7.722463,[36 41] ; [ 2 16],[30.8 46.2] ; [ 7.2 10.8],0
p9,1,0.009891,6.654503,[347  41] ; [45 13],[341.02242152  46.97757848] ; [50.97757848  7.02242152],0
s8,1,0.013555,6.095131,[251 140] ; [28 31],[242.42 148.58] ; [36.58 22.42],0
p12,1,0.015973,5.805836,[ 48 342] ; [ 1 57],[ 42.65625 347.34375] ; [ 6.34375 51.65625],0
n3,1,0.028336,4.807483,[60 19] ; [9 9],[56.19587629 22.80412371] ; [12.80412371  5.19587629],0
r2,1,0.029005,4.767343,[379  11] ; [54  5],[376.10244989  13.89755011] ; [56.89755011  2.10244989],0
s5,1,0.03359,4.515456,[184 188] ; [20 38],[176.48372093 195.51627907] ; [27.51627907 30.48372093],0
r4,1,0.059351,3.555416,[367  26] ; [51  8],[363.4380531  29.5619469] ; [54.5619469  4.4380531],0
n4,1,0.12273,2.382132,[307  84] ; [41 18],[302.37333333  88.62666667] ; [45.62666667 13.37333333],0
a3,1,0.12321,2.376038,[296  96] ; [39 20],[291.1751663 100.8248337] ; [43.8248337 15.1751663],0
n5,1,0.127804,2.318979,[305  86] ; [40 18],[300.43429844  90.56570156] ; [44.56570156 13.43429844],0
a1,1,0.174373,1.844938,[ 22 371] ; [ 6 53],[ 24.34513274 368.65486726] ; [ 3.65486726 55.34513274],0
n2,1,0.192029,1.701978,[63 15] ; [12  6],[60.9375 17.0625] ; [14.0625  3.9375],0
p6,1,0.221802,1.492676,[161 227] ; [29 29],[165.29147982 222.70852018] ; [24.70852018 33.29147982],0
d1,1,0.261812,1.259149,[256 137] ; [34 25],[252.1460177 140.8539823] ; [37.8539823 21.1460177],0
p1,1,0.266505,1.234649,[ 37 352] ; [ 3 56],[ 34.73214286 354.26785714] ; [ 5.26785714 53.73214286],0
s4,1,0.269612,1.218718,[ 94 295] ; [10 47],[ 90.70852018 298.29147982] ; [13.29147982 43.70852018],0
p10,1,0.282362,1.155688,[335  53] ; [47 11],[332.32286996  55.67713004] ; [49.67713004  8.32286996],0
p4,1,0.296469,1.090012,[256 134] ; [34 24],[252.45535714 137.54464286] ; [37.54464286 20.45535714],0
p5,1,0.30314,1.060331,[ 52 334] ; [ 5 53],[ 49.55405405 336.44594595] ; [ 7.44594595 50.55405405],0
u2,1,0.315197,1.008772,[59 36] ; [10 10],[57. 38.] ; [12.  8.],0
a8,1,0.34185,0.903483,[ 61 304] ; [ 6 46],[ 58.64508393 306.35491607] ; [ 8.35491607 43.64508393],0
p2,1,0.38798,0.745264,[327  63] ; [46 12],[324.70982143  65.29017857] ; [48.29017857  9.70982143],0
p7,1,0.393786,0.727218,[256 122] ; [36 22],[253.1559633 124.8440367] ; [38.8440367 19.1559633],0
v4,1,0.421399,0.646412,[379  12] ; [56  3],[377.96666667  13.03333333] ; [57.03333333  1.96666667],0
p3,1,0.42768,0.629115,[210 180] ; [28 30],[207.1875 182.8125] ; [30.8125 27.1875],0
u1,1,0.483112,0.49183,[ 84 309] ; [15 44],[ 86.07743363 306.92256637] ; [12.92256637 46.07743363],0
b5,1,0.499564,0.455862,[235 158] ; [38 21],[237.36504425 155.63495575] ; [35.63495575 23.36504425],0
a2,1,0.571531,0.320127,[107 286] ; [14 45],[105.20575221 287.79424779] ; [15.79424779 43.20575221],0
d2,1,0.587009,0.29504,[207 184] ; [29 30],[205.05777778 185.94222222] ; [30.94222222 28.05777778],0
d4,1,0.646887,0.209848,[339  51] ; [50  9],[337.88418708  52.11581292] ; [51.11581292  7.88418708],0
d3,1,0.708032,0.140251,[279 112] ; [40 18],[277.79287305 113.20712695] ; [41.20712695 16.79287305],0
p8,1,0.713977,0.134337,[204 184] ; [29 29],[202.69955157 185.30044843] ; [30.30044843 27.69955157],0
a6,1,0.717193,0.131199,[254 136] ; [37 22],[252.76169265 137.23830735] ; [38.23830735 20.76169265],0
v1,1,0.742697,0.107771,[220 158] ; [33 26],[218.84210526 159.15789474] ; [34.15789474 24.84210526],0
a7,1,0.748608,0.102705,[285 107] ; [41 17],[283.98222222 108.01777778] ; [42.01777778 15.98222222],0
b4,1,0.762625,0.091225,[228 165] ; [33 26],[226.93141593 166.06858407] ; [34.06858407 24.93141593],0
b1,1,0.772413,0.083648,[161 232] ; [23 36],[159.98230088 233.01769912] ; [24.01769912 34.98230088],0
n6,1,0.817218,0.053419,[330  58] ; [50  8],[330.58295964  57.41704036] ; [49.41704036  8.58295964],0
d5,1,0.825914,0.048376,[325  65] ; [49  9],[325.58035714  64.41964286] ; [48.41964286  9.58035714],0
s1,1,0.854763,0.033505,[ 18 371] ; [ 3 55],[ 18.27516779 370.72483221] ; [ 2.72483221 55.27516779],0
b2,1,0.901012,0.015471,[ 93 150] ; [13 20],[ 93.32608696 149.67391304] ; [12.67391304 20.32608696],0
b3,1,0.901012,0.015471,[ 93 150] ; [13 20],[ 93.32608696 149.67391304] ; [12.67391304 20.32608696],0
u3,1,0.910052,0.012763,[63 32] ; [13  7],[62.7826087 32.2173913] ; [13.2173913  6.7826087],0
v3,1,0.945631,0.004651,[159 214] ; [25 33],[159.23897912 213.76102088] ; [24.76102088 33.23897912],0
v2,1,0.947832,0.004281,[219 153] ; [35 24],[219.22969838 152.77030162] ; [34.77030162 24.22969838],0
a4,1,0.956079,0.003033,[185 208] ; [28 31],[185.19690265 207.80309735] ; [27.80309735 31.19690265],0
a5,1,0.969362,0.001475,[294  99] ; [44 15],[293.88053097  99.11946903] ; [44.11946903 14.88053097],0
