Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000286,13.159821,[ 6 29] ; [11  5],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],1
s6,1,0.00042,12.442319,[12 23] ; [14  2],[17.84313725 17.15686275] ; [8.15686275 7.84313725],1
d4,1,0.008942,6.834423,[20 15] ; [15  1],[24.01960784 10.98039216] ; [10.98039216  5.01960784],0
p4,1,0.03285,4.553571,[15 20] ; [12  4],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
a7,1,0.035875,4.403051,[22 13] ; [ 5 11],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
a1,1,0.05013,3.837111,[ 1 34] ; [ 3 13],[ 2.74509804 32.25490196] ; [ 1.25490196 14.74509804],0
n3,1,0.111219,2.536813,[11  3] ; [2 3],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
p6,1,0.125202,2.351006,[ 6 28] ; [ 6 10],[ 8.16 25.84] ; [ 3.84 12.16],0
u3,1,0.142772,2.147821,[ 5 14] ; [4 3],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
p10,1,0.18901,1.725316,[22 13] ; [13  3],[24.01960784 10.98039216] ; [10.98039216  5.01960784],0
s7,1,0.195355,1.676768,[ 7 25] ; [6 9],[ 8.85106383 23.14893617] ; [ 4.14893617 10.85106383],0
s8,1,0.197743,1.658964,[ 9 26] ; [7 9],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
d1,1,0.276915,1.18217,[ 8 27] ; [ 6 10],[ 9.60784314 25.39215686] ; [ 4.39215686 11.60784314],0
v1,1,0.285992,1.138393,[10 25] ; [7 9],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
d5,1,0.286179,1.137512,[23 12] ; [8 8],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
a4,1,0.287046,1.133425,[ 9 26] ; [ 2 14],[ 7.54901961 27.45098039] ; [ 3.45098039 12.54901961],0
p3,1,0.318092,0.996776,[10 24] ; [7 9],[11.56 22.44] ; [ 5.44 10.56],0
s5,1,0.351691,0.867347,[ 5 30] ; [ 4 12],[ 6.17647059 28.82352941] ; [ 2.82352941 13.17647059],0
p7,1,0.355125,0.85506,[17 18] ; [10  6],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
b4,1,0.373934,0.790551,[20 15] ; [7 9],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
v3,1,0.379489,0.772356,[ 7 28] ; [ 5 11],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
p12,1,0.40295,0.699506,[ 2 33] ; [ 2 14],[ 2.74509804 32.25490196] ; [ 1.25490196 14.74509804],0
r4,1,0.430822,0.620608,[15 20] ; [ 5 11],[13.7254902 21.2745098] ; [6.2745098 9.7254902],0
a3,1,0.484945,0.487723,[16 19] ; [9 7],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
d3,1,0.484945,0.487723,[16 19] ; [9 7],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
a6,1,0.503454,0.447649,[14 21] ; [8 8],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
u2,1,0.529233,0.395865,[11  8] ; [5 2],[11.69230769  7.30769231] ; [4.30769231 2.69230769],0
v2,1,0.557659,0.343774,[14 20] ; [8 8],[14.96 19.04] ; [7.04 8.96],0
p11,1,0.586412,0.295982,[26  9] ; [13  3],[26.76470588  8.23529412] ; [12.23529412  3.76470588],0
n1,1,0.636982,0.222711,[ 4 10] ; [2 3],[4.42105263 9.57894737] ; [1.57894737 3.42105263],0
p2,1,0.640131,0.218571,[24 11] ; [12  4],[24.70588235 10.29411765] ; [11.29411765  4.70588235],0
p9,1,0.681041,0.168957,[26  9] ; [11  5],[25.39215686  9.60784314] ; [11.60784314  4.39215686],0
r1,1,0.682824,0.166964,[13 22] ; [ 5 11],[12.35294118 22.64705882] ; [ 5.64705882 10.35294118],0
p5,1,0.684175,0.165464,[ 5 30] ; [ 3 13],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
s4,1,0.684175,0.165464,[ 5 30] ; [ 3 13],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
a8,1,0.706523,0.141774,[ 6 28] ; [ 2 13],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
n4,1,0.718326,0.130102,[20 15] ; [10  6],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
n5,1,0.718326,0.130102,[20 15] ; [10  6],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
b1,1,0.748903,0.102455,[18 17] ; [9 7],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
s1,1,0.774783,0.081867,[ 3 32] ; [ 1 15],[ 2.74509804 32.25490196] ; [ 1.25490196 14.74509804],0
v4,1,0.845551,0.037946,[25 10] ; [11  5],[24.70588235 10.29411765] ; [11.29411765  4.70588235],0
n2,1,0.864591,0.029082,[9 5] ; [3 2],[8.84210526 5.15789474] ; [3.15789474 1.84210526],0
b2,1,0.872832,0.02562,[ 6 14] ; [3 8],[ 5.80645161 14.19354839] ; [3.19354839 7.80645161],0
b3,1,0.872832,0.02562,[ 6 14] ; [3 8],[ 5.80645161 14.19354839] ; [3.19354839 7.80645161],0
p8,1,0.895926,0.017111,[16 19] ; [7 9],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
a5,1,0.924558,0.008967,[18 17] ; [8 8],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
n6,1,0.948057,0.004244,[23 12] ; [10  5],[23.1 11.9] ; [9.9 5.1],0
b5,1,0.952364,0.003569,[20 15] ; [9 7],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
d2,1,0.989825,0.000163,[11 24] ; [ 5 11],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
