Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.9e-05,18.29808,[18 89] ; [14 10],[26.13740458 80.86259542] ; [ 5.86259542 18.13740458],1
s6,1,0.000314,12.985507,[38 77] ; [18  7],[46. 69.] ; [10. 15.],1
s3,1,0.000326,12.913248,[37 75] ; [18  7],[44.96350365 67.03649635] ; [10.03649635 14.96350365],1
s2,1,0.000384,12.606184,[24 90] ; [14 11],[31.16546763 82.83453237] ; [ 6.83453237 18.16546763],1
u3,1,0.002498,9.142208,[21 34] ; [9 1],[25.38461538 29.61538462] ; [4.61538462 5.38461538],0
p8,1,0.002727,8.981436,[25 87] ; [13 12],[31.06569343 80.93430657] ; [ 6.93430657 18.06569343],0
r4,1,0.004346,8.133313,[72 43] ; [23  2],[78.03571429 36.96428571] ; [16.96428571  8.03571429],0
d1,1,0.00657,7.386956,[44 71] ; [17  8],[50.10714286 64.89285714] ; [10.89285714 14.10714286],0
p4,1,0.009953,6.643343,[37 77] ; [15 10],[42.64748201 71.35251799] ; [ 9.35251799 15.64748201],0
p3,1,0.013183,6.144442,[27 88] ; [12 13],[32.03571429 82.96428571] ; [ 6.96428571 18.03571429],0
p2,1,0.019874,5.422925,[58 57] ; [19  6],[63.25 51.75] ; [13.75 11.25],0
n5,1,0.029444,4.741485,[60 55] ; [19  6],[64.89285714 50.10714286] ; [14.10714286 10.89285714],0
n6,1,0.039321,4.246946,[66 48] ; [20  5],[70.5323741 43.4676259] ; [15.4676259  9.5323741],0
d5,1,0.044896,4.022556,[72 42] ; [21  4],[76.27338129 37.72661871] ; [16.72661871  8.27338129],0
r3,1,0.048827,3.8813,[84 30] ; [23  2],[87.75539568 26.24460432] ; [19.24460432  5.75539568],0
u2,1,0.052527,3.7589,[20 34] ; [7 3],[22.78125 31.21875] ; [4.21875 5.78125],0
p6,1,0.0552,3.676047,[22 91] ; [ 9 15],[25.56934307 87.43065693] ; [ 5.43065693 18.56934307],0
v4,1,0.057839,3.598299,[85 29] ; [23  2],[88.57553957 25.42446043] ; [19.42446043  5.57553957],0
d4,1,0.06672,3.361921,[73 39] ; [21  4],[76.84671533 35.15328467] ; [17.15328467  7.84671533],0
p9,1,0.079438,3.076366,[33 78] ; [12 13],[36.72794118 74.27205882] ; [ 8.27205882 16.72794118],0
b3,1,0.1193,2.426486,[21 52] ; [7 7],[23.49425287 49.50574713] ; [4.50574713 9.49425287],0
b2,1,0.1193,2.426486,[21 52] ; [7 7],[23.49425287 49.50574713] ; [4.50574713 9.49425287],0
d3,1,0.177601,1.817583,[56 58] ; [16  9],[59.05035971 54.94964029] ; [12.94964029 12.05035971],0
a7,1,0.186076,1.748419,[61 53] ; [17  8],[63.97122302 50.02877698] ; [14.02877698 10.97122302],0
a4,1,0.191505,1.706004,[48 66] ; [ 7 18],[45.10791367 68.89208633] ; [ 9.89208633 15.10791367],0
