Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,61.701384,[ 17 332] ; [29 56],[ 36.99078341 312.00921659] ; [ 9.00921659 75.99078341],1
p12,1,0.0,30.221732,[ 23 326] ; [23 62],[ 36.99078341 312.00921659] ; [ 9.00921659 75.99078341],1
s5,1,1e-06,24.108368,[116 225] ; [49 27],[134.92805755 206.07194245] ; [30.07194245 45.92805755],1
a1,1,4e-06,21.12422,[ 10 340] ; [13 72],[ 18.50574713 331.49425287] ; [ 4.49425287 80.50574713],1
p6,1,0.00016,14.246641,[162 184] ; [58 25],[177.43589744 168.56410256] ; [42.56410256 40.43589744],1
p8,1,0.000434,12.377854,[220 126] ; [71 14],[233.61020882 112.38979118] ; [57.38979118 27.61020882],1
p3,1,0.000445,12.33174,[227 122] ; [72 13],[240.44009217 108.55990783] ; [58.55990783 26.44009217],1
v3,1,0.004751,7.97205,[143 194] ; [49 33],[154.424821 182.575179] ; [37.575179 44.424821],0
n3,1,0.006881,7.303721,[44 12] ; [7 9],[39.66666667 16.33333333] ; [11.33333333  4.66666667],0
p7,1,0.008166,6.996659,[248  98] ; [72 12],[257.48837209  88.51162791] ; [62.51162791 21.48837209],0
s7,1,0.008448,6.936028,[184 145] ; [57 22],[194.33578431 134.66421569] ; [46.66421569 32.33578431],0
b5,1,0.015982,5.804866,[211 139] ; [39 46],[201.14942529 148.85057471] ; [48.85057471 36.14942529],0
s6,1,0.01955,5.451673,[253  92] ; [67 11],[260.9929078  84.0070922] ; [59.0070922 18.9929078],0
s8,1,0.025942,4.959893,[172 175] ; [53 31],[181.14849188 165.85150812] ; [43.85150812 40.14849188],0
s1,1,0.027855,4.836999,[  8 336] ; [ 6 79],[ 11.22610723 332.77389277] ; [ 2.77389277 82.22610723],0
n4,1,0.043239,4.086017,[312  37] ; [82  3],[316.83410138  32.16589862] ; [77.16589862  7.83410138],0
a6,1,0.065735,3.38644,[250 100] ; [52 33],[242.98850575 107.01149425] ; [59.01149425 25.98850575],0
v1,1,0.0808,3.048731,[212 132] ; [59 23],[218.83568075 125.16431925] ; [52.16431925 29.83568075],0
a5,1,0.085651,2.954263,[281  69] ; [61 24],[275.17241379  74.82758621] ; [66.82758621 18.17241379],0
u4,1,0.115266,2.480492,[  9 341] ; [ 5 79],[ 11.29032258 338.70967742] ; [ 2.70967742 81.29032258],0
a7,1,0.1489,2.083481,[261  88] ; [57 28],[255.71889401  93.28110599] ; [62.28110599 22.71889401],0
b3,1,0.15314,2.040695,[ 82 136] ; [30 33],[ 86.88967972 131.11032028] ; [25.11032028 37.88967972],0
b2,1,0.15314,2.040695,[ 82 136] ; [30 33],[ 86.88967972 131.11032028] ; [25.11032028 37.88967972],0
r2,1,0.175343,1.836658,[330  16] ; [77  7],[327.49302326  18.50697674] ; [79.50697674  4.49302326],0
s3,1,0.175507,1.835265,[200 144] ; [55 28],[205.43325527 138.56674473] ; [49.56674473 33.43325527],0
a3,1,0.245398,1.349316,[258  91] ; [68 17],[262.15207373  86.84792627] ; [63.84792627 21.15207373],0
a2,1,0.248664,1.330797,[100 250] ; [19 66],[ 95.74712644 254.25287356] ; [23.25287356 61.74712644],0
p9,1,0.261676,1.259867,[314  34] ; [80  5],[316.65588915  31.34411085] ; [77.34411085  7.65588915],0
v4,1,0.276159,1.185897,[337  12] ; [78  5],[335.2662037  13.7337963] ; [79.7337963  3.2662037],0
b1,1,0.277284,1.180353,[138 212] ; [39 46],[142.4137931 207.5862069] ; [34.5862069 50.4137931],0
n2,1,0.307179,1.042764,[46 11] ; [11  5],[44.50684932 12.49315068] ; [12.49315068  3.50684932],0
d5,1,0.323353,0.975336,[302  47] ; [70 15],[299.14285714  49.85714286] ; [72.85714286 12.14285714],0
n6,1,0.342456,0.901215,[322  27] ; [80  4],[324.01385681  24.98614319] ; [77.98614319  6.01385681],0
s2,1,0.363171,0.826897,[193 152] ; [51 32],[196.68224299 148.31775701] ; [47.31775701 35.68224299],0
s4,1,0.404594,0.69463,[ 64 281] ; [12 70],[ 61.40515222 283.59484778] ; [14.59484778 67.40515222],0
n1,1,0.412108,0.672711,[25 31] ; [9 7],[26.44444444 29.55555556] ; [7.55555556 8.44444444],0
r3,1,0.421556,0.645972,[335  14] ; [78  5],[333.65046296  15.34953704] ; [79.34953704  3.65046296],0
d3,1,0.456172,0.55527,[257  93] ; [59 26],[254.25287356  95.74712644] ; [61.74712644 23.25287356],0
u3,1,0.478252,0.502847,[51 41] ; [11  6],[52.33027523 39.66972477] ; [9.66972477 7.33027523],0
r4,1,0.478539,0.502192,[325  25] ; [77  8],[323.44827586  26.55172414] ; [78.55172414  6.44827586],0
p10,1,0.578043,0.309408,[307  40] ; [77  8],[308.44444444  38.55555556] ; [75.55555556  9.44444444],0
d2,1,0.631697,0.229766,[187 162] ; [48 37],[188.97465438 160.02534562] ; [46.02534562 38.97465438],0
