Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,5e-06,21.001597,[ 8 20] ; [51 14],[17.76344086 10.23655914] ; [41.23655914 23.76344086],1
a6,1,1.4e-05,18.805369,[10 18] ; [53 12],[18.96774194  9.03225806] ; [44.03225806 20.96774194],1
b1,1,0.002567,9.092106,[17 11] ; [18 47],[10.53763441 17.46236559] ; [24.46236559 40.53763441],0
u1,1,0.00333,8.617117,[ 2 26] ; [24 41],[ 7.82795699 20.17204301] ; [18.17204301 46.82795699],0
a2,1,0.007454,7.160163,[ 3 25] ; [25 40],[ 8.43010753 19.56989247] ; [19.56989247 45.43010753],0
v2,1,0.035121,4.439286,[10 18] ; [37 25],[14.62222222 13.37777778] ; [32.37777778 29.62222222],0
d3,1,0.036695,4.364522,[23  5] ; [62  3],[25.59139785  2.40860215] ; [59.40860215  5.59139785],0
p10,1,0.050472,3.825722,[21  6] ; [60  5],[23.77173913  3.22826087] ; [57.22826087  7.77173913],0
p2,1,0.065958,3.38085,[19  9] ; [55 10],[22.27956989  5.72043011] ; [51.72043011 13.27956989],0
n6,1,0.078329,3.099245,[21  7] ; [58  7],[23.78494624  4.21505376] ; [55.21505376  9.78494624],0
p9,1,0.092023,2.838632,[21  6] ; [59  6],[23.47826087  3.52173913] ; [56.52173913  8.47826087],0
n1,1,0.100348,2.7,[6 6] ; [ 3 12],[4. 8.] ; [ 5. 10.],0
p3,1,0.113586,2.503602,[20  8] ; [35 30],[16.55913978 11.44086022] ; [38.44086022 26.55913978],0
v4,1,0.134149,2.243822,[25  3] ; [63  2],[26.49462366  1.50537634] ; [61.50537634  3.49462366],0
p1,1,0.146621,2.10706,[ 5 23] ; [ 5 60],[ 3.01075269 24.98924731] ; [ 6.98924731 58.01075269],0
d2,1,0.154326,2.028967,[23  5] ; [44 21],[20.17204301  7.82795699] ; [46.82795699 18.17204301],0
a1,1,0.160553,1.969011,[ 2 26] ; [ 1 64],[ 0.90322581 27.09677419] ; [ 2.09677419 62.90322581],0
v1,1,0.197635,1.659769,[11 17] ; [35 30],[13.84946237 14.15053763] ; [32.15053763 32.84946237],0
b4,1,0.239268,1.384902,[14 14] ; [41 24],[16.55913978 11.44086022] ; [38.44086022 26.55913978],0
p11,1,0.268237,1.22574,[17 11] ; [47 18],[19.2688172  8.7311828] ; [44.7311828 20.2688172],0
s7,1,0.270582,1.213793,[18  6] ; [40 24],[15.81818182  8.18181818] ; [42.18181818 21.81818182],0
s1,1,0.272104,1.20611,[ 3 25] ; [ 3 62],[ 1.80645161 26.19354839] ; [ 4.19354839 60.80645161],0
a4,1,0.285856,1.139036,[18 10] ; [34 31],[15.65591398 12.34408602] ; [36.34408602 28.65591398],0
s5,1,0.337865,0.918517,[17  9] ; [32 27],[14.98823529 11.01176471] ; [34.01176471 24.98823529],0
v3,1,0.382858,0.761504,[11 16] ; [20 44],[ 9.1978022 17.8021978] ; [21.8021978 42.1978022],0
n3,1,0.432111,0.617143,[8 4] ; [12  3],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
