Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,64.988018,[448 117] ; [48 65],[413.33333333 151.66666667] ; [82.66666667 30.33333333],1
n4,1,0.0,36.818578,[454 112] ; [61 53],[428.66176471 137.33823529] ; [86.33823529 27.66176471],1
p10,1,0.0,27.632346,[476  85] ; [72 41],[456.12462908 104.87537092] ; [91.87537092 21.12462908],1
p9,1,1e-06,24.214879,[493  67] ; [79 34],[475.95839525  84.04160475] ; [96.04160475 16.95839525],1
r4,1,0.000124,14.728594,[518  50] ; [90 24],[506.36950147  61.63049853] ; [101.63049853  12.36950147],1
p11,1,0.000201,13.82144,[470  98] ; [77 37],[455.5659824 112.4340176] ; [91.4340176 22.5659824],1
b1,1,0.000247,13.436793,[191 377] ; [59 55],[208.2111437 359.7888563] ; [41.7888563 72.2111437],1
r2,1,0.000254,13.383605,[537  25] ; [97 15],[528.64688427  33.35311573] ; [105.35311573   6.64688427],1
a5,1,0.000485,12.172447,[425 143] ; [67 47],[409.75953079 158.24046921] ; [82.24046921 31.75953079],1
v3,1,0.002142,9.423378,[217 340] ; [25 82],[203.00301205 353.99698795] ; [38.99698795 68.00301205],0
d1,1,0.003248,8.662734,[339 229] ; [51 63],[324.80938416 243.19061584] ; [65.19061584 48.80938416],0
r3,1,0.004004,8.281897,[545  20] ; [102  11],[539.16666667  25.83333333] ; [107.83333333   5.16666667],0
u1,1,0.004054,8.259654,[108 460] ; [  9 105],[ 97.44281525 470.55718475] ; [19.55718475 94.44281525],0
p4,1,0.006528,7.398443,[350 215] ; [55 59],[337.00294551 227.99705449] ; [67.99705449 46.00294551],0
s7,1,0.01055,6.53953,[264 281] ; [37 69],[251.98924731 293.01075269] ; [49.01075269 56.98924731],0
a4,1,0.010884,6.484102,[257 309] ; [37 77],[244.71176471 321.28823529] ; [49.28823529 64.71176471],0
d2,1,0.011305,6.41668,[277 289] ; [41 73],[264.68823529 301.31176471] ; [53.31176471 60.68823529],0
a2,1,0.016602,5.738006,[144 424] ; [17 97],[134.08797654 433.91202346] ; [26.91202346 87.08797654],0
v2,1,0.01836,5.561431,[316 236] ; [48 59],[304.8983308 247.1016692] ; [59.1016692 47.8983308],0
