Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.00013,14.647062,[325  55] ; [19 13],[317.2815534  62.7184466] ; [26.7184466  5.2815534],1
d5,1,0.000236,13.520176,[315  65] ; [18 14],[307.13592233  72.86407767] ; [25.86407767  6.13592233],1
r3,1,0.000376,12.64648,[363  15] ; [27  6],[358.68613139  19.31386861] ; [31.31386861  1.68613139],1
p4,1,0.00044,12.352949,[293  88] ; [15 16],[284.82524272  96.17475728] ; [23.17475728  7.82524272],1
s1,1,0.001017,10.797076,[  8 372] ; [ 4 29],[ 11.04116223 368.95883777] ; [ 0.95883777 32.04116223],0
s3,1,0.002835,8.910913,[220 156] ; [10 22],[211.96078431 164.03921569] ; [18.03921569 13.96078431],0
r4,1,0.011542,6.379845,[357  24] ; [27  6],[353.39130435  27.60869565] ; [30.60869565  2.39130435],0
n6,1,0.014859,5.933149,[338  40] ; [24  8],[333.74634146  44.25365854] ; [28.25365854  3.74634146],0
p7,1,0.015747,5.830882,[318  58] ; [21 10],[313.17936118  62.82063882] ; [25.82063882  5.17936118],0
s7,1,0.016248,5.775871,[203 159] ; [10 20],[196.69897959 165.30102041] ; [16.30102041 13.69897959],0
s8,1,0.02169,5.270467,[198 180] ; [10 22],[191.76585366 186.23414634] ; [16.23414634 15.76585366],0
n4,1,0.029874,4.716517,[313  68] ; [22 11],[308.29710145  72.70289855] ; [26.70289855  6.29710145],0
d2,1,0.049086,3.87242,[188 193] ; [10 22],[182.65859564 198.34140436] ; [15.34140436 16.65859564],0
r2,1,0.049884,3.845338,[359  17] ; [28  4],[356.64705882  19.35294118] ; [30.35294118  1.64705882],0
n5,1,0.053099,3.740813,[316  64] ; [23 10],[311.91283293  68.08716707] ; [27.08716707  5.91283293],0
p9,1,0.054412,3.700004,[364  17] ; [29  4],[361.67391304  19.32608696] ; [31.32608696  1.67391304],0
a3,1,0.062459,3.470864,[276 103] ; [19 14],[271.37135922 107.62864078] ; [23.62864078  9.37135922],0
d3,1,0.083881,2.988051,[270 111] ; [18 14],[265.68523002 115.31476998] ; [22.31476998  9.68523002],0
