Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.370021,[84  7] ; [22 17],[74.2 16.8] ; [31.8  7.2],1
a7,1,0.004086,8.245198,[69 22] ; [19 19],[62.07751938 28.92248062] ; [25.92248062 12.07751938],0
d3,1,0.004299,8.153092,[66 25] ; [17 20],[59.0078125 31.9921875] ; [23.9921875 13.0078125],0
v2,1,0.004439,8.094969,[49 35] ; [12 27],[41.65853659 42.34146341] ; [19.34146341 19.65853659],0
d4,1,0.004988,7.883902,[74 16] ; [23 16],[67.6744186 22.3255814] ; [29.3255814  9.6744186],0
a3,1,0.006119,7.514931,[64 27] ; [17 21],[57.13953488 33.86046512] ; [23.86046512 14.13953488],0
p9,1,0.007306,7.196114,[74 17] ; [23 16],[67.9 23.1] ; [29.1  9.9],0
p10,1,0.008007,7.031971,[72 19] ; [22 17],[65.8 25.2] ; [28.2 10.8],0
a5,1,0.008859,6.851045,[64 27] ; [18 21],[57.4 33.6] ; [24.6 14.4],0
n1,1,0.01836,5.561497,[ 2 20] ; [ 7 10],[ 5.07692308 16.92307692] ; [ 3.92307692 13.07692308],0
a2,1,0.019941,5.417069,[16 75] ; [ 1 38],[11.9 79.1] ; [ 5.1 33.9],0
d1,1,0.021568,5.280335,[43 48] ; [10 29],[37.1 53.9] ; [15.9 23.1],0
v4,1,0.034589,4.465365,[85  4] ; [33  6],[82.046875  6.953125] ; [35.953125  3.046875],0
a4,1,0.035444,4.423638,[36 55] ; [ 8 31],[30.8 60.2] ; [13.2 25.8],0
p11,1,0.037678,4.319481,[70 21] ; [23 16],[65.1 25.9] ; [27.9 11.1],0
v1,1,0.038144,4.298594,[43 45] ; [11 27],[37.71428571 50.28571429] ; [16.28571429 21.71428571],0
r3,1,0.063345,3.447561,[86  5] ; [33  6],[83.3  7.7] ; [35.7  3.3],0
r2,1,0.06584,3.383799,[82  8] ; [31  8],[78.8372093 11.1627907] ; [34.1627907  4.8372093],0
v3,1,0.069855,3.286432,[27 59] ; [ 6 32],[22.88709677 63.11290323] ; [10.11290323 27.88709677],0
p2,1,0.087831,2.913692,[78 12] ; [29 10],[74.65116279 15.34883721] ; [32.34883721  6.65116279],0
n3,1,0.121762,2.394508,[20  2] ; [13  5],[18.15  3.85] ; [14.85  3.15],0
a6,1,0.139984,2.178131,[57 34] ; [19 20],[53.2 37.8] ; [22.8 16.2],0
s3,1,0.143896,2.135794,[49 40] ; [16 23],[45.1953125 43.8046875] ; [19.8046875 19.1953125],0
p6,1,0.15528,2.019598,[29 59] ; [18 21],[32.56692913 55.43307087] ; [14.43307087 24.56692913],0
s6,1,0.210741,1.566325,[58 32] ; [20 18],[54.84375 35.15625] ; [23.15625 14.84375],0
b1,1,0.216159,1.529693,[36 55] ; [20 19],[39.2 51.8] ; [16.8 22.2],0
a1,1,0.27369,1.198157,[ 3 88] ; [ 3 36],[ 4.2 86.8] ; [ 1.8 37.2],0
n2,1,0.45484,0.558564,[17  5] ; [12  6],[15.95  6.05] ; [13.05  4.95],0
p4,1,0.459299,0.547602,[52 39] ; [25 14],[53.9 37.1] ; [23.1 15.9],0
b4,1,0.463648,0.537073,[53 38] ; [20 19],[51.1 39.9] ; [21.9 17.1],0
p12,1,0.465552,0.532514,[ 5 86] ; [ 1 38],[ 4.2 86.8] ; [ 1.8 37.2],0
d5,1,0.479668,0.499618,[61 30] ; [23 15],[59.25581395 31.74418605] ; [24.74418605 13.25581395],0
s7,1,0.525507,0.403071,[33 51] ; [13 26],[31.41463415 52.58536585] ; [14.58536585 24.41463415],0
n5,1,0.548818,0.359439,[35 55] ; [13 26],[33.48837209 56.51162791] ; [14.51162791 24.48837209],0
