Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.745447,[  9 123] ; [11 15],[ 16.70886076 115.29113924] ; [ 3.29113924 22.70886076],1
u1,1,0.003615,8.467943,[ 10 122] ; [ 7 19],[ 14.20253165 117.79746835] ; [ 2.79746835 23.20253165],0
s2,1,0.007046,7.26124,[ 14 117] ; [ 8 18],[ 18.3566879 112.6433121] ; [ 3.6433121 22.3566879],0
p6,1,0.018256,5.571429,[ 10 120] ; [ 6 20],[ 13.33333333 116.66666667] ; [ 2.66666667 23.33333333],0
n1,1,0.024675,5.046524,[15 32] ; [7 3],[18.14035088 28.85964912] ; [3.85964912 6.14035088],0
n6,1,0.03472,4.458914,[82 50] ; [21  4],[86.59872611 45.40127389] ; [16.40127389  8.59872611],0
a4,1,0.054483,3.697841,[49 82] ; [15 11],[53.40127389 77.59872611] ; [10.59872611 15.40127389],0
n4,1,0.058657,3.574951,[81 51] ; [21  5],[85.21518987 46.78481013] ; [16.78481013  9.21518987],0
d1,1,0.062621,3.466578,[55 77] ; [16 10],[59.3164557 72.6835443] ; [11.6835443 14.3164557],0
d4,1,0.063975,3.431208,[93 38] ; [23  3],[96.78980892 34.21019108] ; [19.21019108  6.78980892],0
a7,1,0.066684,3.362814,[90 41] ; [13 13],[85.94267516 45.05732484] ; [17.05732484  8.94267516],0
d2,1,0.0743,3.185372,[50 79] ; [15 11],[54.09677419 74.90322581] ; [10.90322581 15.09677419],0
a5,1,0.093025,2.821225,[73 59] ; [19  7],[76.86075949 55.13924051] ; [15.13924051 10.86075949],0
r4,1,0.123982,2.366285,[87 45] ; [13 13],[83.5443038 48.4556962] ; [16.4556962  9.5443038],0
b1,1,0.128515,2.310355,[62 70] ; [ 8 18],[58.48101266 73.51898734] ; [11.51898734 14.48101266],0
p5,1,0.134819,2.236123,[  3 129] ; [ 2 23],[  4.20382166 127.79617834] ; [ 0.79617834 24.20382166],0
s3,1,0.150054,2.071699,[ 24 107] ; [ 8 18],[ 26.70063694 104.29936306] ; [ 5.29936306 20.70063694],0
a3,1,0.171835,1.86686,[77 54] ; [19  7],[80.10191083 50.89808917] ; [15.89808917 10.10191083],0
