Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.003309,8.628881,[16 19] ; [18 73],[ 9.44444444 25.55555556] ; [24.55555556 66.44444444],0
v2,1,0.013981,6.040585,[18 17] ; [25 64],[12.13709677 22.86290323] ; [30.86290323 58.13709677],0
p5,1,0.029311,4.749231,[ 4 31] ; [ 2 89],[ 1.66666667 33.33333333] ; [ 4.33333333 86.66666667],0
r2,1,0.050447,3.826531,[33  2] ; [72 18],[29.4  5.6] ; [75.6 14.4],0
b1,1,0.101851,2.676321,[13 23] ; [48 44],[17.15625 18.84375] ; [43.84375 48.15625],0
b4,1,0.115785,2.47343,[22 14] ; [42 50],[18. 18.] ; [46. 46.],0
s6,1,0.154693,2.025355,[18 18] ; [33 58],[14.45669291 21.54330709] ; [36.54330709 54.45669291],0
a5,1,0.168349,1.89758,[24 12] ; [49 43],[20.53125 15.46875] ; [52.46875 39.53125],0
a3,1,0.214083,1.543597,[23 13] ; [46 43],[19.872 16.128] ; [49.128 39.872],0
n1,1,0.224684,1.474201,[2 9] ; [14 23],[3.66666667 7.33333333] ; [12.33333333 24.66666667],0
r1,1,0.254401,1.29897,[23 13] ; [48 43],[20.12598425 15.87401575] ; [50.87401575 40.12598425],0
v4,1,0.257969,1.279621,[30  6] ; [68 24],[27.5625  8.4375] ; [70.4375 21.5625],0
u3,1,0.276209,1.185649,[3 9] ; [19 26],[4.63157895 7.36842105] ; [17.36842105 27.63157895],0
p4,1,0.288524,1.126494,[13 20] ; [27 65],[10.56 22.44] ; [29.44 62.56],0
d3,1,0.308966,1.035091,[22 14] ; [46 44],[19.42857143 16.57142857] ; [48.57142857 41.42857143],0
n2,1,0.340219,0.909606,[9 4] ; [20 17],[7.54 5.46] ; [21.46 15.54],0
r4,1,0.346637,0.88573,[24 12] ; [53 39],[21.65625 14.34375] ; [55.34375 36.65625],0
n4,1,0.361112,0.834021,[22 14] ; [48 44],[19.6875 16.3125] ; [50.3125 41.6875],0
