Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000167,14.16756,[33 10] ; [25 38],[23.52830189 19.47169811] ; [34.47169811 28.52830189],1
s2,1,0.000234,13.539468,[22 21] ; [11 52],[13.38679245 29.61320755] ; [19.61320755 43.38679245],1
s7,1,0.000468,12.23717,[18 23] ; [ 8 53],[10.45098039 30.54901961] ; [15.54901961 45.45098039],1
s3,1,0.001041,10.75379,[25 18] ; [16 45],[16.95192308 26.04807692] ; [24.04807692 36.95192308],0
v1,1,0.001248,10.417292,[22 21] ; [13 49],[14.33333333 28.66666667] ; [20.66666667 41.33333333],0
s8,1,0.00137,10.24542,[16 27] ; [ 7 56],[ 9.33018868 33.66981132] ; [13.66981132 49.33018868],0
v2,1,0.004396,8.112367,[21 21] ; [14 47],[14.27184466 27.72815534] ; [20.72815534 40.27184466],0
p11,1,0.005145,7.827698,[34  9] ; [33 30],[27.17924528 15.82075472] ; [39.82075472 23.17924528],0
d3,1,0.013971,6.041791,[26 17] ; [22 39],[19.84615385 23.15384615] ; [28.15384615 32.84615385],0
r3,1,0.016307,5.76947,[39  4] ; [45 18],[34.0754717  8.9245283] ; [49.9245283 13.0754717],0
s5,1,0.018369,5.560645,[11 29] ; [ 6 56],[ 6.66666667 33.33333333] ; [10.33333333 51.66666667],0
p5,1,0.018796,5.520443,[ 7 36] ; [ 2 60],[ 3.68571429 39.31428571] ; [ 5.31428571 56.68571429],0
u2,1,0.020639,5.357032,[16  8] ; [16 27],[11.46268657 12.53731343] ; [20.53731343 22.46268657],0
n4,1,0.023874,5.10376,[30 13] ; [30 33],[24.33962264 18.66037736] ; [35.66037736 27.33962264],0
v4,1,0.025704,4.975845,[38  4] ; [45 17],[33.51923077  8.48076923] ; [49.48076923 12.51923077],0
p12,1,0.028052,4.824846,[ 5 38] ; [ 1 62],[ 2.43396226 40.56603774] ; [ 3.56603774 59.43396226],0
p10,1,0.030451,4.683673,[30 12] ; [30 30],[24.70588235 17.29411765] ; [35.29411765 24.70588235],0
r4,1,0.043823,4.063378,[27 16] ; [27 36],[21.90566038 21.09433962] ; [32.09433962 30.90566038],0
a7,1,0.043852,4.062266,[28 15] ; [28 34],[22.93333333 20.06666667] ; [33.06666667 28.93333333],0
u3,1,0.046949,3.947222,[13 12] ; [12 31],[ 9.19117647 15.80882353] ; [15.80882353 27.19117647],0
n5,1,0.122296,2.387662,[29 14] ; [33 30],[25.1509434 17.8490566] ; [36.8490566 26.1509434],0
s4,1,0.122877,2.380258,[13 30] ; [11 52],[ 9.73584906 33.26415094] ; [14.26415094 48.73584906],0
v3,1,0.123227,2.375823,[14 29] ; [12 50],[10.64761905 32.35238095] ; [15.35238095 46.64761905],0
p4,1,0.123573,2.371444,[20 23] ; [20 43],[16.22641509 26.77358491] ; [23.77358491 39.22641509],0
p7,1,0.147356,2.099414,[24 18] ; [26 35],[20.38834951 21.61165049] ; [29.61165049 31.38834951],0
b2,1,0.178097,1.813436,[ 6 22] ; [14 24],[ 8.48484848 19.51515152] ; [11.51515152 26.48484848],0
b3,1,0.178097,1.813436,[ 6 22] ; [14 24],[ 8.48484848 19.51515152] ; [11.51515152 26.48484848],0
d1,1,0.218188,1.516248,[11 32] ; [10 53],[ 8.51886792 34.48113208] ; [12.48113208 50.51886792],0
p1,1,0.232073,1.428111,[ 2 41] ; [ 7 55],[ 3.68571429 39.31428571] ; [ 5.31428571 56.68571429],0
a4,1,0.243549,1.359935,[ 3 40] ; [ 9 54],[ 4.86792453 38.13207547] ; [ 7.13207547 55.86792453],0
p3,1,0.264262,1.246291,[16 27] ; [17 46],[13.38679245 29.61320755] ; [19.61320755 43.38679245],0
p9,1,0.291213,1.114005,[31 11] ; [39 22],[28.54368932 13.45631068] ; [41.45631068 19.54368932],0
a3,1,0.313995,1.013796,[18 25] ; [20 42],[15.56190476 27.43809524] ; [22.43809524 39.56190476],0
p2,1,0.315322,1.008252,[33 10] ; [42 20],[30.71428571 12.28571429] ; [44.28571429 17.71428571],0
d5,1,0.315924,1.005746,[23 20] ; [27 35],[20.47619048 22.52380952] ; [29.52380952 32.47619048],0
b1,1,0.32495,0.968919,[15 28] ; [28 35],[17.44339623 25.55660377] ; [25.55660377 37.44339623],0
n6,1,0.393302,0.728708,[32 11] ; [42 21],[30.01886792 12.98113208] ; [43.98113208 19.01886792],0
n3,1,0.442695,0.589286,[6 5] ; [15  7],[7. 4.] ; [14.  8.],0
p8,1,0.563817,0.333139,[17 25] ; [22 41],[15.6 26.4] ; [23.4 39.6],0
n1,1,0.601508,0.272727,[3 8] ; [ 8 14],[3.66666667 7.33333333] ; [ 7.33333333 14.66666667],0
r2,1,0.638514,0.220691,[31 10] ; [45 18],[29.96153846 11.03846154] ; [46.03846154 16.96153846],0
d2,1,0.689145,0.160013,[11 32] ; [14 49],[10.14150943 32.85849057] ; [14.85849057 48.14150943],0
s1,1,0.695263,0.153446,[ 2 41] ; [ 2 61],[ 1.62264151 41.37735849] ; [ 2.37735849 60.62264151],0
p6,1,0.850765,0.035398,[11 31] ; [17 44],[11.41747573 30.58252427] ; [16.58252427 44.41747573],0
a6,1,0.858232,0.031907,[17 26] ; [26 37],[17.44339623 25.55660377] ; [25.55660377 37.44339623],0
b4,1,0.858232,0.031907,[26 17] ; [37 26],[25.55660377 17.44339623] ; [37.44339623 25.55660377],0
b5,1,0.881207,0.022332,[26 17] ; [39 24],[26.36792453 16.63207547] ; [38.63207547 24.36792453],0
