Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,200.977579,[  5 134] ; [419 183],[79.53576248 59.46423752] ; [344.46423752 257.53576248],1
d3,1,0.0,125.339241,[ 36 102] ; [457 145],[91.93783784 46.06216216] ; [401.06216216 200.93783784],1
d5,1,0.0,123.623502,[64 75] ; [529  73],[111.23751687  27.76248313] ; [481.76248313 120.23751687],1
d2,1,0.0,33.787714,[ 35 104] ; [315 285],[65.83220568 73.16779432] ; [284.16779432 315.83220568],1
a3,1,0.0,32.674159,[70 68] ; [451 148],[97.55495251 40.44504749] ; [423.44504749 175.55495251],1
a4,1,0.0,30.175714,[ 31 106] ; [291 310],[59.77506775 77.22493225] ; [262.22493225 338.77506775],1
a5,1,0.0,29.390891,[75 64] ; [462 140],[100.73279352  38.26720648] ; [436.26720648 165.73279352],1
u1,1,0.0,27.765832,[  2 137] ; [119 483],[ 22.6977058 116.3022942] ; [ 98.3022942 503.6977058],1
a2,1,3e-06,22.160869,[ 11 128] ; [160 442],[ 32.07692308 106.92307692] ; [138.92307692 463.07692308],1
s2,1,4e-06,21.228968,[ 39 100] ; [297 301],[63.37042062 75.62957938] ; [272.62957938 325.37042062],1
a7,1,3e-05,17.411402,[80 59] ; [452 149],[99.92972973 39.07027027] ; [432.07027027 168.92972973],1
r1,1,0.000132,14.607696,[94 43] ; [498 102],[110.04613297  26.95386703] ; [481.95386703 118.04613297],1
r3,1,0.000252,13.393753,[123  16] ; [579  23],[131.68421053   7.31578947] ; [570.31578947  31.68421053],1
v2,1,0.003482,8.535899,[60 71] ; [345 232],[74.93644068 56.06355932] ; [330.06355932 246.93644068],0
p10,1,0.003943,8.309845,[95 40] ; [484 110],[107.22222222  27.77777778] ; [471.77777778 122.22222222],0
s5,1,0.003977,8.294427,[ 26 111] ; [183 400],[39.76805556 97.23194444] ; [169.23194444 413.76805556],0
p9,1,0.0044,8.111065,[101  34] ; [504  89],[112.19093407  22.80906593] ; [492.80906593 100.19093407],0
s6,1,0.0045,8.070258,[71 67] ; [383 211],[85.59016393 52.40983607] ; [368.40983607 225.59016393],0
a6,1,0.007389,7.175884,[81 58] ; [421 180],[94.29459459 44.70540541] ; [407.70540541 193.29459459],0
v1,1,0.008562,6.912078,[60 75] ; [332 251],[73.70473538 61.29526462] ; [318.29526462 264.70473538],0
s7,1,0.008969,6.828893,[46 83] ; [278 297],[59.36931818 69.63068182] ; [264.63068182 310.36931818],0
p2,1,0.01102,6.46215,[105  34] ; [504  92],[115.17142857  23.82857143] ; [493.82857143 102.17142857],0
n4,1,0.013239,6.136869,[95 43] ; [473 128],[106.067659  31.932341] ; [461.932341 139.067659],0
u2,1,0.014606,5.963341,[32 37] ; [94 53],[40.25 28.75] ; [85.75 61.25],0
r2,1,0.017556,5.639916,[127  12] ; [572  23],[132.3719346   6.6280654] ; [566.6280654  28.3719346],0
s8,1,0.017612,5.634299,[46 92] ; [266 333],[58.42062415 79.57937585] ; [253.57937585 345.42062415],0
a1,1,0.028681,4.786689,[  2 137] ; [ 36 566],[  7.12820513 131.87179487] ; [ 30.87179487 571.12820513],0
