Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.004075,8.25,[1 5] ; [21  6],[4. 2.] ; [18.  9.],0
p2,1,0.00819,6.991402,[1 5] ; [20  7],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
r3,1,0.016605,5.737654,[2 4] ; [22  5],[4.36363636 1.63636364] ; [19.63636364  7.36363636],0
p1,1,0.022395,5.214815,[2 4] ; [ 1 26],[0.54545455 5.45454545] ; [ 2.45454545 24.54545455],0
s1,1,0.022395,5.214815,[2 4] ; [ 1 26],[0.54545455 5.45454545] ; [ 2.45454545 24.54545455],0
p4,1,0.084695,2.972426,[1 5] ; [15 12],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
n6,1,0.088029,2.910053,[2 4] ; [19  8],[3.81818182 2.18181818] ; [17.18181818  9.81818182],0
r2,1,0.113041,2.511183,[3 2] ; [23  3],[4.19354839 0.80645161] ; [21.80645161  4.19354839],0
b4,1,0.130663,2.284615,[2 4] ; [18  9],[3.63636364 2.36363636] ; [16.36363636 10.63636364],0
s2,1,0.149613,2.076196,[2 4] ; [17  9],[3.5625 2.4375] ; [15.4375 10.5625],0
s6,1,0.166994,1.909722,[3 3] ; [21  6],[4.36363636 1.63636364] ; [19.63636364  7.36363636],0
b3,1,0.179712,1.8,[2 1] ; [ 4 11],[1. 2.] ; [ 5. 10.],0
b2,1,0.179712,1.8,[2 1] ; [ 4 11],[1. 2.] ; [ 5. 10.],0
d3,1,0.184075,1.764411,[2 4] ; [17 10],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
p11,1,0.207821,1.586538,[1 5] ; [12 15],[2.36363636 3.63636364] ; [10.63636364 16.36363636],0
n3,1,0.210075,1.570909,[3 3] ; [8 2],[4.125 1.875] ; [6.875 3.125],0
d4,1,0.245785,1.347101,[3 3] ; [20  7],[4.18181818 1.81818182] ; [18.81818182  8.18181818],0
d5,1,0.245785,1.347101,[3 3] ; [20  7],[4.18181818 1.81818182] ; [18.81818182  8.18181818],0
r1,1,0.248652,1.330864,[2 4] ; [16 11],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
s5,1,0.255704,1.291866,[1 5] ; [10 14],[2.2 3.8] ; [ 8.8 15.2],0
p7,1,0.267505,1.229497,[1 5] ; [11 16],[2.18181818 3.81818182] ; [ 9.81818182 17.18181818],0
s3,1,0.271651,1.208392,[3 3] ; [19  7],[4.125 1.875] ; [17.875  8.125],0
d1,1,0.338352,0.916667,[3 3] ; [ 8 19],[2. 4.] ; [ 9. 18.],0
b5,1,0.338352,0.916667,[3 3] ; [19  8],[4. 2.] ; [18.  9.],0
b1,1,0.411654,0.67402,[4 2] ; [13 14],[3.09090909 2.90909091] ; [13.90909091 13.09090909],0
v2,1,0.421671,0.645652,[1 5] ; [ 9 18],[1.81818182 4.18181818] ; [ 8.18181818 18.81818182],0
p9,1,0.488593,0.479623,[1 5] ; [ 8 18],[1.6875 4.3125] ; [ 7.3125 18.6875],0
p3,1,0.509756,0.434568,[2 4] ; [13 14],[2.72727273 3.27272727] ; [12.27272727 14.72727273],0
v1,1,0.518992,0.415895,[1 5] ; [ 8 19],[1.63636364 4.36363636] ; [ 7.36363636 19.63636364],0
n5,1,0.556664,0.345513,[3 3] ; [17 10],[3.63636364 2.36363636] ; [16.36363636 10.63636364],0
s7,1,0.570454,0.321923,[2 3] ; [14 12],[2.58064516 2.41935484] ; [13.41935484 12.58064516],0
a3,1,0.618402,0.24812,[4 2] ; [15 12],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
p6,1,0.632142,0.229167,[1 5] ; [ 7 20],[1.45454545 4.54545455] ; [ 6.54545455 20.45454545],0
u3,1,0.648807,0.207407,[1 1] ; [8 4],[1.28571429 0.71428571] ; [7.71428571 4.28571429],0
d2,1,0.678071,0.172306,[3 3] ; [11 16],[2.54545455 3.45454545] ; [11.45454545 15.54545455],0
a4,1,0.678071,0.172306,[3 3] ; [11 16],[2.54545455 3.45454545] ; [11.45454545 15.54545455],0
n1,1,0.789726,0.071111,[2 4] ; [4 6],[2.25 3.75] ; [3.75 6.25],0
n4,1,0.804748,0.061111,[3 3] ; [15 12],[3.27272727 2.72727273] ; [14.72727273 12.27272727],0
v3,1,0.912084,0.01219,[1 4] ; [ 6 21],[1.09375 3.90625] ; [ 5.90625 21.09375],0
a5,1,0.934568,0.00674,[3 3] ; [13 14],[2.90909091 3.09090909] ; [13.09090909 13.90909091],0
