Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.01033,6.577135,[ 2 35] ; [4 8],[ 4.53061224 32.46938776] ; [ 1.46938776 10.53061224],0
s1,1,0.014232,6.009122,[ 1 36] ; [3 9],[ 3.02040816 33.97959184] ; [ 0.97959184 11.02040816],0
n3,1,0.035015,4.444444,[ 4 11] ; [4 1],[6. 9.] ; [2. 3.],0
a3,1,0.042522,4.114286,[18 18] ; [10  2],[21. 15.] ; [7. 5.],0
v3,1,0.066343,3.371271,[ 6 31] ; [5 7],[ 8.30612245 28.69387755] ; [2.69387755 9.30612245],0
p8,1,0.13057,2.285714,[ 3 33] ; [3 9],[ 4.5 31.5] ; [ 1.5 10.5],0
a5,1,0.158401,1.989429,[16 21] ; [8 4],[18.12244898 18.87755102] ; [5.87755102 6.12244898],0
a7,1,0.158401,1.989429,[16 21] ; [8 4],[18.12244898 18.87755102] ; [5.87755102 6.12244898],0
n6,1,0.159372,1.980172,[19 18] ; [3 8],[16.95833333 20.04166667] ; [5.04166667 5.95833333],0
p2,1,0.199882,1.643233,[11 26] ; [6 6],[12.83673469 24.16326531] ; [4.16326531 7.83673469],0
a6,1,0.21251,1.554242,[14 23] ; [7 5],[15.85714286 21.14285714] ; [5.14285714 6.85714286],0
s7,1,0.270338,1.215033,[ 5 29] ; [3 7],[ 6.18181818 27.81818182] ; [1.81818182 8.18181818],0
s3,1,0.336209,0.924833,[12 24] ; [2 9],[10.72340426 25.27659574] ; [3.27659574 7.72340426],0
d3,1,0.362724,0.828441,[16 21] ; [7 5],[17.36734694 19.63265306] ; [5.63265306 6.36734694],0
s5,1,0.371093,0.8,[ 7 29] ; [ 1 11],[ 6. 30.] ; [ 2. 10.],0
n2,1,0.374857,0.7875,[ 6 10] ; [3 2],[6.85714286 9.14285714] ; [2.14285714 2.85714286],0
r1,1,0.456344,0.554846,[14 23] ; [6 6],[15.10204082 21.89795918] ; [4.89795918 7.10204082],0
b4,1,0.55924,0.341022,[25 12] ; [7 5],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
b1,1,0.559775,0.340094,[18 19] ; [7 5],[18.87755102 18.12244898] ; [6.12244898 5.87755102],0
p10,1,0.588223,0.293128,[13 23] ; [3 8],[12.25531915 23.74468085] ; [3.74468085 7.25531915],0
a4,1,0.601163,0.273245,[12 24] ; [5 7],[12.75 23.25] ; [4.25 7.75],0
v2,1,0.601163,0.273245,[12 24] ; [5 7],[12.75 23.25] ; [4.25 7.75],0
n4,1,0.627364,0.235652,[25 12] ; [9 3],[25.67346939 11.32653061] ; [8.32653061 3.67346939],0
s4,1,0.634295,0.226282,[ 5 32] ; [ 1 11],[ 4.53061224 32.46938776] ; [ 1.46938776 10.53061224],0
b5,1,0.683393,0.166332,[13 24] ; [5 7],[13.59183673 23.40816327] ; [4.40816327 7.59183673],0
n5,1,0.683393,0.166332,[24 13] ; [7 5],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
s2,1,0.695413,0.153288,[ 8 29] ; [3 8],[ 8.47916667 28.52083333] ; [2.52083333 8.47916667],0
n1,1,0.695943,0.152727,[8 8] ; [2 3],[7.61904762 8.38095238] ; [2.38095238 2.61904762],0
p9,1,0.69776,0.150813,[14 22] ; [5 6],[14.55319149 21.44680851] ; [4.44680851 6.55319149],0
p6,1,0.730647,0.118519,[ 2 34] ; [ 1 11],[ 2.25 33.75] ; [ 0.75 11.25],0
s6,1,0.752642,0.099324,[11 26] ; [3 9],[10.57142857 26.42857143] ; [3.42857143 8.57142857],0
d5,1,0.778505,0.079111,[23 14] ; [8 4],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
a1,1,0.786203,0.073574,[ 5 32] ; [ 2 10],[ 5.28571429 31.71428571] ; [ 1.71428571 10.28571429],0
p3,1,0.786203,0.073574,[ 5 32] ; [ 2 10],[ 5.28571429 31.71428571] ; [ 1.71428571 10.28571429],0
s8,1,0.805396,0.060698,[ 4 33] ; [ 1 11],[ 3.7755102 33.2244898] ; [ 1.2244898 10.7755102],0
p4,1,0.861011,0.030656,[ 7 30] ; [ 2 10],[ 6.79591837 30.20408163] ; [2.20408163 9.79591837],0
d2,1,0.867518,0.027826,[17 19] ; [6 6],[17.25 18.75] ; [5.75 6.25],0
r3,1,0.896725,0.016848,[21 16] ; [6 5],[20.8125 16.1875] ; [6.1875 4.8125],0
a8,1,0.917531,0.010721,[ 3 34] ; [ 1 10],[ 3.08333333 33.91666667] ; [ 0.91666667 10.08333333],0
d1,1,0.9236,0.009197,[16 21] ; [5 7],[15.85714286 21.14285714] ; [5.14285714 6.85714286],0
p11,1,0.945013,0.004757,[15 22] ; [5 7],[15.10204082 21.89795918] ; [4.89795918 7.10204082],0
d4,1,0.953884,0.003344,[25 12] ; [8 4],[24.91836735 12.08163265] ; [8.08163265 3.91836735],0
b2,1,0.959089,0.002631,[10 12] ; [4 5],[ 9.93548387 12.06451613] ; [4.06451613 4.93548387],0
b3,1,0.959089,0.002631,[10 12] ; [4 5],[ 9.93548387 12.06451613] ; [4.06451613 4.93548387],0
r4,1,0.962276,0.002237,[ 9 28] ; [3 9],[ 9.06122449 27.93877551] ; [2.93877551 9.06122449],0
p1,1,0.970735,0.001346,[ 6 31] ; [ 2 10],[ 6.04081633 30.95918367] ; [ 1.95918367 10.04081633],0
r2,1,1.0,0.0,[21 15] ; [7 5],[21. 15.] ; [7. 5.],0
