Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-06,21.435819,[ 3 13] ; [53 14],[10.79518072  5.20481928] ; [45.20481928 21.79518072],1
p6,1,0.002061,9.494786,[ 4 12] ; [45 22],[9.44578313 6.55421687] ; [39.55421687 27.44578313],0
p10,1,0.002969,8.826568,[9 7] ; [59  8],[13.10843373  2.89156627] ; [54.89156627 12.10843373],0
p2,1,0.007474,7.155466,[10  6] ; [60  7],[13.4939759  2.5060241] ; [56.5060241 10.4939759],0
s1,1,0.047628,3.923053,[ 3 13] ; [ 3 64],[ 1.15662651 14.84337349] ; [ 4.84337349 62.15662651],0
p9,1,0.087273,2.92397,[11  5] ; [58  9],[13.30120482  2.69879518] ; [55.69879518 11.30120482],0
a4,1,0.106094,2.611465,[11  5] ; [31 36],[8.09638554 7.90361446] ; [33.90361446 33.09638554],0
s2,1,0.110353,2.549164,[13  2] ; [44 23],[10.42682927  4.57317073] ; [46.57317073 20.42682927],0
s5,1,0.129675,2.296389,[5 9] ; [36 26],[7.55263158 6.44736842] ; [33.44736842 28.55263158],0
v3,1,0.147727,2.095564,[ 3 13] ; [25 41],[ 5.46341463 10.53658537] ; [22.53658537 43.46341463],0
s7,1,0.168793,1.893628,[7 7] ; [45 20],[9.21518987 4.78481013] ; [42.78481013 22.21518987],0
p11,1,0.211572,1.560639,[10  6] ; [52 15],[11.95180723  4.04819277] ; [50.04819277 16.95180723],0
v2,1,0.213901,1.544822,[ 5 11] ; [32 34],[7.2195122 8.7804878] ; [29.7804878 36.2195122],0
a7,1,0.215047,1.537121,[12  4] ; [39 28],[9.8313253 6.1686747] ; [41.1686747 25.8313253],0
p4,1,0.252715,1.308234,[12  4] ; [58  9],[13.4939759  2.5060241] ; [56.5060241 10.4939759],0
p5,1,0.357823,0.84552,[ 1 15] ; [10 57],[ 2.12048193 13.87951807] ; [ 8.87951807 58.12048193],0
a3,1,0.372741,0.794508,[13  3] ; [47 20],[11.56626506  4.43373494] ; [48.43373494 18.56626506],0
b2,1,0.405985,0.690528,[1 7] ; [11 31],[1.92 6.08] ; [10.08 31.92],0
b3,1,0.405985,0.690528,[1 7] ; [11 31],[1.92 6.08] ; [10.08 31.92],0
n6,1,0.422815,0.642479,[12  4] ; [56 11],[13.10843373  2.89156627] ; [54.89156627 12.10843373],0
r4,1,0.42778,0.628843,[15  1] ; [58  9],[14.07228916  1.92771084] ; [58.92771084  8.07228916],0
b4,1,0.438892,0.599179,[11  5] ; [39 28],[9.63855422 6.36144578] ; [40.36144578 26.63855422],0
s8,1,0.472822,0.515374,[7 9] ; [36 31],[8.28915663 7.71084337] ; [34.71084337 32.28915663],0
s6,1,0.500415,0.454057,[13  3] ; [57  8],[13.82716049  2.17283951] ; [56.17283951  8.82716049],0
n4,1,0.502287,0.450102,[13  3] ; [49 18],[11.95180723  4.04819277] ; [50.04819277 16.95180723],0
a8,1,0.509487,0.43512,[ 1 14] ; [ 2 63],[ 0.5625 14.4375] ; [ 2.4375 62.5625],0
b5,1,0.52608,0.401957,[10  6] ; [36 31],[8.86746988 7.13253012] ; [37.13253012 29.86746988],0
a6,1,0.555804,0.347021,[9 7] ; [43 24],[10.02409639  5.97590361] ; [41.97590361 25.02409639],0
a5,1,0.577826,0.309763,[13  3] ; [50 17],[12.14457831  3.85542169] ; [50.85542169 16.14457831],0
n5,1,0.632276,0.228988,[11  5] ; [50 17],[11.75903614  4.24096386] ; [49.24096386 17.75903614],0
n1,1,0.635848,0.224213,[3 3] ; [5 8],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
n2,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
a2,1,0.660755,0.192608,[ 3 13] ; [16 51],[ 3.6626506 12.3373494] ; [15.3373494 51.6626506],0
s3,1,0.661362,0.191873,[12  3] ; [50 17],[11.34146341  3.65853659] ; [50.65853659 16.34146341],0
d5,1,0.698453,0.150086,[14  2] ; [56 11],[13.4939759  2.5060241] ; [56.5060241 10.4939759],0
d4,1,0.698453,0.150086,[14  2] ; [56 11],[13.4939759  2.5060241] ; [56.5060241 10.4939759],0
u2,1,0.70386,0.144487,[1 2] ; [ 9 11],[1.30434783 1.69565217] ; [ 8.69565217 11.30434783],0
v1,1,0.706309,0.141992,[8 8] ; [37 30],[8.6746988 7.3253012] ; [36.3253012 30.6746988],0
r1,1,0.751047,0.100653,[13  3] ; [52 15],[12.53012048  3.46987952] ; [52.46987952 14.53012048],0
a1,1,0.766156,0.088451,[ 1 15] ; [ 3 64],[ 0.77108434 15.22891566] ; [ 3.22891566 63.77108434],0
r3,1,0.776435,0.080638,[15  1] ; [63  3],[15.2195122  0.7804878] ; [62.7804878  3.2195122],0
d3,1,0.787428,0.072713,[12  4] ; [48 19],[11.56626506  4.43373494] ; [48.43373494 18.56626506],0
d1,1,0.814994,0.054751,[11  5] ; [44 23],[10.60240964  5.39759036] ; [44.39759036 22.60240964],0
v4,1,0.866353,0.028322,[15  1] ; [62  5],[14.84337349  1.15662651] ; [62.15662651  4.84337349],0
