Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.038989,4.261364,[1 3] ; [9 2],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
b1,1,0.095205,2.784091,[1 3] ; [8 3],[2.4 1.6] ; [6.6 4.4],0
p3,1,0.095205,2.784091,[1 3] ; [8 3],[2.4 1.6] ; [6.6 4.4],0
b4,1,0.184708,1.759334,[3 1] ; [4 7],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
p10,1,0.217832,1.518595,[2 2] ; [9 2],[2.93333333 1.06666667] ; [8.06666667 2.93333333],0
a4,1,0.217832,1.518595,[2 2] ; [2 9],[1.06666667 2.93333333] ; [2.93333333 8.06666667],0
d3,1,0.310437,1.028815,[1 3] ; [6 5],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
n6,1,0.310437,1.028815,[3 1] ; [5 6],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
p7,1,0.422813,0.642483,[3 1] ; [10  1],[3.46666667 0.53333333] ; [9.53333333 1.46666667],0
u1,1,0.422813,0.642483,[1 3] ; [ 1 10],[0.53333333 3.46666667] ; [1.46666667 9.53333333],0
p11,1,0.422813,0.642483,[3 1] ; [10  1],[3.46666667 0.53333333] ; [9.53333333 1.46666667],0
a7,1,0.474549,0.511364,[3 1] ; [6 5],[2.4 1.6] ; [6.6 4.4],0
a3,1,0.474549,0.511364,[1 3] ; [5 6],[1.6 2.4] ; [4.4 6.6],0
s8,1,0.633553,0.227273,[2 2] ; [4 7],[1.6 2.4] ; [4.4 6.6],0
s6,1,0.633553,0.227273,[2 2] ; [7 4],[2.4 1.6] ; [6.6 4.4],0
u3,1,0.635256,0.225,[1 2] ; [3 3],[1.33333333 1.66666667] ; [2.66666667 3.33333333],0
d2,1,0.679708,0.170455,[1 3] ; [4 7],[1.33333333 2.66666667] ; [3.66666667 7.33333333],0
a6,1,0.679708,0.170455,[3 1] ; [7 4],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
p9,1,0.679708,0.170455,[3 1] ; [7 4],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
s5,1,0.679708,0.170455,[1 3] ; [4 7],[1.33333333 2.66666667] ; [3.66666667 7.33333333],0
v3,1,0.679708,0.170455,[1 3] ; [4 7],[1.33333333 2.66666667] ; [3.66666667 7.33333333],0
v4,1,0.679708,0.170455,[3 1] ; [7 4],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
v2,1,0.679708,0.170455,[3 1] ; [7 4],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
n3,1,0.709388,0.138889,[1 1] ; [1 2],[0.8 1.2] ; [1.2 1.8],0
r3,1,0.770335,0.085227,[3 1] ; [9 2],[3.2 0.8] ; [8.8 2.2],0
p4,1,0.770335,0.085227,[3 1] ; [9 2],[3.2 0.8] ; [8.8 2.2],0
s7,1,0.835099,0.043333,[1 2] ; [4 6],[1.15384615 1.84615385] ; [3.84615385 6.15384615],0
b2,1,0.850436,0.035556,[1 2] ; [2 3],[1.125 1.875] ; [1.875 3.125],0
b3,1,0.850436,0.035556,[1 2] ; [2 3],[1.125 1.875] ; [1.875 3.125],0
r4,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
r1,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
a5,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
v1,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
a8,1,0.929859,0.007748,[1 3] ; [3 8],[1.06666667 2.93333333] ; [2.93333333 8.06666667],0
